component,layer,head,delta_margin
resid_pre,0,,-32.70306921005249
resid_pre,1,,-32.70306921005249
resid_pre,2,,-32.70306921005249
resid_pre,3,,-32.70306921005249
resid_pre,4,,-32.70306921005249
resid_pre,5,,-32.70306921005249
resid_pre,6,,-32.70306921005249
resid_pre,7,,-32.70306921005249
resid_pre,8,,-32.70306921005249
resid_pre,9,,-32.70306921005249
resid_pre,10,,-32.70306921005249
resid_pre,11,,-32.70306921005249
resid_pre,12,,-32.70306921005249
resid_pre,13,,-32.70306921005249
resid_pre,14,,-32.70306921005249
resid_pre,15,,-32.70306921005249
resid_pre,16,,-32.70306921005249
resid_pre,17,,-32.70306921005249
resid_pre,18,,-32.70306921005249
resid_pre,19,,-32.70306921005249
resid_pre,20,,-32.70306921005249
resid_pre,21,,-32.70306921005249
resid_pre,22,,-32.70306921005249
resid_pre,23,,-32.70306921005249
resid_pre,24,,-32.70306921005249
resid_pre,25,,-32.70306921005249
resid_pre,26,,-32.70306921005249
resid_pre,27,,-32.70306921005249
