component,layer,head,delta_margin
resid_pre,0,,-0.171875
resid_pre,1,,-0.171875
resid_pre,2,,-0.171875
resid_pre,3,,-0.1796875
resid_pre,4,,-0.1796875
resid_pre,5,,-0.171875
resid_pre,6,,-0.171875
resid_pre,7,,-0.171875
resid_pre,8,,-0.1796875
resid_pre,9,,-0.171875
resid_pre,10,,-0.171875
resid_pre,11,,-0.171875
resid_pre,12,,-0.171875
resid_pre,13,,-0.171875
resid_pre,14,,-0.171875
resid_pre,15,,-0.171875
resid_pre,16,,-0.171875
resid_pre,17,,-0.171875
resid_pre,18,,-0.171875
resid_pre,19,,-0.171875
resid_pre,20,,-0.171875
resid_pre,21,,-0.171875
resid_pre,22,,-0.171875
resid_pre,23,,-0.171875
resid_pre,24,,-0.171875
resid_pre,25,,-0.171875
resid_pre,26,,-0.171875
resid_pre,27,,-0.171875
resid_pre,28,,-0.171875
resid_pre,29,,-0.171875
resid_pre,30,,-0.171875
resid_pre,31,,-0.171875
