component,layer,head,abs_delta,std,n,sem,ci95
pattern,12,2,0.41064453125,0.3930640233262951,8,0.13896911816724528,0.27237947160780074
pattern,9,3,0.35400390625,0.3397631620121039,8,0.1201244179280711,0.23544385913901936
pattern,9,2,0.280029296875,0.5306638802192559,8,0.18761801411690082,0.3677313076691256
pattern,10,1,0.249267578125,0.30295109880034193,8,0.10710938816481876,0.20993440080304476
pattern,8,3,0.240478515625,0.2595850135324893,8,0.09177716168161244,0.1798832368959604
pattern,14,0,0.239013671875,0.2658094519026887,8,0.0939778329719353,0.18419655262499318
pattern,8,7,0.23828125,0.20177910910886648,8,0.07133968817632987,0.13982578882560653
pattern,7,2,0.2353515625,0.19352699489711053,8,0.06842212521720062,0.13410736542571322
pattern,3,2,0.2236328125,0.21252041245841666,8,0.07513731239495422,0.14726913229411026
pattern,6,4,0.222412109375,0.11163578210951382,8,0.03946920927635054,0.07735965018164705
pattern,6,2,0.221435546875,0.3757330677491142,8,0.13284170006071155,0.26036973211899467
pattern,2,3,0.210205078125,0.3179181825617985,8,0.11240105137597525,0.2203060606969115
pattern,2,1,0.206298828125,0.16165301748944153,8,0.057152972433025834,0.11201982596873063
pattern,7,6,0.203125,0.21816127729949336,8,0.07713165928539528,0.15117805219937475
pattern,7,0,0.191162109375,0.24835632039833627,8,0.08780721915210123,0.1721021495381184
pattern,5,7,0.184326171875,0.18333216992954515,8,0.0648177102834129,0.1270427121554893
pattern,2,5,0.1826171875,0.2651629877763779,8,0.09374927338818122,0.18374857584083518
pattern,17,6,0.178955078125,0.0898191050971374,8,0.03175584914714653,0.062241464328407194
pattern,8,0,0.177734375,0.17377952520851364,8,0.06144034035315928,0.1204230670921922
pattern,4,1,0.177734375,0.24748490721026808,8,0.08749912806485202,0.17149829100710995
pattern,4,4,0.17431640625,0.2193961429305096,8,0.07756825021616817,0.15203377042368962
pattern,3,3,0.1669921875,0.2072127952332349,8,0.07326078632901996,0.14359114120487912
pattern,7,7,0.1650390625,0.1905530592806835,8,0.06737068019660673,0.1320465331853492
pattern,6,0,0.162353515625,0.18583429776580287,8,0.06570234606361965,0.1287765982846945
pattern,5,2,0.160888671875,0.20561536109584716,8,0.07269600807349708,0.14248417582405426
pattern,7,1,0.159912109375,0.17113285103133635,8,0.06050459972402259,0.11858901545908428
pattern,3,0,0.15966796875,0.19348968034490133,8,0.06840893253074858,0.1340815077602672
pattern,4,6,0.15771484375,0.23054854002430414,8,0.08151121802192181,0.15976198732296673
pattern,10,5,0.152587890625,0.09142173477565575,8,0.0323224643038521,0.06335203003555011
pattern,0,3,0.152587890625,0.11273361654454173,8,0.039857352363164705,0.07812041063180282
pattern,4,7,0.152099609375,0.1479095017190084,8,0.052293905833717076,0.10249605543408546
pattern,0,6,0.151611328125,0.12131827498234422,8,0.042892487460934936,0.08406927542343247
pattern,7,3,0.151123046875,0.11919292936704734,8,0.04214106431246418,0.0825964860524298
pattern,6,5,0.14892578125,0.1425408540448916,8,0.050395802245632386,0.09877577240143948
pattern,15,4,0.134765625,0.13912894680578056,8,0.04918951087285494,0.09641144131079568
pattern,0,2,0.126953125,0.18864743769202874,8,0.0666969412227501,0.13072600479659022
pattern,5,3,0.12353515625,0.11081909984261494,8,0.03918046849185104,0.07679371824402804
pattern,15,6,0.12255859375,0.11115298920061047,8,0.03929851620645337,0.0770250917646486
pattern,9,5,0.119140625,0.24870619454560666,8,0.0879309183431496,0.17234459995257323
pattern,10,7,0.117919921875,0.11197453655078513,8,0.03958897705764054,0.07759439503297547
pattern,6,6,0.117919921875,0.10179798367773499,8,0.03599102228482194,0.070542403678251
pattern,7,5,0.115234375,0.15774950121610076,8,0.05577287101935018,0.10931482719792636
pattern,12,0,0.112060546875,0.09786215736500832,8,0.034599497547171204,0.06781501519245556
pattern,0,0,0.10205078125,0.09867631311772757,8,0.03488734507401611,0.06837919634507159
pattern,7,4,0.101318359375,0.07790452637694004,8,0.027543409443130277,0.05398508250853534
pattern,8,4,0.1005859375,0.07950099629808668,8,0.02810784679673185,0.055091379721594426
pattern,1,6,0.100341796875,0.18711868749892713,8,0.0661564464086089,0.12966663496087344
pattern,3,6,0.099609375,0.08762049261129744,8,0.0309785222481771,0.060717903606427114
pattern,8,5,0.09912109375,0.1819291643063182,8,0.0643216728882996,0.1260704788610672
pattern,10,2,0.0986328125,0.0965167898484831,8,0.03412383830010966,0.06688272306821494
pattern,9,1,0.094970703125,0.09937624537260836,8,0.03513480849591482,0.06886422465199304
pattern,3,1,0.092529296875,0.09034541557455479,8,0.031941928000942206,0.06260617888184672
pattern,10,4,0.092041015625,0.09623654131664977,8,0.0340247554814712,0.06668852074368355
pattern,14,1,0.091064453125,0.05948849493306674,8,0.02103235908487653,0.041223423806357996
pattern,13,7,0.08984375,0.10136914974532087,8,0.03583940659401548,0.07024523692427034
pattern,17,7,0.087158203125,0.09471541551221484,8,0.03348695629579431,0.06563443433975685
pattern,8,2,0.085693359375,0.04704254724417783,8,0.016632052080323336,0.03259882207743374
