component,layer,head,abs_delta,std,n,sem,ci95
z,23,0,0.88134765625,0.28055887227823434,8,0.09919254055499499,0.19441737948779017
z,24,1,0.37890625,0.15249391637455575,8,0.05391474117907133,0.10567289271097981
z,23,1,0.3720703125,0.15276170346027443,8,0.05400941821118426,0.10585845969392114
z,25,6,0.27490234375,0.13192219813552836,8,0.0466415404453337,0.09141741927285406
z,24,3,0.21337890625,0.06726847993049642,8,0.023782999159482596,0.04661467835258589
z,25,7,0.201171875,0.11172148160996166,8,0.039499508625306025,0.07741903690559981
z,11,6,0.1962890625,0.12627954895317361,8,0.04464656269498382,0.08750726288216829
z,13,2,0.1875,0.13261539996559868,8,0.04688662430272053,0.09189778363333224
z,14,6,0.1640625,0.10406430982982177,8,0.03679228958008243,0.07211288757696156
z,21,6,0.158203125,0.10738382036988693,8,0.03796591378663258,0.07441319102179986
z,7,0,0.15576171875,0.18513008286879745,8,0.06545336849907708,0.12828860225819108
z,16,1,0.1484375,0.07396868115906025,8,0.026151878021498556,0.05125768092213717
z,15,6,0.1279296875,0.14970601655344085,8,0.05292906974468178,0.10374097669957628
z,14,7,0.123046875,0.07887475060805038,8,0.02788643550967509,0.05465741359896318
z,24,0,0.12255859375,0.15511498330650542,8,0.05484142827983404,0.10748919942847472
z,17,7,0.119140625,0.12262318992584269,8,0.04335384456364465,0.0849735353447435
z,17,6,0.119140625,0.10087334869864573,8,0.035664114452903795,0.06990166432769143
z,11,1,0.1103515625,0.09148467522367476,8,0.03234471711265467,0.06339564554080315
z,12,6,0.10302734375,0.13340103156466496,8,0.047164387018327626,0.09244219855592214
z,16,2,0.099609375,0.06502971933909471,8,0.022991477761665918,0.045063296412865196
z,19,5,0.09912109375,0.06638778301523147,8,0.023471625779005637,0.04600438652685105
z,15,7,0.0947265625,0.059489067474583386,8,0.021032561508870996,0.04122382055738715
z,14,4,0.09375,0.09561482351312703,8,0.033804945044043536,0.06625769228632533
z,15,2,0.08984375,0.05579240959799102,8,0.019725595582738432,0.038662167342167326
z,11,7,0.087890625,0.06762600878901655,8,0.023909404699647332,0.04686243321130877
z,16,0,0.0869140625,0.07613967382544751,8,0.026919439839652903,0.052762102085719687
z,9,2,0.08349609375,0.08527385545059868,8,0.03014886072351988,0.05909176701809896
z,14,5,0.08154296875,0.06399705048985202,8,0.022626374188656113,0.04434769340976598
z,16,6,0.0771484375,0.058192450183598005,8,0.02057413806934125,0.04032531061590885
z,20,5,0.07568359375,0.053148690719483506,8,0.018790899809466657,0.03683016362655465
z,9,4,0.0751953125,0.0918651199589211,8,0.03247922463873438,0.06365928029191938
z,8,4,0.0732421875,0.07220149785047869,8,0.025527084370949707,0.05003308536706143
z,12,7,0.06689453125,0.09142955813556661,8,0.03232523027927441,0.06335745134737784
z,13,6,0.06640625,0.07205794845308779,8,0.02547633199478453,0.04993361070977768
z,19,6,0.06591796875,0.05600445149693101,8,0.019800563715056504,0.03880910488151074
