component,layer,head,abs_delta,std,n,sem,ci95
z,24,0,3.9149546509981157,1.8552065118775465,50,0.2623658210100109,0.5142370091796213
z,12,2,3.810095353126526,3.242643813464681,50,0.4585790858946964,0.898815008353605
z,9,1,3.232139772772789,2.8822546890044483,50,0.40761236714035376,0.7989202395950934
z,9,0,3.0418955302238464,3.1196024163502907,50,0.441178404641446,0.8647096730972341
z,8,3,2.938985465764999,2.431240706639308,50,0.34382935807228565,0.6739055418216798
z,13,3,2.4881418669223785,1.8694713052264817,50,0.26438316743186224,0.51819100816645
z,10,0,2.462851302623749,1.9905621262981457,50,0.2815079955757063,0.5517556713283844
z,2,3,2.4614926314353944,2.978229219697502,50,0.42118521543520476,0.8255230222530013
z,6,0,2.3630210506916045,2.7035848587108955,50,0.3823446374215496,0.7493954893462372
z,4,0,2.169873158931732,2.1249735455040963,50,0.3005166407735934,0.5890126159162431
z,12,3,2.0114189124107362,1.4002137289393108,50,0.1980201245686978,0.38811944415464766
z,16,0,1.994662349820137,1.1888512202315131,50,0.1681289519295209,0.329532745781861
z,15,2,1.8701119089126588,1.4376110152248591,50,0.20330889951479497,0.39848544304899813
z,6,3,1.8642645585536957,1.4412791711360484,50,0.20382765509864526,0.3995022039933447
z,7,0,1.832358022928238,1.7020003577744702,50,0.24069919891285158,0.4717704298691891
z,6,2,1.7825018572807312,1.9797434940291478,50,0.2799780099275919,0.5487568994580801
z,9,2,1.7773561787605285,1.9577563783398564,50,0.2768685622070657,0.5426623819258487
z,8,0,1.7597503924369813,1.716322906540732,50,0.24272471318415131,0.47574043784093656
z,6,1,1.702292459011078,1.500965458494889,50,0.2122685708057023,0.4160463987791765
z,25,2,1.6267654180526734,1.1134091618664457,50,0.1574598337181988,0.30862127408766965
z,15,3,1.5809000897407532,1.0993918842427128,50,0.1554774913058956,0.3047358829595554
z,9,3,1.551958532333374,1.6792423370688627,50,0.23748072875938778,0.4654622283684
z,11,2,1.3728275322914123,1.6951098970839285,50,0.23972474061689528,0.46986049160911475
z,11,3,1.3714242339134217,1.2234095334850168,50,0.1730162354591052,0.33911182149984614
z,4,1,1.357617861032486,1.1201357769831455,50,0.1584111207508889,0.31048579667174225
z,0,0,1.34229327917099,1.6861000215637179,50,0.23845055180129776,0.4673630815305436
z,14,0,1.335449366569519,1.095286098632607,50,0.15489684553649483,0.30359781725152984
z,10,2,1.2486963486671447,1.2364577767579188,50,0.17486153571927335,0.3427286100097758
z,0,1,1.20758305311203,1.2759294739851474,50,0.18044367667413647,0.35366960628130745
z,4,3,1.1751261377334594,1.6857330424413253,50,0.23839865311609823,0.46726136010755254
z,5,0,1.1692912876605988,0.900946845602021,50,0.12741312480276368,0.2497297246134168
z,7,3,1.1455399644374848,1.135210816214838,50,0.1605430532443655,0.3146643843589564
z,20,2,1.1363596403598786,0.7649778902268006,50,0.10818421072742981,0.21204105302576243
z,12,0,1.1292942202091216,0.9996263571156657,50,0.14136851515385854,0.27708228970156273
z,13,2,1.082970621585846,0.8926944051127437,50,0.12624605347650242,0.24744226481394474
z,1,3,0.9985289251804352,1.1664204190116698,50,0.16495675759952116,0.32331524489506147
z,19,0,0.9438926327228546,0.7221574425139169,50,0.102128484937185,0.2001718304768826
z,24,1,0.942932699918747,0.8165074747808249,50,0.11547159446140504,0.22632432514435386
z,13,0,0.9386190485954284,0.9485407215733916,50,0.1341439152912252,0.2629220739708014
z,19,3,0.9297244548797607,0.4856180490116787,50,0.06867676310454784,0.13460645568491378
z,16,1,0.9159850823879242,0.6914393701342133,50,0.09778429348025147,0.1916572152212929
z,1,2,0.9040682482719421,0.6478985732954089,50,0.0916266949396546,0.179588322081723
z,3,0,0.8886001706123352,0.9245728024502256,50,0.13075433966264094,0.25627850573877625
z,4,2,0.8827089905738831,1.0716606746612505,50,0.15155570603678414,0.29704918383209694
z,3,3,0.8405747199058533,0.6608159789232484,50,0.09345349196261112,0.18316884424671778
z,3,2,0.8398683571815491,0.920825742609464,50,0.1302244253780581,0.25523987374099383
z,3,1,0.8392044711112976,0.5646565582437261,50,0.07985449627511909,0.15651481269923342
z,10,3,0.8353015089035034,0.9201272132926419,50,0.13012563841470157,0.25504625129281505
z,15,1,0.8287557506561279,0.7315242520171498,50,0.10345315184074871,0.20276817760786747
z,18,3,0.8239979565143585,0.9784530933012062,50,0.1383741634692473,0.2712133603997247
z,7,2,0.8187873029708862,0.798661817109766,50,0.11294783735061714,0.2213777612072096
z,18,2,0.8137138378620148,0.8628357508788818,50,0.12202340209932877,0.23916586811468438
z,24,2,0.8098944211006165,0.5982511345859571,50,0.08460548682365523,0.16582675417436427
z,0,3,0.8034443950653076,0.6602598650030503,50,0.09337484557779425,0.18301469733247674
z,1,1,0.801957483291626,1.0212235222512465,50,0.14442281553821348,0.28306871845489845
z,8,1,0.7851533317565917,0.8706430458289133,50,0.12312752033970692,0.24132993986582557
z,15,0,0.7824316143989563,0.6116018361615732,50,0.08649356114719843,0.1695273798485089
z,10,1,0.7783905410766602,0.8970787590159115,50,0.12686609475171273,0.24865754571335696
z,20,0,0.7567217183113099,0.42834741671288895,50,0.06057747261228473,0.11873184632007806
z,13,1,0.7490196049213409,0.6860177954300822,50,0.09701756703265137,0.19015443138399668
z,8,2,0.7432116174697876,0.6175277762381697,50,0.08733161562981175,0.17116996663443101
z,11,1,0.7397416365146637,0.6918302609289317,50,0.09783957378658124,0.19176556462169925
z,12,1,0.738955340385437,0.7135195429240013,50,0.10090690146213743,0.19777752686578937
z,11,0,0.732699819803238,0.6834593827489109,50,0.0966557528414654,0.18944527556927218
z,2,0,0.6780230951309204,0.6640140002983285,50,0.09390576048275084,0.18405529054619166
z,7,1,0.6630796754360199,0.5207197489979316,50,0.07364089312283888,0.1443361505207642
z,16,3,0.6308178812265396,0.6406328770462842,50,0.09059917032209507,0.17757437383130634
z,20,3,0.6222030663490296,0.40757373665702196,50,0.05763963060474407,0.11297367598529838
