component,layer,head,delta_margin
resid_pre,0,,-4.754861831665039
resid_pre,1,,-5.67335319519043
resid_pre,2,,-5.6100921630859375
resid_pre,3,,-5.634073257446289
resid_pre,4,,-5.27039909362793
resid_pre,5,,-4.6583709716796875
resid_pre,6,,-4.490571022033691
resid_pre,7,,-3.6060400009155273
resid_pre,8,,-3.5372676849365234
resid_pre,9,,-4.710190773010254
resid_pre,10,,-2.6717987060546875
resid_pre,11,,-2.2051801681518555
resid_pre,12,,-1.851064682006836
resid_pre,13,,-1.4972248077392578
resid_pre,14,,0.4062080383300781
resid_pre,15,,0.15854454040527344
resid_pre,16,,0.5718460083007812
resid_pre,17,,0.2650947570800781
resid_pre,18,,0.38774967193603516
resid_pre,19,,-0.19748592376708984
resid_pre,20,,-0.3298025131225586
resid_pre,21,,0.2505950927734375
resid_pre,22,,0.023183822631835938
resid_pre,23,,-0.046570777893066406
resid_pre,24,,0.07822132110595703
resid_pre,25,,-0.8942413330078125
