component,layer,head,abs_delta,std,n,sem,ci95
z,9,22,1.0828125,0.6851449237539157,50,0.09689412433638676,0.18991248369931804
z,4,11,0.68603515625,0.7208481351547631,50,0.10194332091472198,0.19980890899285508
z,9,12,0.632822265625,0.5967483166781732,50,0.08439295627695871,0.16541019430283907
z,6,6,0.58712890625,0.4904821765426791,50,0.06936465461689315,0.13595472304911058
z,0,2,0.56701171875,0.47789010593423425,50,0.06758386691361092,0.13246437915067738
z,0,26,0.54572265625,0.4678523675972321,50,0.06616431634443684,0.12968206003509622
z,6,25,0.5455859375,0.4724563096993171,50,0.06681541208055175,0.13095820767788144
z,5,19,0.51828125,0.5021145943786877,50,0.07100972692358055,0.13917906477021788
z,8,13,0.5047265625,0.6915835792518071,50,0.09780468772924339,0.19169718794931703
z,8,14,0.50318359375,0.48939666762916495,50,0.06921114047413629,0.13565383532930714
z,14,24,0.500146484375,0.2857700404194456,50,0.04041398668810875,0.07921141390869314
z,0,3,0.48857421875,0.7124973866612481,50,0.10076234673717241,0.19749419960485792
z,6,16,0.48486328125,0.6518520687241739,50,0.09218580362506855,0.18068417510513435
z,9,21,0.461357421875,0.31290319488887924,50,0.04425119419217247,0.08673234061665805
z,8,28,0.45904296875,0.42092164565244655,50,0.059527309997809204,0.11667352759570604
z,4,4,0.4455078125,0.3685933084002867,50,0.05212696557396543,0.10216885252497224
z,8,0,0.4330859375,0.41434124729428407,50,0.0585967011374161,0.11484953422933555
z,9,0,0.43078125,0.31087527058742215,50,0.04396440238711381,0.08617022867874308
z,5,17,0.425,0.37745181577748077,50,0.05337974770148643,0.1046243054949134
z,9,15,0.416337890625,0.5359822067413579,50,0.07579933059642885,0.14856668796900055
z,6,24,0.41162109375,0.36667746378772953,50,0.051856024230517654,0.1016378074918146
z,8,27,0.40755859375,0.2668468211451328,50,0.03773783935395944,0.0739661651337605
z,9,1,0.3999609375,0.33408588291394237,50,0.047246878661428716,0.09260388217640028
z,8,1,0.399931640625,0.40670796557891786,50,0.05751719208468755,0.11273369648598759
z,15,11,0.38998046875,0.2186210950953456,50,0.030917691770469588,0.06059867587012039
z,8,3,0.38970703125,0.2822671026897516,50,0.03991859648356058,0.07824044910777873
z,6,30,0.37734375,0.3928069169276346,50,0.05555128693130225,0.10888052238535241
z,4,7,0.37591796875,0.2613941986869785,50,0.036966722090877244,0.0724547752981194
z,4,5,0.37525390625,0.31198518722180335,50,0.04412136830285835,0.08647788187360236
z,9,13,0.371865234375,0.3184519511153304,50,0.04503590682314741,0.08827037737336893
z,7,2,0.37126953125,0.3125727161740602,50,0.0442044574441152,0.08664073659046578
z,8,12,0.3687109375,0.5227270602094817,50,0.07392476979676664,0.1448925488016626
z,7,8,0.36798828125,0.37447843494628746,50,0.05295924815172905,0.10380012637738895
z,4,8,0.36693359375,0.329588880325028,50,0.04661090645630175,0.09135737665435142
z,6,19,0.3593359375,0.3242123843924213,50,0.04585055510970813,0.08986708801502793
z,14,19,0.3526171875,0.24264800739890444,50,0.03431561029463377,0.06725859617748219
z,4,26,0.34759765625,0.3694358909698621,50,0.052246124743696706,0.10240240449764554
z,3,28,0.3474609375,0.2899564794411498,50,0.04100603857236295,0.08037183560183138
z,3,1,0.34703125,0.34834872490625507,50,0.04926394911978003,0.09655734027476885
z,6,13,0.3397265625,0.6807363762671375,50,0.09627066157177,0.1886904966806692
z,8,29,0.3366796875,0.3409659611361225,50,0.048219868654628205,0.09451094256307128
z,6,31,0.33265625,0.24331971041246794,50,0.03441060344580062,0.06744478275376921
z,5,31,0.3314453125,0.31234855874891293,50,0.04417275679704021,0.08657860332219881
z,7,14,0.32716796875,0.260804432104346,50,0.03688331650089791,0.0722913003417599
z,7,25,0.32662109375,0.4267915464231912,50,0.06035743932578634,0.11830058107854123
z,10,11,0.32494140625,0.34146535546436757,50,0.04829049367782584,0.09464936760853865
z,8,11,0.3201953125,0.32272571468747224,50,0.04564030826375732,0.08945500419696434
z,4,3,0.32,0.25350077084069145,50,0.035850422819493986,0.07026682872620821
z,14,25,0.31380859375,0.2855925716276502,50,0.040388888810883254,0.07916222206933117
z,9,4,0.312431640625,0.24944793333163814,50,0.035277265042354226,0.06914343948301428
z,6,29,0.311748046875,0.23474352060677386,50,0.03319774705213077,0.06506758422217632
z,9,6,0.31130859375,0.23853198013285914,50,0.03373351613635991,0.06611769162726541
z,4,25,0.3096875,0.28143710117263165,50,0.03980121654333046,0.07801038442492769
z,6,5,0.302724609375,0.41562459271633295,50,0.058778193587523196,0.11520525943154546
z,6,15,0.30255859375,0.4035806768155839,50,0.057074926666431165,0.11186685626620509
z,5,27,0.30123046875,0.3549769095959427,50,0.05020131598798702,0.09839457933645455
z,3,2,0.30068359375,0.46266201651147676,50,0.06543028985454152,0.1282433681149014
z,6,2,0.29982421875,0.3018319753110628,50,0.04268548730427662,0.08366355511638217
z,3,30,0.29828125,0.24027740341284765,50,0.03398035626382405,0.06660149827709513
