component,layer,head,abs_delta,std,n,sem,ci95
z,9,22,1.2919921875,0.5729779627653512,8,0.20257830147091646,0.39705347088299625
z,9,12,1.025390625,0.4558444794588666,8,0.1611653612959082,0.3158841081399801
z,9,21,0.66748046875,0.38763609574973423,8,0.13705005596865744,0.2686181096985686
z,8,1,0.56201171875,0.4252481585560709,8,0.15034792830104493,0.29468193947004806
z,14,24,0.52978515625,0.3940360969677628,8,0.13931279809909253,0.27305308427422137
z,4,11,0.501953125,0.3926065810138148,8,0.13880738788666702,0.27206248025786733
z,9,15,0.4951171875,0.35736011981135335,8,0.12634588202212252,0.24763792876336013
z,8,27,0.48388671875,0.22243035121870322,8,0.07864100484422525,0.15413636949468149
z,8,12,0.4814453125,0.3667167266097019,8,0.1296539420801267,0.25412172647704834
z,6,19,0.47314453125,0.3656910372054295,8,0.1292913061135506,0.2534109599825592
z,5,27,0.4140625,0.27837537636689547,8,0.09842055817219457,0.19290429401750137
z,10,11,0.412109375,0.37779718486328745,8,0.13357147566500913,0.2618000923034179
z,6,16,0.408203125,0.5172416148318301,8,0.18287252667973367,0.358430152292278
z,8,0,0.40771484375,0.4722707137598046,8,0.1669729121276844,0.3272669077702614
z,6,25,0.4072265625,0.4125950559274569,8,0.14587438096517377,0.2859137866917406
z,9,0,0.39208984375,0.22915444609850616,8,0.08101833138765044,0.15879592951979485
z,8,3,0.3837890625,0.19296298881654322,8,0.06822271895510082,0.1337165291519976
z,7,8,0.37255859375,0.41667564019122444,8,0.14731708536723037,0.2887414873197715
z,6,6,0.36865234375,0.44024636988111426,8,0.15565059676784845,0.30507516966498294
z,3,22,0.36669921875,0.29589268212519204,8,0.10461386101709941,0.20504316759351485
z,9,13,0.34423828125,0.2254092173641973,8,0.0796941930700882,0.15620061841737287
z,13,10,0.33349609375,0.1884848750248723,8,0.06663946664059306,0.1306133546155624
z,8,15,0.33154296875,0.35484232419254186,8,0.12545570684427082,0.24589318541477082
z,9,14,0.318359375,0.16209760875973772,8,0.05731015918406722,0.11232791200077175
z,13,26,0.31591796875,0.25156837057119696,8,0.08894285038147183,0.1743279867476848
z,9,20,0.31494140625,0.19645799688919047,8,0.06945839090933612,0.13613844618229878
z,8,14,0.3017578125,0.3475261218141623,8,0.12286903868712816,0.2408233158267712
z,14,19,0.28955078125,0.20362273217510427,8,0.07199150736237421,0.14110335443025346
z,4,7,0.28857421875,0.2721224556002984,8,0.0962098168340531,0.18857124099474407
z,4,3,0.28662109375,0.21905807288519968,8,0.07744872440539083,0.15179949983456603
z,9,23,0.2861328125,0.1965890204329812,8,0.06950471472749088,0.13622924086588212
z,12,15,0.2802734375,0.2963145997181684,8,0.10476303141264716,0.20533554156878842
z,9,2,0.2744140625,0.16625016258551395,8,0.058778308668791475,0.11520548499083129
z,6,24,0.27294921875,0.19898815326247787,8,0.07035293627384306,0.1378917550967324
z,8,7,0.27294921875,0.3834237870617752,8,0.13556077994980403,0.2656991287016159
z,8,5,0.27294921875,0.10902442020626106,8,0.038545953421389424,0.07555006870592328
z,9,3,0.271484375,0.23414236966972377,8,0.08278182867827454,0.1622523842094181
z,8,2,0.26953125,0.18614652866472847,8,0.06581273635658277,0.12899296325890222
z,3,28,0.26806640625,0.14633642081634418,8,0.05173773774690261,0.1014059659839291
z,10,9,0.2626953125,0.23656666864486148,8,0.08363894780074628,0.1639323376894627
z,8,13,0.25830078125,0.2493315342856932,8,0.08815200932852991,0.17277793828391863
z,10,14,0.25634765625,0.28548810725748835,8,0.10093528829494121,0.19783316505808476
z,8,31,0.25439453125,0.15379541734235067,8,0.05437489125909565,0.10657478686782747
z,7,21,0.2509765625,0.22621345881291563,8,0.0799785353611382,0.1567579293078309
z,8,6,0.2509765625,0.2801375413291513,8,0.0990435775693848,0.1941254120359942
z,13,27,0.2470703125,0.22910509479602484,8,0.08100088306732797,0.15876173081196282
z,6,4,0.24560546875,0.1957855599211362,8,0.06922064853932026,0.1356724711370677
z,3,29,0.240234375,0.10349719765227945,8,0.03659178514686561,0.0717198988878566
z,9,6,0.23681640625,0.1029891535408963,8,0.03641216442871515,0.07136784228028169
z,6,30,0.23388671875,0.16237221189173642,8,0.05740724605245289,0.11251820226280766
z,8,22,0.2333984375,0.12355734885886492,8,0.04368411962176765,0.08562087445866459
z,9,4,0.23095703125,0.17049258249462462,8,0.06027823061197796,0.11814533199947681
z,12,23,0.2236328125,0.18337099423362377,8,0.06483143674775733,0.12706961602560438
z,12,17,0.22216796875,0.14990518388857849,8,0.052999486031315116,0.10387899262137762
z,8,30,0.2177734375,0.20784302189258594,8,0.07348360510127579,0.14402786599850054
z,11,27,0.21533203125,0.1542906941008848,8,0.05454999803635744,0.10691799615126057
z,6,27,0.21533203125,0.16504855543810204,8,0.05835347638766288,0.11437281371981925
z,3,30,0.21484375,0.1599451461495025,8,0.05654914873009331,0.11083633151098289
z,8,29,0.212890625,0.13969184437156154,8,0.049388525215793504,0.09680150942295526
z,7,14,0.212890625,0.1857244803177161,8,0.06566351973250226,0.12870049867570443
z,2,16,0.2099609375,0.1599144788793233,8,0.05653830621274122,0.11081508017697278
z,8,28,0.20947265625,0.16996115745647683,8,0.06009034348789465,0.11777707323627351
z,10,17,0.205078125,0.2429692882975204,8,0.08590261568762296,0.168369126747741
z,12,5,0.203125,0.12852520793082078,8,0.045440523040647204,0.08906342515966852
z,6,31,0.203125,0.12148015825823749,8,0.04294972184200735,0.0841814548103344
z,6,7,0.20068359375,0.17600974112962253,8,0.062228840753822436,0.12196852787749198
z,7,22,0.19970703125,0.11225554534293597,8,0.03968832866889199,0.0777891241910283
z,5,31,0.19921875,0.15105770132457427,8,0.053406962478529295,0.10467764645791741
z,14,18,0.19921875,0.10782948235814266,8,0.03812347909363893,0.0747220190235323
z,7,1,0.19775390625,0.15438249912878366,8,0.05458245601524459,0.1069816137898794
z,12,20,0.1953125,0.12444071307827102,8,0.04399643603666746,0.08623301463186822
z,8,23,0.1953125,0.1568487412214961,8,0.05545440426914693,0.10869063236752799
z,8,24,0.1943359375,0.16801092182391159,8,0.059400831067545394,0.11642562889238897
z,15,11,0.19384765625,0.08519713294093896,8,0.03012173522009486,0.059038601031385925
z,7,4,0.193359375,0.08856081288089558,8,0.031310975667737106,0.06136951230876473
z,9,27,0.18896484375,0.1182234253558654,8,0.04179829288211702,0.08192465404894936
z,4,5,0.18798828125,0.17000604057799776,8,0.060106212067688784,0.11780817565267002
z,13,30,0.18701171875,0.11086826428230984,8,0.03919785074620179,0.0768277874625555
z,7,24,0.18603515625,0.1375047162720985,8,0.04861525866056653,0.09528590697471039
