component,layer,head,abs_delta,std,n,sem,ci95
pattern,0,20,2.185546875,3.560666331820843,8,1.2588856543865738,2.4674158825976846
pattern,0,18,1.60498046875,1.9739861781743016,8,0.6979095062777825,1.3679026323044536
pattern,15,7,0.79443359375,0.7837597452610802,8,0.2771009153475754,0.5431177940812478
pattern,14,5,0.77099609375,0.927012906734062,8,0.32774855629955385,0.6423871703471256
pattern,0,2,0.74072265625,1.8150525839918665,8,0.6417179951754072,1.257767270543798
pattern,10,22,0.6494140625,0.5588054122586245,8,0.1975675481859088,0.38723239444438123
pattern,25,18,0.63671875,0.48371300528761374,8,0.171018373093498,0.33519601126325604
pattern,15,16,0.62841796875,0.3843323368227694,8,0.13588200079832624,0.26632872156471943
pattern,25,20,0.548828125,0.6699352970073598,8,0.2368578957350639,0.46424147564072527
pattern,12,23,0.52197265625,0.24019864444651912,8,0.08492304515997505,0.1664491685135511
pattern,6,17,0.50390625,0.6903476940035879,8,0.2440747679032163,0.4783865450903039
pattern,24,11,0.4833984375,0.4721544432594281,8,0.1669318042980503,0.32718633642417855
pattern,13,23,0.4560546875,0.4804335879264939,8,0.16985892396630362,0.33292349097395507
pattern,9,12,0.42431640625,0.34912933736208956,8,0.12343586097994969,0.24193428752070137
pattern,5,15,0.41845703125,0.37444991683392903,8,0.13238803770400498,0.25948055389984975
pattern,16,4,0.412109375,0.4787575691191099,8,0.16926636183425492,0.3317620691951396
pattern,26,5,0.41015625,0.24627526610772055,8,0.08707145535164536,0.1706600524892249
pattern,26,14,0.40478515625,0.6059597573450105,8,0.21423912677240586,0.4199086884739155
pattern,24,21,0.396484375,0.23192544334833431,8,0.08199802686065183,0.1607161326468776
pattern,14,4,0.38623046875,0.234425566531729,8,0.08288195388904186,0.16244862962252204
pattern,14,22,0.3818359375,0.49324817506710683,8,0.17438956469892028,0.34180354680988373
pattern,22,15,0.3818359375,0.2378990091326926,8,0.08411000129764366,0.16485560254338158
pattern,13,18,0.37744140625,0.2409868848993631,8,0.08520173024468082,0.1669953912795744
pattern,11,5,0.375,0.32923917977664807,8,0.11640362832618233,0.22815111151931736
pattern,25,12,0.37255859375,0.2767413407016023,8,0.09784283932237983,0.19177196507186448
pattern,9,13,0.3720703125,0.22065250091019611,8,0.07801243983968525,0.1529043820857831
pattern,17,11,0.37060546875,0.24055684385951415,8,0.08504968777694796,0.166697388042818
pattern,8,13,0.36767578125,0.31675698084745835,8,0.11199050457270757,0.21950138896250682
pattern,22,17,0.349609375,0.28149016283798195,8,0.09952180149002127,0.19506273092044168
pattern,27,19,0.34375,0.27513820593670996,8,0.0972760455906742,0.1906610493577214
pattern,15,1,0.34130859375,0.2705599344608569,8,0.09565738218732989,0.18748846908716657
pattern,12,9,0.33740234375,0.36768546152298964,8,0.12999644159330567,0.25479302552287914
pattern,26,1,0.33740234375,0.24003523704161414,8,0.08486527191792285,0.1663359329591288
pattern,20,1,0.33642578125,0.28897529376517384,8,0.10216819490836453,0.20024966202039446
pattern,11,16,0.32763671875,0.18801590923487974,8,0.06647366219546894,0.13028837790311912
pattern,27,1,0.32470703125,0.23218318044043668,8,0.08208915068344626,0.16089473533955467
pattern,15,15,0.318359375,0.23988137356138436,8,0.08481087296279913,0.1662293110070863
pattern,13,8,0.31689453125,0.32273580757216547,8,0.11410433903299745,0.223644504504675
pattern,13,11,0.31005859375,0.2696722384553124,8,0.09534353425475352,0.1868733271393169
pattern,24,10,0.3076171875,0.3541493985964506,8,0.1252107206503439,0.245413012474674
pattern,14,3,0.3076171875,0.37448666269030745,8,0.13240102932611783,0.25950601747919094
pattern,27,18,0.30419921875,0.284903397405326,8,0.10072856214419591,0.197427981802624
pattern,17,10,0.29833984375,0.3519339400639633,8,0.1244274377744642,0.24387777803794983
pattern,16,2,0.2958984375,0.2556708087174708,8,0.09039328129778612,0.1771708313436608
pattern,11,17,0.29541015625,0.16140947906594014,8,0.057066868597657174,0.11185106245140806
pattern,15,5,0.29345703125,0.2498206448920061,8,0.08832493604176696,0.17311687464186323
pattern,15,19,0.28759765625,0.21557745557451274,8,0.07621814035383982,0.14938755509352605
pattern,13,10,0.28759765625,0.2673748943084322,8,0.09453130044226442,0.18528134886683825
pattern,8,18,0.27734375,0.21791133876533367,8,0.0770432926692032,0.1510048536316383
pattern,14,19,0.27587890625,0.23492251431839703,8,0.08305765146396617,0.16279299686937368
pattern,9,1,0.275390625,0.1539875261283361,8,0.05444281197174356,0.10670791146461737
pattern,13,7,0.27001953125,0.21496483499377445,8,0.07600154627037257,0.14896303068993025
pattern,21,10,0.27001953125,0.2392301938323077,8,0.08458064616169847,0.165778066476929
pattern,18,19,0.26416015625,0.20258704412111606,8,0.07162533633928972,0.14038565922500784
pattern,8,19,0.26318359375,0.42938776832930425,8,0.15181150137210464,0.29755054268932507
pattern,26,0,0.26025390625,0.243649617858893,8,0.08614314851076708,0.16884057108110348
pattern,20,2,0.255859375,0.2644323936139646,8,0.09349096934491233,0.18324229991602817
pattern,9,0,0.25537109375,0.2800611771682961,8,0.09901657876139462,0.19407249437233345
pattern,16,22,0.25341796875,0.09233109418578082,8,0.032643971406569716,0.06398218395687665
pattern,17,2,0.25244140625,0.19661327447037538,8,0.06951328982464716,0.13624604805630844
pattern,24,22,0.25048828125,0.2179157151541229,8,0.0770448399562982,0.15100788631434447
pattern,19,17,0.24853515625,0.219584837725932,8,0.07763496390087707,0.15216452924571905
pattern,13,14,0.24365234375,0.2840873856759489,8,0.10044005843051075,0.19686251452380107
pattern,19,7,0.24267578125,0.28604876150016045,8,0.10113350950338844,0.19822167862664133
pattern,27,11,0.23974609375,0.21189573910660545,8,0.0749164570134081,0.14683625574627987
pattern,9,7,0.23486328125,0.19329806590255508,8,0.06834118659497042,0.13394872572614203
pattern,11,23,0.23095703125,0.15685482132022804,8,0.05545655390866875,0.10869484566099075
pattern,5,1,0.22705078125,0.41451729939825016,8,0.14655399666181854,0.2872458334571643
pattern,4,19,0.22607421875,0.1787197042394997,8,0.0631869573997022,0.12384643650341631
pattern,2,20,0.2255859375,0.23457720072481125,8,0.08293556467213596,0.16255370675738648
pattern,10,20,0.22509765625,0.14049996766718856,8,0.04967423994697985,0.0973615102960805
pattern,14,13,0.2236328125,0.2320922125603063,8,0.08205698868099108,0.16083169781474252
pattern,18,13,0.220703125,0.21560842004061603,8,0.07622908794581855,0.14940901237380436
pattern,10,14,0.21826171875,0.23794195599878065,8,0.08412518530776444,0.1648853632032183
pattern,9,20,0.216796875,0.18975347831721595,8,0.06708798563591895,0.13149245184640113
pattern,2,23,0.2158203125,0.17034308682583124,8,0.06022537591139705,0.11804173678633822
pattern,4,5,0.21533203125,0.3101856087389002,8,0.10966717368287678,0.21494766041843846
pattern,9,2,0.21435546875,0.24333180754917896,8,0.08603078559820218,0.16862033977247626
pattern,0,17,0.21142578125,0.24890277407530598,8,0.08800041970239603,0.1724808226166962
pattern,7,14,0.21044921875,0.20027661948644562,8,0.07080847787599177,0.13878461663694389
pattern,9,15,0.20849609375,0.2853506362585192,8,0.10088668495714742,0.19773790251600895
pattern,27,20,0.20263671875,0.2413077835693097,8,0.08531518505747732,0.16721776271265554
pattern,12,5,0.20263671875,0.1746733126885647,8,0.06175634194720116,0.12104243021651427
pattern,7,12,0.201171875,0.155059639843778,8,0.054821861410939594,0.10745084836544161
pattern,25,22,0.2001953125,0.12408548697396873,8,0.04387084464306415,0.08598685550040573
pattern,16,16,0.19873046875,0.13115160101607318,8,0.04636909322096892,0.09088342271309907
pattern,3,18,0.19580078125,0.1892639024202637,8,0.06691489441759874,0.13115319305849352
pattern,27,0,0.1943359375,0.2229522038422197,8,0.07882550760865949,0.15449799491297259
pattern,23,4,0.19287109375,0.17906697859450013,8,0.0633097374253787,0.12408708535374224
pattern,11,15,0.19287109375,0.169897018142921,8,0.06006766681611666,0.11773262695958865
pattern,23,3,0.19091796875,0.20395432413412523,8,0.07210874282377953,0.1413331359346079
pattern,24,9,0.18798828125,0.15488293564780728,8,0.05475938704332209,0.1073283986049113
pattern,5,14,0.18603515625,0.15385918509659463,8,0.05439743656481912,0.10661897566704548
pattern,26,13,0.18408203125,0.12775011678065934,8,0.04516648693648879,0.08852631439551803
pattern,12,6,0.18408203125,0.11567923551543892,8,0.04089878593772128,0.0801616204379337
pattern,7,19,0.18212890625,0.12777570903148566,8,0.04517553516354134,0.08854404892054103
pattern,13,22,0.18212890625,0.12543412164188145,8,0.04434765900257632,0.08692141164504959
pattern,5,13,0.17919921875,0.23717116917329067,8,0.08385267101218784,0.16435123518388817
pattern,19,1,0.1787109375,0.13489294257681256,8,0.04769185721513586,0.09347604014166629
pattern,15,20,0.17724609375,0.12903195811821316,8,0.045619686287583554,0.08941458512366376
pattern,15,13,0.17724609375,0.12452717319180477,8,0.044027004302958396,0.08629292843379846
pattern,8,10,0.17626953125,0.16498250629116698,8,0.0583301244878182,0.11432704399612367
pattern,11,19,0.17578125,0.16312978920172733,8,0.05767509007903671,0.11304317655491196
pattern,9,4,0.17578125,0.1442972889186963,8,0.051016795750622304,0.09999291967121972
pattern,10,3,0.1748046875,0.19127238850485628,8,0.06762500148276586,0.1325450029062211
pattern,4,1,0.173828125,0.17661632002102143,8,0.06244329877753882,0.12238886560397608
pattern,14,12,0.17236328125,0.1925070557159361,8,0.06806152226149746,0.133400583632535
pattern,7,6,0.17236328125,0.166573543872596,8,0.05889264121929376,0.11542957678981576
pattern,16,10,0.17236328125,0.13242520835722418,8,0.04681938141471734,0.09176598757284597
pattern,16,0,0.17236328125,0.1563397830775646,8,0.055274460391689886,0.10833794236771217
pattern,10,0,0.171875,0.17756412322635126,8,0.06277839781439835,0.12304565971622076
pattern,18,6,0.17138671875,0.2009719934967591,8,0.07105432971506853,0.13926648624153432
pattern,12,1,0.16943359375,0.1050013930040197,8,0.03712359851358802,0.07276225308663252
pattern,9,8,0.1689453125,0.15507018297853245,8,0.05482558897197951,0.10745815438507984
pattern,11,8,0.16845703125,0.14816465613817462,8,0.052384116543738146,0.10267286842572676
pattern,16,17,0.16748046875,0.231957749564458,8,0.0820094488328996,0.1607385197124832
pattern,10,8,0.16748046875,0.15362524059311844,8,0.054314724692404455,0.10645686039711273
pattern,11,1,0.1669921875,0.194616505450176,8,0.06880732536732406,0.13486235771995517
pattern,5,12,0.16650390625,0.094972899737611,8,0.033577990716707404,0.0658128618047465
pattern,6,9,0.16650390625,0.16163890017765445,8,0.057147981209577446,0.11201004317077179
pattern,8,5,0.166015625,0.11600970628841795,8,0.04101562499999999,0.08039062499999998
pattern,17,0,0.16455078125,0.14592620591191666,8,0.05159270487657036,0.10112170155807791
pattern,14,0,0.16357421875,0.13110172953483745,8,0.046351460989684116,0.09084886353978086
pattern,5,20,0.16357421875,0.17152507881103807,8,0.060643273185421,0.11886081544342517
pattern,6,16,0.16357421875,0.18346235681057288,8,0.06486373829661103,0.12713292706135762
pattern,23,17,0.1630859375,0.15076520200498084,8,0.05330354835234081,0.10447495477058798
pattern,3,23,0.16162109375,0.1956574799296655,8,0.06917536542406864,0.13558371623117454
pattern,14,17,0.16162109375,0.12567718181245277,8,0.04443359374999999,0.08708984374999998
pattern,9,14,0.16162109375,0.17597258312152825,8,0.06221570341407301,0.1219427786915831
pattern,11,2,0.15966796875,0.22828239490613206,8,0.08071001473181567,0.15819162887435873
pattern,12,0,0.1591796875,0.05248058141618908,8,0.0185546875,0.0363671875
pattern,16,6,0.15869140625,0.06794557473842279,8,0.024022388324578065,0.047083881116173
pattern,0,21,0.158203125,0.13581493345561663,8,0.048017830216433105,0.09411494722420888
pattern,22,8,0.1572265625,0.16522428255652064,8,0.058415605306198964,0.11449458640014996
pattern,12,2,0.15673828125,0.22812000724569442,8,0.08065260202387743,0.15807909996679975
