component,layer,head,delta_margin
resid_pre,0,,-11.888671875
resid_pre,1,,-12.677734375
resid_pre,2,,-12.85546875
resid_pre,3,,-12.7421875
resid_pre,4,,-12.4609375
resid_pre,5,,-11.1396484375
resid_pre,6,,-10.78076171875
resid_pre,7,,-10.85595703125
resid_pre,8,,-10.905029296875
resid_pre,9,,-10.2119140625
resid_pre,10,,-8.876953125
resid_pre,11,,-8.1171875
resid_pre,12,,-5.62109375
resid_pre,13,,-3.6796875
resid_pre,14,,-2.7109375
resid_pre,15,,-3.0859375
resid_pre,16,,-3.37109375
resid_pre,17,,-3.421875
resid_pre,18,,-3.296875
resid_pre,19,,-3.26953125
resid_pre,20,,-3.515625
resid_pre,21,,-3.7265625
resid_pre,22,,-3.5390625
resid_pre,23,,-3.32421875
resid_pre,24,,-2.3125
resid_pre,25,,-1.7734375
resid_pre,26,,-0.7890625
resid_pre,27,,-0.7578125
