component,layer,head,abs_delta,std,n,sem,ci95
pattern,12,10,0.69830322265625,0.3073881788997107,8,0.10867813287828453,0.21300914044143768
pattern,21,15,0.373779296875,0.2637586662712775,8,0.0932527707585699,0.182775430686797
pattern,20,14,0.32208251953125,0.5862861649509986,8,0.20728346147635293,0.40627558449365175
pattern,12,8,0.25994873046875,0.168343452406209,8,0.0595183983823926,0.11665606082948948
pattern,23,3,0.218994140625,0.4656536470197625,8,0.1646334257459605,0.32268151446208254
pattern,0,10,0.19635009765625,0.2932462921665442,8,0.10367822087438747,0.20320931291379943
pattern,10,10,0.18975830078125,0.1957951168794303,8,0.0692240274343289,0.13567909377128465
pattern,14,14,0.185302734375,0.18788815239825016,8,0.06642849333270708,0.13019984693210587
pattern,9,1,0.1829833984375,0.12519269804055683,8,0.04426230286975876,0.08675411362472717
pattern,8,0,0.1800537109375,0.1603738190866879,8,0.05670070750049079,0.11113338670096194
pattern,5,0,0.17718505859375,0.3505338060060437,8,0.12393241563100162,0.24290753463676315
pattern,16,15,0.173828125,0.18530496301213686,8,0.06551519796670217,0.12840978801473626
pattern,10,1,0.1727294921875,0.1712106025732063,8,0.060532089045274566,0.11864289452873815
pattern,23,5,0.1693115234375,0.42716160277447873,8,0.15102443299217413,0.2960078886646613
pattern,8,4,0.16351318359375,0.2546897035548564,8,0.09004640824101523,0.17649096015238985
pattern,9,0,0.16241455078125,0.2181002152548375,8,0.07711007059247064,0.15113573836124247
pattern,11,15,0.161865234375,0.2532631579461402,8,0.08954204820421768,0.17550241448026666
pattern,4,5,0.1590576171875,0.24582326820711117,8,0.08691164996134387,0.170346833924234
pattern,10,3,0.158447265625,0.12009676982392185,8,0.04246062017054753,0.08322281553427316
pattern,10,15,0.15386962890625,0.17591052675466082,8,0.06219376317515913,0.12189977582331189
pattern,10,4,0.15240478515625,0.1307360590661324,8,0.04622217695563361,0.09059546683304187
pattern,21,4,0.14727783203125,0.15969621734244424,8,0.056461139106341526,0.11066383264842938
pattern,8,8,0.144744873046875,0.13386372460886672,8,0.04732797371290909,0.09276282847730181
pattern,10,12,0.14300537109375,0.10835363377763407,8,0.038308794605184396,0.07508523742616141
pattern,22,13,0.14117431640625,0.15452086210291305,8,0.054631374713880604,0.10707749443920599
pattern,14,2,0.140869140625,0.08652011504524715,8,0.030589480028767244,0.0599553808563838
pattern,12,14,0.1378173828125,0.17854309538451735,8,0.0631245167402144,0.12372405281082022
pattern,14,6,0.137237548828125,0.09275824056651139,8,0.03279499045775665,0.06427818129720303
pattern,6,0,0.1370849609375,0.08961742635292924,8,0.03168454494332114,0.06210170808890943
pattern,23,9,0.136962890625,0.10605326157042587,8,0.03749549021169941,0.07349116081493083
pattern,15,8,0.136260986328125,0.11957596922735976,8,0.04227648935381001,0.08286191913346762
pattern,12,5,0.13250732421875,0.06917311895458866,8,0.024456390744306673,0.04793452585884108
pattern,8,2,0.13165283203125,0.10539765964385304,8,0.037263699927680104,0.073036851858253
pattern,13,2,0.131591796875,0.1161256181588131,8,0.04105660603478821,0.08047094782818488
pattern,8,13,0.13018798828125,0.12213863531622637,8,0.0431825286384872,0.08463775613143491
pattern,13,0,0.129150390625,0.23305919593638008,8,0.0823988689322493,0.16150178310720864
pattern,1,12,0.1253662109375,0.10737137040741589,8,0.037961512060188184,0.07440456363796884
pattern,21,9,0.125244140625,0.09119045696284428,8,0.0322406952489636,0.06319176268796865
pattern,5,13,0.123321533203125,0.09322093793859808,8,0.032958578682476494,0.06459881421765393
pattern,13,1,0.12188720703125,0.19251270625585423,8,0.0680635200290442,0.13340449925692663
pattern,9,11,0.12103271484375,0.09747207713359538,8,0.034461583358751754,0.06754470338315344
pattern,4,10,0.118408203125,0.23275794819256382,8,0.08229236177101448,0.1612930290711884
pattern,8,9,0.1158447265625,0.08216887885252924,8,0.029051085719559663,0.05694012801033694
pattern,20,6,0.114990234375,0.08989794500436954,8,0.03178372326366251,0.06229609759677852
pattern,20,12,0.11456298828125,0.09387450805877667,8,0.03318965061445609,0.06505171520433393
pattern,0,2,0.1126708984375,0.08276362043363868,8,0.029261358622087705,0.0573522628992919
pattern,10,6,0.11199951171875,0.14657059811248216,8,0.051820531923952154,0.10156824257094622
pattern,17,11,0.1103515625,0.163622415107743,8,0.057849259638402636,0.11338454889126917
pattern,10,14,0.10888671875,0.09925003845719248,8,0.035090187613053214,0.0687767677215843
pattern,10,11,0.10791015625,0.07560096836291658,8,0.026728978696843975,0.05238879824581419
pattern,11,11,0.10760498046875,0.08260716793339586,8,0.02920604431016006,0.05724384684791372
pattern,12,3,0.10675048828125,0.15857362505411482,8,0.05606424279654879,0.10988591588123563
pattern,11,7,0.10321044921875,0.1256188841620934,8,0.04441298241805182,0.08704944553938157
pattern,2,3,0.100830078125,0.05544150468170369,8,0.0196015319598092,0.03841900264122603
pattern,9,15,0.09771728515625,0.12202466710771753,8,0.043142234791949056,0.08455878019222014
pattern,20,1,0.09661865234375,0.1428970234415706,8,0.0505217271434538,0.09902258520116945
pattern,19,2,0.09576416015625,0.07741746678477342,8,0.027371207872898793,0.053647567430881636
pattern,9,2,0.09564208984375,0.09772055552280813,8,0.03454943373574708,0.06771689012206428
pattern,22,7,0.095458984375,0.09092675693821867,8,0.03214746321115769,0.06300902789386907
pattern,15,3,0.093994140625,0.07157752989951847,8,0.025306478386266186,0.04960069763708173
pattern,7,2,0.093536376953125,0.050839474593322796,8,0.01797446861844987,0.03522995849216175
pattern,16,14,0.09246826171875,0.07629114113150194,8,0.02697299161927248,0.052867063573774055
pattern,13,13,0.09228515625,0.14992086048531247,8,0.05300502854524338,0.10388985594867703
pattern,20,9,0.0916748046875,0.11796551341775034,8,0.04170710724192196,0.08174593019416704
pattern,5,9,0.0914306640625,0.10139459837356714,8,0.0358484040428179,0.07026287192392308
pattern,8,1,0.09027099609375,0.141482554068406,8,0.05002163670068112,0.09804240793333499
pattern,6,2,0.090087890625,0.10882648803619005,8,0.03847597383155333,0.07541290870984453
pattern,2,7,0.08935546875,0.060578368825276646,8,0.02141768769478643,0.0419786678817814
pattern,0,15,0.08819580078125,0.08170797264971962,8,0.028888130768810846,0.05662073630686926
pattern,12,1,0.0869140625,0.05950051714797205,8,0.021036609579718743,0.041231754776248734
pattern,22,11,0.08544921875,0.0637816757024535,8,0.022550227702323056,0.04419844629655319
pattern,12,15,0.08538818359375,0.12881253291316255,8,0.04554210776235629,0.08926253121421832
pattern,13,6,0.08465576171875,0.04754948146870274,8,0.01681128039421189,0.0329501095726553
pattern,7,13,0.0833740234375,0.07400171196183435,8,0.026163556173813357,0.05128057010067418
pattern,14,11,0.0833740234375,0.08604988577014924,8,0.030423228874200164,0.05962952859343232
pattern,8,12,0.08282470703125,0.07831482305746483,8,0.02768847122567898,0.054269403602330804
pattern,15,9,0.0811767578125,0.061428004702618395,8,0.021718079339990298,0.04256743550638098
