component,layer,head,abs_delta,std,n,sem,ci95
z,12,10,1.01751953125,0.760583510181817,50,0.10756275154164606,0.21082299302162627
z,12,8,0.51587890625,0.445352764774566,50,0.0629823919984546,0.12344548831697101
z,21,15,0.464501953125,0.3057794213330556,50,0.043243740474380406,0.08475773132978559
z,10,10,0.4546240234375,0.3986019361838202,50,0.056370826413933345,0.11048681977130935
z,8,0,0.3710888671875,0.30694025338068204,50,0.043407906916919474,0.08507949755716217
z,10,15,0.35927734375,0.32745181055848066,50,0.04630867915154288,0.09076501113702405
z,9,1,0.353720703125,0.3189223552788268,50,0.04510243201792875,0.08840076675514034
z,20,6,0.3328125,0.39290307754883047,50,0.05556488609676839,0.10890717674966605
z,8,4,0.331474609375,0.2506699248951537,50,0.03545008074657715,0.06948215826329121
z,0,10,0.329130859375,0.36820526013142435,50,0.052072087261497375,0.10206129103253485
z,10,4,0.314833984375,0.31994290543792536,50,0.04524675960553667,0.08868364882685187
z,23,9,0.310927734375,0.2644217448526972,50,0.03739488177570425,0.07329396828038033
z,12,3,0.29873046875,0.46011350669854445,50,0.06506987614041254,0.12753695723520858
z,14,14,0.28939453125,0.2700090064278808,50,0.03818503988531932,0.07484267817522587
z,14,2,0.28515625,0.1934185515507351,50,0.02735351388176092,0.0536128872082514
z,10,1,0.2801123046875,0.2570595754473908,50,0.03635371379355699,0.0712532790353717
z,8,2,0.275859375,0.2485119648920557,50,0.03514489911623316,0.06888400226781699
z,16,15,0.2733154296875,0.20656166244205587,50,0.02921223044918886,0.05725597168041016
z,15,8,0.247421875,0.17626496388823074,50,0.024927630250193972,0.048858155290380186
z,9,0,0.241962890625,0.2464490121850151,50,0.03485315354655005,0.0683121809512381
z,9,7,0.2396044921875,0.3260787541538456,50,0.04611449965260906,0.09038441931911376
z,9,11,0.23673828125,0.20590512654709245,50,0.029119382252504655,0.057073989214909124
z,10,12,0.23392578125,0.28028260091327645,50,0.039637945550876116,0.07769037327971719
z,11,6,0.231513671875,0.2736322806456984,50,0.03869744823922276,0.07584699854887661
z,9,15,0.229814453125,0.1889663142785917,50,0.0267238724484441,0.05237878999895044
z,0,2,0.22361328125,0.15814975321688676,50,0.022365752588527927,0.04383687507351473
z,9,4,0.2194921875,0.21657855209874374,50,0.030628832569717133,0.060032511836645576
z,14,11,0.217919921875,0.19183601960762411,50,0.0271297100680773,0.053174231733431505
z,5,13,0.216845703125,0.19661273621170414,50,0.02780523980858757,0.05449827002483164
z,12,14,0.2101171875,0.25074469220880524,50,0.03546065444147597,0.0695028827052929
z,12,12,0.20908203125,0.20806794422684374,50,0.029425250862069114,0.057673491689655465
z,7,1,0.20765625,0.21067677549621633,50,0.029794195318378087,0.05839662282402105
z,8,9,0.206181640625,0.2132541214625223,50,0.030158687080425833,0.05911102667763463
z,8,10,0.2048828125,0.19871099089960234,50,0.028101977832281428,0.0550798765512716
z,19,10,0.20453125,0.25747474792993386,50,0.03641242804911064,0.07136835897625686
z,4,15,0.2003857421875,0.23146359809547837,50,0.03273389596223008,0.06415843608597095
z,14,6,0.199296875,0.1571398672835052,50,0.022222933150184126,0.04355694897436089
z,13,2,0.1992333984375,0.19630276013555537,50,0.027761402571497493,0.05441234904013508
z,8,12,0.1981298828125,0.23959426431279332,50,0.03388374580579563,0.06641214177935943
z,20,12,0.196904296875,0.11587318048488288,50,0.01638694233570268,0.03211840697797725
z,6,9,0.1955908203125,0.17688435208266828,50,0.025015224968688708,0.049029840938629866
z,15,9,0.1934228515625,0.1933802902054433,50,0.027348102910418292,0.05360228170441985
z,21,9,0.1896484375,0.15046611946486163,50,0.021279122682485767,0.0417070804576721
z,22,2,0.189208984375,0.16035609975312312,50,0.022677777108011964,0.04444844313170345
z,11,15,0.188779296875,0.15854208873632003,50,0.022421237209786248,0.043945624931181045
z,8,13,0.188701171875,0.16645219487847893,50,0.023539895148391433,0.04613819449084721
z,8,8,0.18341796875,0.16338052457414673,50,0.023105495368038905,0.04528677092135625
z,11,11,0.18048828125,0.17248245948896831,50,0.02439270334807669,0.047809698562230316
z,13,13,0.1798486328125,0.19408128710585457,50,0.027447238842792602,0.0537965881318735
z,12,5,0.178525390625,0.1481120668068651,50,0.02094620936293785,0.041054570351358184
z,10,8,0.1774609375,0.1517213367530356,50,0.021456637213751843,0.042055008938953614
z,4,5,0.174580078125,0.2819400584501853,50,0.03987234544365152,0.07814979706955698
z,11,7,0.17203125,0.18079545583121212,50,0.025568338565192604,0.0501139435877775
z,6,0,0.166904296875,0.13107443653484743,50,0.018536724582799275,0.03633198018228658
z,9,13,0.166064453125,0.17204644847296335,50,0.024331042078858865,0.04768884247456338
z,13,1,0.16583984375,0.17476239436600607,50,0.024715134830520114,0.04844166426781942
z,10,3,0.163994140625,0.1418511188974869,50,0.02006077761826244,0.03931912413179438
z,4,8,0.16072265625,0.15548382309387213,50,0.021988733134897298,0.043097916944398705
z,23,15,0.159970703125,0.2250294562280942,50,0.031823970893121355,0.062374982950517854
z,15,3,0.1599609375,0.10608908751678792,50,0.015003262638602768,0.029406394771661425
z,20,4,0.156826171875,0.29014819797387903,50,0.04103315166727735,0.0804249772678636
z,7,2,0.153818359375,0.14649322657408193,50,0.020717270781686135,0.04060585073210483
z,12,4,0.1491796875,0.1688649761161749,50,0.023881113943330333,0.04680698332892745
z,16,14,0.148291015625,0.13536781635612125,50,0.019143900179965714,0.0375220443527328
z,13,4,0.14689453125,0.12265347629248775,50,0.017345820964504304,0.03399780909042843
z,20,9,0.146474609375,0.1251248296909052,50,0.01769532311385018,0.03468283330314636
z,2,7,0.14525390625,0.1602227775665868,50,0.02265892250357547,0.04441148810700792
z,22,9,0.1450537109375,0.19409164339004895,50,0.02744870344254895,0.05379945874739594
z,11,5,0.14318359375,0.11980481278439781,50,0.016942959107726495,0.03320819985114393
z,5,4,0.141279296875,0.1496907273443952,50,0.02116946567719368,0.041492152727299614
z,6,4,0.1404931640625,0.11062065342488155,50,0.015644122835204124,0.030662480757000083
z,6,12,0.14025390625,0.11682598627888181,50,0.016521689423320777,0.03238251126970872
z,7,13,0.1389990234375,0.13533516261079628,50,0.01913928224301563,0.03751299319631063
z,5,0,0.1384765625,0.18128735709656488,50,0.02563790390927364,0.05025029166217633
z,5,5,0.1368408203125,0.1288374420515992,50,0.01822036578908293,0.03571191694660254
z,22,13,0.13654296875,0.16372678226928075,50,0.02315446360089236,0.04538274865774902
z,14,10,0.136044921875,0.15831693915429781,50,0.022389396250540403,0.04388321665105919
z,11,10,0.135869140625,0.12135151132943679,50,0.017161695313656182,0.033636922814766115
z,10,7,0.135712890625,0.10734409371315826,50,0.015180747316979689,0.02975426474128019
z,23,3,0.135673828125,0.21830294578611928,50,0.030872698663672836,0.060510489380798754
z,14,7,0.1346728515625,0.12539960174373763,50,0.017734181750217855,0.034758996230427
z,21,2,0.132919921875,0.12467670633752356,50,0.017631948901453344,0.034558619846848555
z,16,6,0.1324365234375,0.11632866922559373,50,0.016451358171164835,0.032244662015483073
z,19,2,0.13189453125,0.1504112535650988,50,0.021271363472530124,0.04169187240615904
z,15,15,0.13083984375,0.11535448094046405,50,0.016313587142651294,0.03197463079959654
z,1,3,0.130078125,0.11670541018046603,50,0.016504637387953013,0.032349089280387905
z,6,2,0.12947265625,0.18175174169785024,50,0.02570357780940314,0.050379012506430156
z,7,15,0.128984375,0.11584892997237127,50,0.01638351279533384,0.03211168507885433
z,11,14,0.128701171875,0.12687403597896446,50,0.017942698239446355,0.03516768854931485
z,11,4,0.1268994140625,0.10346841351719117,50,0.014632643367323943,0.02867998099995493
z,18,8,0.125986328125,0.2377590812985944,50,0.03362421173498395,0.06590345500056854
z,2,8,0.125810546875,0.11457928732367806,50,0.016203958210018916,0.03175975809163708
z,7,7,0.125615234375,0.15290925772412275,50,0.021624634608585734,0.04238428383282804
z,1,14,0.125478515625,0.14582055190622226,50,0.02062214021785094,0.040419394826987844
z,13,3,0.12431640625,0.09654521850232084,50,0.0136535557388256,0.026760969248098173
z,12,1,0.1239453125,0.11968253642853911,50,0.016925666619645202,0.0331743065745046
z,6,3,0.1225,0.08583941635688276,50,0.01213952667980945,0.02379347229242652
z,19,9,0.121669921875,0.10716005323560619,50,0.015154720063041714,0.02970325132356176
z,8,6,0.121513671875,0.10876785724091538,50,0.015382097886036318,0.030148911856631183
z,17,5,0.11962890625,0.11437137322766036,50,0.016174554716579238,0.0317021272444953
z,22,6,0.1193701171875,0.11022594189183844,50,0.015588302194878662,0.030553072301962178
z,19,11,0.1191796875,0.14390992929267749,50,0.020351937376585763,0.039889797258108095
z,18,0,0.11912109375,0.15771609198284237,50,0.022304423628661824,0.04371667031217717
z,18,10,0.11865234375,0.12289960653306965,50,0.017380629036938412,0.034066032912399284
z,9,6,0.11779296875,0.12166000718399621,50,0.017205323215801562,0.033722433502971064
z,21,3,0.117138671875,0.11709787483720854,50,0.016560140271984748,0.0324578749330901
z,20,14,0.1169921875,0.25793003288404637,50,0.03647681506479568,0.07149455752699953
z,3,13,0.11642578125,0.10293268827856288,50,0.014556880377506572,0.02853148553991288
z,10,6,0.115009765625,0.09928725138510415,50,0.014041337747956115,0.027521021985993984
z,11,2,0.11498046875,0.10240327120781689,50,0.014482009497346493,0.028384738614799124
z,10,9,0.114912109375,0.11818150435831078,50,0.016713388628517813,0.03275824171189491
z,14,12,0.114345703125,0.09877664108621431,50,0.013969126546978376,0.027379488032077615
z,5,12,0.114091796875,0.12100835947456466,50,0.017113166312944815,0.033541805973371835
z,8,14,0.113427734375,0.10919865886993665,50,0.015443022436681749,0.030268323975896228
z,8,1,0.1132421875,0.09736508131632579,50,0.013769501849910716,0.026988223625825005
z,15,11,0.11244140625,0.09118624376555767,50,0.012895682263511074,0.025275537236481706
z,22,5,0.111201171875,0.10157988011810472,50,0.014365564412725679,0.02815650624894233
z,8,7,0.1102978515625,0.09909639054717632,50,0.014014345949403772,0.02746811806083139
z,0,1,0.10962890625,0.10268052567227529,50,0.014521219199733046,0.02846158963147677
z,10,14,0.109619140625,0.09178326497989896,50,0.012980113813345663,0.0254410230741575
z,9,3,0.1093310546875,0.11078365817976832,50,0.015667175188713342,0.03070766336987815
z,20,1,0.10796875,0.09111196860485923,50,0.012885178169550357,0.0252549492123187
z,17,15,0.107060546875,0.1372778068619695,50,0.019414013627703158,0.03805146671029819
z,14,8,0.10681640625,0.17334411205311862,50,0.024514559422304183,0.048048536467716195
z,23,2,0.10599609375,0.11890023763385399,50,0.01681503286311802,0.03295746441171132
z,2,5,0.105830078125,0.11596090944876726,50,0.016399349084756504,0.03214272420612275
z,16,3,0.105595703125,0.09592331055911751,50,0.01356560467404303,0.026588585161124337
z,17,6,0.105224609375,0.13559052302415422,50,0.01917539565900203,0.03758377549164398
z,2,3,0.10517578125,0.08832044621762457,50,0.012490397287580819,0.024481178683658403
z,9,2,0.10484375,0.10030473870070908,50,0.014185232184083223,0.027803055080803118
z,5,3,0.10283203125,0.13077416203288011,50,0.018494259355487572,0.03624874833675564
z,18,3,0.10283203125,0.0834534551347801,50,0.011802100807850062,0.02313211758338612
z,19,13,0.1028125,0.11166341877789274,50,0.015791592125664243,0.030951520566301915
z,6,13,0.10244140625,0.12233234790359215,50,0.01730040655222039,0.03390879684235196
z,6,5,0.1021533203125,0.11942530711534048,50,0.01688928890130866,0.03310300624656497
