component,layer,head,abs_delta,std,n,sem,ci95
z,21,15,0.443603515625,0.3345666842708886,8,0.11828718560352197,0.23184288378290305
z,12,10,0.4014892578125,0.33982508315260457,8,0.12014631035724453,0.23548676830019927
z,20,14,0.28350830078125,0.49394296648685543,8,0.17463521056112752,0.34228501269980993
z,20,6,0.23724365234375,0.3837969109063097,8,0.1356926991501504,0.2659576903342948
z,23,3,0.22314453125,0.4059829672690858,8,0.14353665460110335,0.28133184301816255
z,13,2,0.20819091796875,0.12305017929657537,8,0.04350480810341448,0.08526942388269237
z,23,9,0.2073974609375,0.18003588719853852,8,0.06365229834751146,0.12475850476112246
z,12,3,0.183837890625,0.19313007095882007,8,0.06828179141301038,0.13383231116950034
z,12,8,0.16229248046875,0.10651118688719043,8,0.03765739126008001,0.07380848686975681
z,17,11,0.15234375,0.1313527127030566,8,0.04644019693978984,0.09102278600198808
z,23,5,0.146484375,0.3583355199128244,8,0.12669073803518263,0.24831384654895797
z,14,2,0.143524169921875,0.08526211553771311,8,0.030144710037513917,0.05908363167352728
z,20,12,0.13690185546875,0.055356007445684814,8,0.01957130412212837,0.03835975607937161
z,10,1,0.130615234375,0.10088786656591475,8,0.03566924729410094,0.06991172469643785
z,10,15,0.1275634765625,0.07680231022737667,8,0.027153717186285488,0.05322128568511956
z,15,8,0.1258544921875,0.059990076198055756,8,0.02120969484177146,0.04157100188987206
z,9,15,0.1253662109375,0.1936374442845649,8,0.06846117497262405,0.13418390294634314
z,14,14,0.11517333984375,0.06517852533118601,8,0.023044088624710395,0.045166413704432376
z,21,9,0.1138916015625,0.0873400686274463,8,0.030879377397882855,0.060523579699850394
z,13,13,0.1134033203125,0.20536769223808732,8,0.07260844390909171,0.14231255006181975
z,14,7,0.11090087890625,0.0684606619183667,8,0.02420449914349836,0.04744081832125679
z,9,1,0.11053466796875,0.08564607327109676,8,0.030280459595996213,0.05934970080815258
z,14,11,0.109283447265625,0.1031865598812849,8,0.03648195810968415,0.07150463789498093
z,13,4,0.10772705078125,0.08463758249271372,8,0.02992390426191684,0.05865085235335701
z,14,12,0.10748291015625,0.03710610511542402,8,0.01311898927526858,0.025713218979526414
z,16,12,0.105224609375,0.12348317410172709,8,0.04365789488488514,0.08556947397437488
z,8,0,0.1041259765625,0.14127448129032893,8,0.04994807186450181,0.09789822085442354
z,10,10,0.10406494140625,0.06841587145420491,8,0.024188663323027715,0.04740978011313432
z,10,12,0.10211181640625,0.1053503067763746,8,0.03724695816082878,0.0730040379952244
z,23,2,0.1016845703125,0.052562777555266504,8,0.0185837482236645,0.03642414651838242
z,14,6,0.10009765625,0.07425545380027532,8,0.02625326746112953,0.05145640422381388
z,21,3,0.09991455078125,0.1097166796861957,8,0.03879070410769065,0.07602978005107368
z,9,0,0.09808349609375,0.13277439564562915,8,0.04694283776448499,0.09200796201839058
z,12,5,0.09661865234375,0.12247156082769514,8,0.043300235581881986,0.08486846174048869
z,9,7,0.09661865234375,0.11889865075417998,8,0.042037021111105834,0.08239256137776743
z,16,14,0.09539794921875,0.0389025547113305,8,0.013754130120931234,0.026958095037025218
z,22,2,0.09466552734375,0.061570164934302646,8,0.02176834057190979,0.04266594752094319
