component,layer,head,delta_margin
resid_pre,0,,-1.07763671875
resid_pre,1,,-1.00341796875
resid_pre,2,,-1.01318359375
resid_pre,3,,-1.00439453125
resid_pre,4,,-0.93994140625
resid_pre,5,,-0.94921875
resid_pre,6,,-0.91650390625
resid_pre,7,,-1.0048828125
resid_pre,8,,-0.9970703125
resid_pre,9,,-0.51513671875
resid_pre,10,,-0.44970703125
resid_pre,11,,0.20068359375
resid_pre,12,,0.2236328125
resid_pre,13,,0.5615234375
resid_pre,14,,0.9130859375
resid_pre,15,,0.7021484375
resid_pre,16,,0.8857421875
resid_pre,17,,0.9677734375
resid_pre,18,,1.0263671875
resid_pre,19,,1.060546875
resid_pre,20,,1.1240234375
resid_pre,21,,0.3095703125
resid_pre,22,,0.36376953125
resid_pre,23,,0.2041015625
