component,layer,head,abs_delta,std,n,sem,ci95
pattern,10,10,0.4161376953125,0.3194822123876589,8,0.1129540194238972,0.22138987807083851
pattern,0,0,0.3511962890625,0.41464314016823245,8,0.14659848809272064,0.28733303666173243
pattern,0,4,0.29150390625,0.1680230848061131,8,0.05940513133114247,0.11643405740903924
pattern,0,6,0.2724609375,0.260261300379919,8,0.09201626518953485,0.18035187977148828
pattern,0,11,0.268798828125,0.11180894318707842,8,0.03953043096244229,0.07747964468638689
pattern,5,9,0.24658203125,0.17324795964474113,8,0.06125240354576489,0.12005471094969918
pattern,12,1,0.2451171875,0.14464808863307144,8,0.051140822179058784,0.10023601147095522
pattern,2,2,0.244873046875,0.2586459604767091,8,0.09144515628979438,0.17923250632799698
pattern,12,7,0.24365234375,0.22993788644585386,8,0.08129531937878279,0.15933882598241425
pattern,13,9,0.232421875,0.23801580648151216,8,0.08415129539633112,0.164936538976809
pattern,8,5,0.18701171875,0.09096345885858091,8,0.03216043929954304,0.06303446102710436
pattern,3,4,0.1845703125,0.1330215987912402,8,0.047030237274781096,0.09217926505857095
pattern,10,5,0.180908203125,0.11440110682162613,8,0.04044689920440921,0.07927592244064206
pattern,9,2,0.174560546875,0.07584520655234891,8,0.02681532993683014,0.052558046676187076
pattern,13,8,0.170166015625,0.1165740897919384,8,0.04121516470126456,0.08078172281447854
pattern,11,11,0.166748046875,0.15625675731761138,8,0.05524510635275184,0.1082804084513936
pattern,15,11,0.156982421875,0.1073987267063791,8,0.03797118397244071,0.0744235205859838
pattern,15,6,0.152099609375,0.11042345408290834,8,0.03904058659203292,0.07651954972038452
pattern,5,1,0.148681640625,0.07151469079919616,8,0.0252842614092854,0.04955715236219938
pattern,12,3,0.148193359375,0.10958623923351737,8,0.03874458644337571,0.07593938942901639
pattern,5,6,0.148193359375,0.07493077671193418,8,0.026492030166291845,0.051924379125932014
pattern,2,0,0.14697265625,0.2164503393957276,8,0.07652675138842435,0.14999243272131174
pattern,15,9,0.14306640625,0.15762768057322993,8,0.05572980091801895,0.10923040979931714
pattern,13,6,0.14306640625,0.10070438262888097,8,0.03560437592604324,0.06978457681504475
