component,layer,head,abs_delta,std,n,sem,ci95
z,0,9,5.6466015625,4.215674340763882,50,0.5961863827256538,1.1685253101422814
z,0,3,0.60994140625,0.6330929040296204,50,0.08953285711208574,0.17548439993968803
z,8,1,0.480400390625,0.4554560258499289,50,0.06441120888215204,0.126245969409018
z,12,11,0.4619921875,0.5175513164053662,50,0.07319280908845179,0.14345790581336548
z,0,0,0.435009765625,0.4578926941366191,50,0.0647558058159562,0.12692137939927417
z,10,10,0.40830078125,0.30401121067842557,50,0.04299367772548937,0.08426760834195916
z,16,1,0.3828125,0.3044883120852805,50,0.04306115005350952,0.08439985410487866
z,8,10,0.35509765625,0.4442602366167633,50,0.06282788518465068,0.12314265496191534
z,5,9,0.348037109375,0.2576667461395309,50,0.03643958069630699,0.0714215781647617
z,12,1,0.34421875,0.31075038355712326,50,0.043946740693912495,0.0861356117600685
z,0,11,0.334453125,0.25627436961098227,50,0.03624266891924665,0.07103563108172344
z,15,6,0.330966796875,0.35856637214586656,50,0.05070894264996029,0.09938952759392217
z,13,9,0.325146484375,0.23383827775644225,50,0.03306972638051275,0.06481666370580498
z,13,1,0.315146484375,0.33008246015547116,50,0.04668070918533441,0.09149419000325544
z,0,4,0.294375,0.4804323689554666,50,0.06794339719798556,0.1331690585080517
z,9,11,0.29314453125,0.25093619084390584,50,0.03548773643816949,0.0695559634188122
z,2,2,0.29146484375,0.249975005476871,50,0.03535180429996797,0.06928953642793721
z,0,6,0.2878125,0.3269579353915278,50,0.046238834655620474,0.09062811592501613
z,13,11,0.281357421875,0.20327823171065454,50,0.02874788322204282,0.056345851115203925
z,12,7,0.2744921875,0.21233333082662187,50,0.030028467619886184,0.05885579653497692
z,9,10,0.26208984375,0.19949987901605226,50,0.028213543459629273,0.055298545180873376
z,10,11,0.244072265625,0.17536666343711288,50,0.0248005913820883,0.04860915910889307
z,18,4,0.24330078125,0.19285049527937737,50,0.027273178593446402,0.05345543004315494
z,10,3,0.2375390625,0.20257953218987798,50,0.028649072188212242,0.056152181488895996
z,10,5,0.228154296875,0.17043780195893002,50,0.024103545107137848,0.04724294840999018
z,1,7,0.22271484375,0.23537495699285757,50,0.03328704564222831,0.06524260945876749
z,18,1,0.222294921875,0.18649225694386934,50,0.0263739879047588,0.051693016293327246
z,11,9,0.222138671875,0.17797699244780701,50,0.02516974765100626,0.049332705395972266
z,18,2,0.217763671875,0.21794001791935924,50,0.030821372912539318,0.06040989090857706
z,8,8,0.21251953125,0.18134345826946147,50,0.025645837813231178,0.05026584211393311
z,10,8,0.207431640625,0.21865370363070466,50,0.030922303313764977,0.060607714494979356
z,17,3,0.206357421875,0.17746607471329068,50,0.025097492972065264,0.04919108622524792
z,16,6,0.20384765625,0.1646071233942992,50,0.02327896263674395,0.04562676676801814
