component,layer,head,abs_delta,std,n,sem,ci95
z,5,9,0.35498046875,0.138042657297219,8,0.048805449533937104,0.09565868108651672
z,16,1,0.351806640625,0.2370463405324251,8,0.08380853742296666,0.16426473334901465
z,12,11,0.285888671875,0.167458402108606,8,0.05920548584882947,0.11604275226370575
z,13,9,0.218505859375,0.2492630860609915,8,0.08812780922660654,0.1727305060841488
z,15,9,0.1953125,0.21213799423802035,8,0.07500210713650846,0.14700412998755658
z,16,9,0.194091796875,0.259123799054492,8,0.0916140977391258,0.17956363156868654
z,13,6,0.18798828125,0.10791410156612886,8,0.038153396501531774,0.07478065714300228
z,15,11,0.171875,0.14096560932863325,8,0.04983886913518511,0.0976841835049628
z,17,0,0.1697998046875,0.08659202713444007,8,0.030614904791726048,0.06000521339178305
z,14,7,0.165283203125,0.1355294955762124,8,0.04791691268636599,0.09391714886527734
z,17,5,0.1611328125,0.12885973863279948,8,0.04555879750458932,0.08929524310899506
z,12,1,0.16064453125,0.15285710068665193,8,0.05404314622402322,0.1059245665990855
z,15,6,0.1591796875,0.15229723992411834,8,0.05384520555316934,0.1055366028842119
z,12,7,0.15673828125,0.09450121045364573,8,0.033411223371054975,0.06548599780726776
z,13,11,0.152587890625,0.11603524618755082,8,0.04102465471793383,0.0804083232471503
z,16,5,0.152099609375,0.08597831252376956,8,0.03039792391026686,0.05957993086412304
z,24,6,0.14404296875,0.0819631280707474,8,0.028978341833043476,0.05679754999276521
z,12,9,0.143310546875,0.09675328919602537,8,0.03420745344630633,0.0670466087547604
z,18,1,0.140625,0.20812861965964355,8,0.07358457916016486,0.14422577515392312
z,10,10,0.133544921875,0.16465579341145298,8,0.058214614041444825,0.11410064352123185
z,15,7,0.131103515625,0.11931859466349201,8,0.0421854937041021,0.08268356766004012
z,17,2,0.130615234375,0.09535478641053775,8,0.033713008044743045,0.06607749576769636
z,18,4,0.129638671875,0.10453944035467841,8,0.03696027358811986,0.07244213623271492
z,15,10,0.128173828125,0.0950313378754453,8,0.03359865171847868,0.06585335736821821
z,17,3,0.11572265625,0.08033800654149556,8,0.028403774606250362,0.05567139822825071
z,19,9,0.109619140625,0.09102147760057094,8,0.03218095202249158,0.0630746659640835
z,19,11,0.106201171875,0.07291453870925027,8,0.025779182384199937,0.050527197473031873
z,17,4,0.105712890625,0.06237289583297571,8,0.022052148802869636,0.043222211653624484
z,6,3,0.104248046875,0.09826782550743424,8,0.034742922894381564,0.06809612887298787
z,13,7,0.102783203125,0.09467513158755184,8,0.033472713777643305,0.06560651900418088
z,16,10,0.099609375,0.08861002700688402,8,0.0313283754888454,0.06140361595813698
z,5,6,0.09912109375,0.07730985176616255,8,0.027333160218190163,0.05357299402765272
z,10,5,0.09716796875,0.0890563197847884,8,0.03148616381367078,0.06171288107479473
z,16,4,0.095703125,0.10567007075438441,8,0.03736001179944374,0.07322562312690972
z,14,6,0.0947265625,0.13411503481777912,8,0.04741682528936077,0.0929369775671471
z,15,1,0.094482421875,0.08966121730901573,8,0.031700027384322836,0.06213205367327276
z,16,0,0.093994140625,0.08670415374968135,8,0.03065454753672035,0.06008291317197188
z,18,2,0.09375,0.027621358640099514,8,0.009765625,0.019140625
z,16,8,0.093505859375,0.07378749753147419,8,0.026087819935645518,0.05113212707386521
z,15,0,0.093017578125,0.07346552629984429,8,0.025973985915029273,0.050909012393457374
z,14,10,0.09228515625,0.12547755977510464,8,0.044363016701858424,0.08695151273564251
z,12,10,0.091796875,0.06451650698502753,8,0.02281002979379111,0.04470765839583058
z,11,11,0.087890625,0.0761539871395744,8,0.026924500360393094,0.052772020706370465
z,23,2,0.08740234375,0.08669354675181769,8,0.030650797396661638,0.06007556289745681
z,10,8,0.087158203125,0.07638932375213016,8,0.027007704417692915,0.05293510065867811
z,20,0,0.084716796875,0.06614260871273232,8,0.02338494357307072,0.04583448940321861
z,8,1,0.083984375,0.06523888591118823,8,0.023065429312428356,0.04520824145235958
z,13,8,0.082763671875,0.06393901340849346,8,0.022605854981761656,0.04430747576425285
z,11,9,0.07861328125,0.05995216642747032,8,0.021196291713844365,0.04154473175913495
z,10,11,0.078369140625,0.05609863745713078,8,0.019833863480631413,0.03887437242203757
z,15,8,0.077880859375,0.061519562129929074,8,0.021750449778849986,0.04263088156654597
z,12,6,0.075439453125,0.060766428507284934,8,0.021484176832994355,0.042108986592668936
z,14,9,0.07373046875,0.07740847478905993,8,0.02736802872232609,0.05364133629575914
z,14,8,0.071533203125,0.05990840550880038,8,0.021180819892673133,0.04151440698963934
z,12,8,0.071533203125,0.03790036779887366,8,0.013399803540023913,0.02626361493844687
z,10,9,0.0712890625,0.04664190556689032,8,0.01649040385690536,0.03232119155953451
z,16,3,0.07080078125,0.036773770280786586,8,0.013001491167670262,0.025482922688633714
z,5,8,0.07080078125,0.05659490534707536,8,0.020009320675763893,0.03921826852449723
z,17,1,0.070556640625,0.058420852609628024,8,0.020654890521483893,0.04048358542210843
z,19,5,0.0703125,0.05522298421392194,8,0.01952427330751093,0.038267575682721426
z,25,8,0.068115234375,0.04579814864978156,8,0.016192090738025033,0.031736497846529065
z,10,3,0.067138671875,0.03253056859694881,8,0.011501292825378328,0.022542533937741523
z,10,2,0.067138671875,0.06113301307161301,8,0.0216137840486517,0.042363016735357334
z,20,6,0.06591796875,0.04304161334352106,8,0.015217508334206563,0.029826316335044862
z,16,11,0.06494140625,0.04569465828931709,8,0.016155501370189097,0.03166478268557063
z,6,11,0.064697265625,0.06129770539789068,8,0.021672011579011868,0.04247714269486326
z,23,7,0.064453125,0.06809979413695415,8,0.02407691311582408,0.0471907497070152
z,25,6,0.063232421875,0.06268229466124961,8,0.02216153780765146,0.043436614102996866
z,7,6,0.06298828125,0.04973762335252674,8,0.01758490537633702,0.03446641453762055
z,11,10,0.061279296875,0.03254731642924277,8,0.011507214078270945,0.022554139593411054
z,16,7,0.061279296875,0.04624221205959875,8,0.016349090862204308,0.032044218089920445
z,10,6,0.05908203125,0.04833737762017415,8,0.01708984375,0.03349609375
z,8,5,0.05908203125,0.035507146411519225,8,0.012553672004084415,0.024605197128005452
z,11,6,0.05908203125,0.04416642044149554,8,0.015615187697458822,0.03060576788701929
z,10,0,0.057861328125,0.05636514655280658,8,0.01992808867503154,0.03905905380306182
z,10,1,0.057373046875,0.029821155243364195,8,0.010543370547699795,0.020665006273491597
z,15,4,0.056884765625,0.04052019959083885,8,0.014326053952857258,0.028079065747600225
z,6,5,0.056884765625,0.04671705976509762,8,0.01651697487849887,0.03237327076185779
z,18,5,0.055419921875,0.042470445374334885,8,0.015015569962102517,0.029430517125720933
z,12,0,0.055419921875,0.05901944968121804,8,0.02086652654574375,0.04089839202965775
z,16,6,0.055419921875,0.05194764400297229,8,0.018366265670583196,0.03599788071434307
z,20,11,0.05517578125,0.038397662600268556,8,0.013575623803181489,0.02660822265423572
z,18,9,0.054443359375,0.02264367868206086,8,0.008005749373547248,0.015691268772152607
z,4,9,0.0537109375,0.06592029385780306,8,0.023306343402331228,0.045680433068569205
z,24,9,0.053466796875,0.03689490273034832,8,0.01304431795592368,0.02556686319361041
z,13,10,0.052978515625,0.03194739234017034,8,0.011295108882480807,0.022138413409662383
z,19,6,0.052734375,0.02910090708154559,8,0.010288724368020254,0.020165899761319696
z,20,3,0.05224609375,0.043193280047557646,8,0.015271130611658806,0.029931415998851258
z,19,7,0.052001953125,0.06491176695072241,8,0.02294977529482832,0.044981559577863504
z,20,10,0.052001953125,0.038243898904231015,8,0.013521260127097262,0.02650166984911063
z,18,11,0.051513671875,0.03524816698064251,8,0.012462108948204036,0.024425733538479908
z,20,7,0.051025390625,0.04371607496658519,8,0.01545596652786593,0.03029369439461722
z,5,7,0.05078125,0.027323812884698862,8,0.009660426689321462,0.018934436311070064
z,9,9,0.050537109375,0.0421031613470667,8,0.0148857154489511,0.029176002279944154
z,6,4,0.050537109375,0.03897083972506819,8,0.013778272519064903,0.02700541413736721
z,27,5,0.050048828125,0.026920705059019553,8,0.00951790655077786,0.018655096839524606
z,22,5,0.0498046875,0.0507919803223596,8,0.017957676857917076,0.03519704664151747
z,8,7,0.0498046875,0.03543416934461505,8,0.012527870714644892,0.024554626600703986
z,21,3,0.0498046875,0.0399453798396725,8,0.014122824480852414,0.02768073598247073
z,11,8,0.048583984375,0.057999568204728805,8,0.020505943991727702,0.0401916502237863
z,26,5,0.04833984375,0.03816990800477038,8,0.013495100393719909,0.02645039677169102
z,23,5,0.04833984375,0.053302270380934776,8,0.01884519841949892,0.03693658890221788
z,2,0,0.04833984375,0.024787874821003537,8,0.00876383718856744,0.017177120889592182
z,6,8,0.0478515625,0.03303034086970266,8,0.011677989006934958,0.022888858453592516
z,22,8,0.04736328125,0.02615708704017814,8,0.00924792681109836,0.018125936549752787
z,17,8,0.04638671875,0.022409320542620646,8,0.00792289125873503,0.015528866867120657
z,4,3,0.0458984375,0.04023085326126535,8,0.014223754576980828,0.02787855897088242
z,21,2,0.045654296875,0.03373131451732478,8,0.011925820616768293,0.023374608408865852
z,15,2,0.04541015625,0.033354598029086184,8,0.011792631225059146,0.023113557201115926
z,6,0,0.044921875,0.027660789579003864,8,0.009779565942143909,0.019167949246602062
z,7,4,0.044921875,0.037944376914074124,8,0.013415363111920047,0.02629411169936329
z,16,2,0.044921875,0.03293120005317092,8,0.011642937435103974,0.02282015737280379
z,26,2,0.044677734375,0.04690332919065694,8,0.01658283106546923,0.03250234888831969
z,11,0,0.044677734375,0.037662372554928596,8,0.013315659514582063,0.026098692648580845
z,17,11,0.044677734375,0.03193032984220975,8,0.011289076378474847,0.022126589701810702
z,15,5,0.044189453125,0.041836980873093774,8,0.014791606439868245,0.02899154862214176
z,14,11,0.044189453125,0.0425473643287237,8,0.015042764919227571,0.029483819241686037
z,19,8,0.043701171875,0.03398882456246632,8,0.012016864166339911,0.023553053766026226
z,12,4,0.04345703125,0.038624074218490866,8,0.013655672398473696,0.026765117901008443
z,21,7,0.043212890625,0.03307053193004131,8,0.011692198692589225,0.02291670943747488
z,19,4,0.042724609375,0.05680335210506937,8,0.02008301773381085,0.03936271475826927
z,20,8,0.042724609375,0.04364121594842782,8,0.015429499868179907,0.03024181974163262
z,21,11,0.041748046875,0.020562546538260135,8,0.007269958047833854,0.014249117773754354
z,24,5,0.040771484375,0.030570127747264912,8,0.010808172315915026,0.021184017739193452
z,25,1,0.039794921875,0.041431215887748465,8,0.014648146853515382,0.02871036783289015
z,24,4,0.0390625,0.030077037897794343,8,0.01063383872776758,0.020842323906424456
z,11,2,0.038818359375,0.024582288718331687,8,0.008691151524908949,0.01703465698882154
z,2,3,0.038818359375,0.04758389628782541,8,0.016823447870199366,0.032973957825590754
z,3,9,0.03857421875,0.020584068472012305,8,0.007277567200484058,0.014264031712948752
z,9,8,0.03857421875,0.022409320542620646,8,0.00792289125873503,0.015528866867120657
z,5,0,0.038330078125,0.03169908723484073,8,0.011207319770589903,0.02196634675035621
z,23,1,0.0380859375,0.0393958986489348,8,0.01392855354279987,0.027299964943887745
z,6,9,0.037841796875,0.020482885041534577,8,0.0072417934555667985,0.014193915172910925
z,22,10,0.03759765625,0.06849675290364232,8,0.024217259233712412,0.047465828098076326
z,21,1,0.037353515625,0.03360992751826762,8,0.011882903831677692,0.023290491510088277
z,7,3,0.037353515625,0.02295441264363898,8,0.008115610419235673,0.01590659642170192
z,9,2,0.037353515625,0.03167328939761934,8,0.011198198857770307,0.021948469761229803
z,9,10,0.03662109375,0.04071223356577311,8,0.01439394821580437,0.028212138502976564
z,10,7,0.036376953125,0.02121476273140289,8,0.007500551294319313,0.014701080536865854
z,23,9,0.036376953125,0.027698934772818037,8,0.009793052304751748,0.019194382517313428
z,27,6,0.03564453125,0.02331511012951821,8,0.008243136238346745,0.01615654702715962
z,8,0,0.035400390625,0.028002225748465503,8,0.009900281857528252,0.01940455244075537
z,9,7,0.03515625,0.02082751965013563,8,0.0073636401899534855,0.01443273477230883
z,11,3,0.034912109375,0.03406089848944392,8,0.012042346147596214,0.02360299844928858
z,27,8,0.034912109375,0.01350897451340178,8,0.004776143742651319,0.009361241735596585
z,4,8,0.03466796875,0.030930107962041237,8,0.010935444541395691,0.021433471301135553
z,11,1,0.034423828125,0.02248670154730123,8,0.007950249575307365,0.015582489167602437
z,13,0,0.034423828125,0.020322625288036366,8,0.007185133076341863,0.014082860829630051
z,9,6,0.034423828125,0.022144817845602148,8,0.007829375433383075,0.015345575849430828
z,13,3,0.0341796875,0.014874556847390447,8,0.005258950006967289,0.010307542013655887
z,10,4,0.0341796875,0.03781489809396745,8,0.013369585436061317,0.02620438745468018
z,8,4,0.033935546875,0.03403689080470639,8,0.012033858149256966,0.023586361972543653
z,26,10,0.033935546875,0.019389482701870867,8,0.006855217351096075,0.013436226008148307
z,23,8,0.03369140625,0.022771173657694585,8,0.00805082565446616,0.015779618282753673
z,7,5,0.033447265625,0.02125325923256048,8,0.007514161862829557,0.014727757251145931
z,24,0,0.033203125,0.027857107085599745,8,0.0098489746622337,0.019303990337978052
z,18,3,0.032958984375,0.02381662989340918,8,0.008420450251319935,0.01650408249258707
z,21,5,0.032958984375,0.027943781174970428,8,0.00987961858040729,0.01936405241759829
z,20,4,0.031982421875,0.02864675809350123,8,0.010128158453462665,0.019851190568786824
z,7,9,0.03173828125,0.017178302632498515,8,0.00607344714035721,0.011903956395100132
z,25,11,0.03173828125,0.02822152181203694,8,0.009977814724347691,0.019556516859721474
z,2,4,0.031494140625,0.02627531323284455,8,0.009289726082372503,0.018207863121450105
z,13,4,0.031494140625,0.02977543477915423,8,0.010527205922558864,0.020633323608215372
z,25,5,0.03125,0.02142086798847013,8,0.007573420506774533,0.014843904193278084
z,26,9,0.031005859375,0.018775486654150072,8,0.006638136966613519,0.013010748454562496
z,4,4,0.03076171875,0.016597458789023946,8,0.005868087830091547,0.011501452146979431
z,6,6,0.030517578125,0.01916331733835338,8,0.006775255819989707,0.013279501407179825
z,24,1,0.029296875,0.02121636814687542,8,0.007501118894402937,0.014702193033029757
z,4,11,0.029296875,0.013889373286443797,8,0.0049106350186378465,0.00962484463653018
z,18,8,0.029296875,0.020216764433858034,8,0.0071477056124160145,0.014009503000335388
z,24,7,0.029052734375,0.027550982491834044,8,0.009740743274163847,0.01909185681736114
z,26,1,0.029052734375,0.0407615629970414,8,0.014411388803485312,0.02824632205483121
z,18,0,0.029052734375,0.03283902089090632,8,0.011610347179743278,0.022756280472296823
z,20,1,0.029052734375,0.03823677348632871,8,0.013518740911438508,0.026496732186419476
z,7,2,0.029052734375,0.014023596826840628,8,0.004958090206442579,0.009717856804627455
z,7,8,0.02880859375,0.016922611302573578,8,0.005983046603716945,0.011726771343285211
z,5,11,0.0283203125,0.017438058026785427,8,0.00616528454073224,0.012083957699835191
z,5,10,0.0283203125,0.015092777161047455,8,0.005336102538757052,0.010458760975963821
z,19,10,0.028076171875,0.027914513001267554,8,0.009869270718358166,0.019343770607982005
z,4,5,0.02783203125,0.021692629060407947,8,0.007669502555189412,0.015032225008171246
z,24,3,0.02783203125,0.02498495466639713,8,0.008833515436123941,0.017313690254802925
z,20,5,0.027587890625,0.024202487249361884,8,0.008556871427802369,0.01677146799849264
z,23,3,0.027587890625,0.01588228121805722,8,0.005615234375,0.011005859375
z,26,11,0.027099609375,0.01496359266932182,8,0.005290428923695385,0.010369240690442955
z,6,2,0.027099609375,0.024089641374109395,8,0.008516974385992386,0.016693269796545077
z,27,3,0.026611328125,0.01721593313242871,8,0.00608675153119725,0.01193003300114661
z,3,4,0.026123046875,0.02744197718807434,8,0.009702204079426955,0.019016319995676833
z,13,1,0.02587890625,0.022506383565552613,8,0.007957208219593859,0.015596128110403963
z,18,6,0.025634765625,0.021709893391879533,8,0.007675606418117517,0.015044188579510332
z,7,0,0.025634765625,0.028407971248608627,8,0.010043734554821816,0.019685719727450757
z,12,2,0.025634765625,0.029052880917622613,8,0.010271744554928098,0.02013261932765907
z,4,7,0.025634765625,0.02811875046823401,8,0.009941479567290338,0.01948529995188906
z,4,6,0.025634765625,0.015429775796537596,8,0.005455249548959898,0.0106922891159614
z,2,1,0.025390625,0.028168369339562415,8,0.009959022487485907,0.019519684075472377
z,21,4,0.02490234375,0.020451266643857775,8,0.007230614663863038,0.014172004741171555
z,26,8,0.024658203125,0.015054364461329559,8,0.005322521598529948,0.010432142333118698
z,20,9,0.024658203125,0.01696080910760281,8,0.00599655156719825,0.01175324107170857
z,26,0,0.0244140625,0.019051015641865583,8,0.00673555117442707,0.013201680301877057
