component,layer,head,delta_margin
resid_pre,0,,-2.05126953125
resid_pre,1,,-2.17041015625
resid_pre,2,,-2.02197265625
resid_pre,3,,-2.14697265625
resid_pre,4,,-2.05908203125
resid_pre,5,,-2.08203125
resid_pre,6,,-1.89013671875
resid_pre,7,,-1.8017578125
resid_pre,8,,-1.8486328125
resid_pre,9,,-1.82177734375
resid_pre,10,,-1.9814453125
resid_pre,11,,-1.3037109375
resid_pre,12,,-0.90625
resid_pre,13,,-0.294921875
resid_pre,14,,-0.3046875
resid_pre,15,,-0.267578125
resid_pre,16,,0.1640625
resid_pre,17,,0.513671875
resid_pre,18,,1.16796875
resid_pre,19,,1.2265625
resid_pre,20,,1.12109375
resid_pre,21,,0.994140625
resid_pre,22,,0.85546875
resid_pre,23,,0.59375
resid_pre,24,,-0.01953125
resid_pre,25,,0.03515625
resid_pre,26,,0.01953125
resid_pre,27,,-0.015625
