component,layer,head,abs_delta,std,n,sem,ci95
pattern,0,2,0.17097654938697815,0.12532332665427712,8,0.04430848705904807,0.08684463463573422
pattern,8,3,0.16737261414527893,0.14305165836168846,8,0.050576398843765594,0.09912974173378056
pattern,12,11,0.16036531329154968,0.11416084081835846,8,0.040361952344309636,0.07910942659484689
pattern,19,11,0.15515488386154175,0.13593554552639384,8,0.04806047302300286,0.09419852712508561
pattern,13,3,0.15441259741783142,0.09406068695616973,8,0.033255474794886324,0.06518073059797719
pattern,13,11,0.13762608170509338,0.07830057400871998,8,0.027683433426182513,0.05425952951531773
pattern,10,3,0.1287214756011963,0.10007933845599258,8,0.035383389439447986,0.06935144330131805
pattern,0,7,0.12600505352020264,0.0661526974697665,8,0.023388510487327027,0.04584148055516097
pattern,13,9,0.12073451280593872,0.09339749169612767,8,0.03302099986207307,0.0647211597296632
pattern,15,10,0.10898482799530029,0.0668294815069133,8,0.023627789778359682,0.046310467965584974
pattern,11,10,0.1063075065612793,0.07052127872331415,8,0.024933037201601012,0.04886875291513798
pattern,11,7,0.10469591617584229,0.10459487990565675,8,0.03697987442934122,0.07248055388150879
pattern,15,1,0.10166686773300171,0.07770627041733989,8,0.027473315376408323,0.05384769813776031
pattern,20,6,0.10049152374267578,0.07972464629561136,8,0.02818691901166288,0.05524636126285924
pattern,9,11,0.0996561348438263,0.0613048963516723,8,0.02167455396510296,0.0424821257716018
pattern,13,6,0.09943720698356628,0.060234326976274795,8,0.021296050532565846,0.04174025904382906
pattern,10,9,0.09918597340583801,0.10755327142205082,8,0.03802582378066472,0.07453061461010285
pattern,16,7,0.09915110468864441,0.0874258050109135,8,0.03090968978695489,0.06058299198243158
pattern,9,0,0.09628096222877502,0.10304192367120689,8,0.03643082148720851,0.07140441011492868
pattern,9,2,0.09551966190338135,0.0676715843015008,8,0.023925518076614166,0.04689401543016376
pattern,0,8,0.09524109959602356,0.08966352847148475,8,0.03170084450364997,0.06213365522715394
pattern,0,1,0.09506329894065857,0.055272789029441736,8,0.01954188196890583,0.038302088659055426
pattern,12,0,0.09302380681037903,0.05727914459027081,8,0.020251235780172617,0.03969242212913833
pattern,19,8,0.09210851788520813,0.06468384840244712,8,0.02286919391930649,0.04482362008184072
pattern,17,3,0.08962228894233704,0.092909999611217,8,0.03284864538256552,0.0643833449498284
pattern,10,11,0.08928415179252625,0.10210076428128263,8,0.03609807139381209,0.0707522199318717
pattern,19,7,0.0889320969581604,0.07757615248972279,8,0.027427311741922325,0.053757531014167755
pattern,13,10,0.08706352114677429,0.048956141880152675,8,0.017308609952093344,0.03392487550610295
pattern,12,3,0.08566319942474365,0.06317038906874632,8,0.022334105240351537,0.04377484627108901
pattern,0,9,0.08463436365127563,0.05347666072896749,8,0.018906854718332627,0.037057435247931945
pattern,10,10,0.08460801839828491,0.07498862846076454,8,0.02651248384824257,0.051964468342555435
pattern,2,3,0.08412066102027893,0.06585191757454861,8,0.023282168735550453,0.045633050721678885
pattern,12,2,0.08378866314888,0.03352889638833484,8,0.011854255000946352,0.02323433980185485
pattern,12,5,0.08208915591239929,0.05069341469147412,8,0.017922828644921552,0.035128744144046244
pattern,7,7,0.08199551701545715,0.06523551012901381,8,0.023064235793194686,0.04520590215466158
pattern,18,11,0.0816342830657959,0.047223072949472075,8,0.01669587755551936,0.03272392000881795
pattern,4,9,0.07959505915641785,0.09224929118759945,8,0.03261504967920199,0.0639254973712359
pattern,8,2,0.07897430658340454,0.10368404444180215,8,0.03665784546282283,0.07184937710713274
pattern,9,5,0.07894986867904663,0.06991844004292906,8,0.02471990154217009,0.048451007022653376
pattern,20,10,0.07858818769454956,0.11658770184395073,8,0.041219977288406456,0.08079115548527666
pattern,7,8,0.07844585180282593,0.051262240677909354,8,0.018123939001083292,0.035522920442123254
pattern,14,8,0.07818031311035156,0.055765747687482166,8,0.019716169173878334,0.03864369158080153
pattern,9,10,0.07709550857543945,0.06948363435850732,8,0.024566174518193554,0.04814970205565936
pattern,19,10,0.07696494460105896,0.0836450048128384,8,0.029572975057769717,0.05796303111322865
pattern,9,3,0.07598724961280823,0.10062256020077634,8,0.03557544732916028,0.06972787676515414
pattern,10,8,0.07578223943710327,0.08266945041746593,8,0.029228064493577607,0.05728700640741211
pattern,12,7,0.07515823841094971,0.051393830069555856,8,0.01817046287666602,0.0356141072382654
pattern,10,0,0.07363194227218628,0.04721759859187816,8,0.01669394207783071,0.03272012647254819
pattern,10,4,0.07231175899505615,0.11687966298543528,8,0.0413232011398998,0.0809934742342036
pattern,18,9,0.07206469774246216,0.046409958223044986,8,0.01640839808704974,0.03216046025061749
pattern,4,7,0.07195040583610535,0.09104740444629705,8,0.03219011854670543,0.06309263235154264
pattern,25,3,0.07190534472465515,0.058165848012093464,8,0.020564732781408676,0.04030687625156101
pattern,6,6,0.07186982035636902,0.02472732979151193,8,0.008742431288107111,0.01713516532468994
pattern,19,9,0.07151937484741211,0.07090075346373037,8,0.02506720178271967,0.049131715494130555
pattern,16,5,0.07011967897415161,0.047348206898678774,8,0.016740119087539716,0.03281063341157784
pattern,14,9,0.06950017809867859,0.0439692098470573,8,0.015545463223134269,0.030469107917343165
pattern,7,2,0.06947323679924011,0.041276524618244666,8,0.014593455230687136,0.028603172252146786
pattern,16,11,0.06841292977333069,0.04607247542826324,8,0.01628907990068776,0.03192659660534801
pattern,8,1,0.06838664412498474,0.057083469485669974,8,0.0201820541834863,0.03955682619963315
pattern,16,3,0.06832298636436462,0.051163495423375324,8,0.01808902728153779,0.03545449347181407
pattern,16,10,0.06816819310188293,0.050938473641366985,8,0.0180094700675514,0.035298561332400745
pattern,17,5,0.06774663925170898,0.057930026772575124,8,0.02048135738260306,0.040143460469902
pattern,8,5,0.06774026155471802,0.05486927547955986,8,0.019399218385194764,0.038022468034981736
pattern,0,5,0.06733724474906921,0.06414905206247896,8,0.02268011486003388,0.0444530251256664
pattern,2,0,0.06694445013999939,0.04834722101647796,8,0.017093323916138166,0.033502914875630806
pattern,3,10,0.06626099348068237,0.057813508496084694,8,0.02044016195088378,0.04006271742373221
pattern,20,7,0.06592851877212524,0.06969432615891494,8,0.02464066531859787,0.048295704024451824
pattern,13,7,0.0656636655330658,0.05471432470050118,8,0.019344435011883498,0.03791509262329165
pattern,0,3,0.06513401865959167,0.052790456559229135,8,0.018664244907482388,0.03658192001866548
pattern,18,7,0.06506523489952087,0.03478839596969351,8,0.012299555348386521,0.02410712848283758
pattern,8,4,0.06493428349494934,0.06666790250660026,8,0.023570662974950335,0.04619849943090266
