component,layer,head,abs_delta,std,n,sem,ci95
z,0,10,1.0563777220249175,1.8334428537715886,50,0.25928797496398115,0.508204430929403
z,11,8,0.5858050179481507,0.5490189792638495,50,0.07764300864751689,0.1521802969491331
z,0,6,0.5348890829086304,0.4920522699522907,50,0.06958669935629969,0.13638993073834738
z,15,7,0.4658641767501831,0.30263457722288467,50,0.04279899235516513,0.08388602501612365
z,18,8,0.4264450407028198,1.0795449075059849,50,0.1526707049385772,0.2992345816796113
z,10,8,0.40689982414245607,0.3616123876845269,50,0.05113971429855755,0.1002338400251728
z,19,6,0.3230016040802002,0.2632691354612823,50,0.03723187819235849,0.07297448125702265
z,13,11,0.31981820821762086,0.19959318411889512,50,0.028226738793817173,0.05532440803588166
z,14,9,0.3019396710395813,0.18408480677785957,50,0.026033523037207965,0.05102570515292761
z,18,10,0.29144306898117067,0.2601615515628923,50,0.036792399462826954,0.07211310294714082
z,9,0,0.29092142581939695,0.3150016473054955,50,0.044547960178929806,0.08731400195070242
z,7,3,0.275234591960907,0.23520732583482754,50,0.03326333901651207,0.06519614447236366
z,15,5,0.26797826290130616,0.21077658427445695,50,0.029808310411161262,0.058424288405876074
z,0,3,0.26445484161376953,0.22593235704384815,50,0.03195166035103305,0.06262525428802478
z,9,2,0.2611053419113159,0.34642190797271677,50,0.048991456055818026,0.09602325386940333
z,8,3,0.2561672806739807,0.325452794738868,50,0.04602597562319342,0.09021091222145909
z,10,3,0.2500917387008667,0.24843637616500894,50,0.03513420925593796,0.06886305014163839
z,16,7,0.21817605018615724,0.12039380992875824,50,0.01702625588270185,0.033371461530095625
z,7,8,0.2169521903991699,0.2016074344533381,50,0.02851159680791555,0.05588272974351448
z,19,11,0.21588140487670898,0.18237663320679517,50,0.02579195081409931,0.050552223595634646
z,13,9,0.20450009822845458,0.14788771442972293,50,0.020914481145487343,0.04099238304515519
z,13,7,0.2013176202774048,0.15708203211663943,50,0.022214754022447755,0.0435409178839976
z,8,5,0.19772607326507569,0.22940330156580954,50,0.03244252603275329,0.06358735102419645
z,0,8,0.19683366775512695,0.32777320049990094,50,0.04635413055293956,0.09085409588376155
z,10,5,0.18873518466949463,0.15400060169368432,50,0.02177897395288254,0.04268678894764978
z,9,5,0.18398088932037354,0.13356461668476202,50,0.01888888923687542,0.03702222290427582
z,12,10,0.18100933313369752,0.1428313605862166,50,0.020199404727322946,0.039590833265552974
z,12,7,0.17571028232574462,0.1313777599776513,50,0.018579620995459168,0.03641605715109997
z,15,1,0.17099149227142335,0.1455526882048606,50,0.020584258569917625,0.040345146797038545
z,16,0,0.17093568325042724,0.1791800119001093,50,0.025339880293530712,0.0496661653753202
z,0,1,0.16926267147064208,0.13508104230024365,50,0.01910334420404983,0.03744255463993767
z,16,1,0.16865180015563966,0.1437090076025712,50,0.02032352275867344,0.03983410460699994
z,18,11,0.1632926893234253,0.14462955845836817,50,0.020453708309185664,0.0400892682860039
z,16,3,0.16113195419311524,0.13880529058863314,50,0.01963003244795835,0.038474863597998364
z,15,0,0.15798704624176024,0.1115636023480183,50,0.015777475950776637,0.030923852863522207
z,15,2,0.15431298017501832,0.14263549145257906,50,0.0201717046487989,0.03953654111164584
z,10,10,0.15284987926483154,0.21087486993688712,50,0.02982221010284082,0.05845153180156801
z,0,2,0.15141483306884765,0.14622962798652694,50,0.02067999231193187,0.04053278493138646
z,15,10,0.14971879720687867,0.15688732583704962,50,0.022187218396320246,0.04348694805678768
z,4,9,0.1465057897567749,0.168880802271669,50,0.023883352099704328,0.046811370115420484
z,0,9,0.14559749126434327,0.12981975290725173,50,0.01835928552253594,0.035984199624170446
z,0,7,0.1447253966331482,0.13378161930454316,50,0.01891957804167192,0.03708237296167696
z,12,11,0.14431249618530273,0.09824064075869218,50,0.013893324653716555,0.027230916321284448
z,17,3,0.1432961082458496,0.09846944201821331,50,0.013925682038146836,0.0272943367947678
z,17,7,0.14314378738403322,0.11204502585024886,50,0.015845559515386597,0.031057296650157728
z,5,1,0.14255127906799317,0.18369220637237932,50,0.02597800095540563,0.050916881872595035
z,12,3,0.14102678775787353,0.13694267109474917,50,0.019366618272979228,0.03795857181503929
z,20,7,0.1406299114227295,0.15650165828276047,50,0.022132676767735948,0.043380046464762456
z,10,11,0.14015095233917235,0.13519156869080026,50,0.01911897499610236,0.03747319099236063
z,16,6,0.13926386833190918,0.10185173345182999,50,0.014404010279878742,0.028231860148562334
z,23,8,0.13473039627075195,0.20956368057908356,50,0.029636779925576315,0.05808808865412958
z,10,9,0.13391014575958252,0.12302704437499874,50,0.01739865146937998,0.03410135687998476
z,11,11,0.12903318881988526,0.1038602093626272,50,0.014688051667153649,0.02878858126762115
z,17,4,0.1288955545425415,0.09460539576639952,50,0.01337922337665164,0.026223277818237214
z,1,4,0.12773815393447877,0.15219737005266526,50,0.021523958488599594,0.0421869586376552
z,11,9,0.1265467643737793,0.1484376478545438,50,0.020992253476265738,0.041144816813480846
z,0,5,0.12651194095611573,0.11483957010147472,50,0.016240767753460134,0.031831904796781864
z,14,3,0.12601566791534424,0.15972799606114307,50,0.022588949832034484,0.04427434167078759
z,3,10,0.12529274463653564,0.1126655460481503,50,0.01593331432334646,0.031229296073759065
z,27,10,0.12506958961486817,0.1086175808500982,50,0.015360845595036504,0.030107257366271546
z,16,5,0.12483302116394043,0.12331391404017472,50,0.01743922096649251,0.03418087309432532
z,2,3,0.12441652297973632,0.10772634436715935,50,0.01523480572289112,0.029860219216866598
z,16,4,0.12280179977416993,0.13052720165802487,50,0.01845933388433867,0.03618029441330379
z,19,9,0.12155440330505371,0.1334712807317785,50,0.01887568953981879,0.03699635149804483
z,13,4,0.12132287502288819,0.1013119379132535,50,0.014327671662722407,0.028082236458935917
z,18,1,0.12132017135620117,0.12084287016478532,50,0.017089762590313043,0.03349593467701356
z,6,4,0.12113438129425048,0.10352517371591737,50,0.0146406704716081,0.028695714124351873
z,13,10,0.12093111991882324,0.09434026844170713,50,0.013341728710818072,0.02614978827320342
z,11,7,0.12016733646392823,0.11879738489699183,50,0.016800487289578253,0.032928955087573375
z,13,6,0.11983128547668458,0.11596085896534987,50,0.016399341945323147,0.03214271021283337
z,8,6,0.11933299541473388,0.11674851336278091,50,0.016510733098454126,0.03236103687297009
z,16,8,0.11675786018371583,0.08132297439298461,50,0.011500805331907876,0.022541578450539435
z,15,11,0.11615419864654541,0.10736604226698758,50,0.015183851311229679,0.02976034857001017
