component,layer,head,abs_delta,std,n,sem,ci95
z,19,6,0.4130248427391052,0.19769745907688918,8,0.06989660696830916,0.13699734965788593
z,16,10,0.1872270405292511,0.185411827524714,8,0.06555298027745791,0.12848384134381752
z,15,1,0.17555615305900574,0.15193968137873948,8,0.05371878951711504,0.10528882745354548
z,20,7,0.17482012510299683,0.20934216022491242,8,0.07401363054163816,0.1450667158616108
z,19,8,0.1687946617603302,0.09678654457032038,8,0.034219210996643774,0.0670696535534218
z,20,11,0.16096436977386475,0.1147422602483086,8,0.040567515155125314,0.07951232970404562
z,16,7,0.15891951322555542,0.08396660615004439,8,0.029686678300958225,0.05818588946987812
z,15,7,0.15623635053634644,0.10254499545255907,8,0.0362551308306241,0.07106005642802324
z,15,0,0.15472412109375,0.13789622328030043,8,0.048753677290757344,0.09555720748988439
z,20,8,0.1519870162010193,0.09198581875675511,8,0.03252189810794913,0.0637429202915803
z,13,11,0.14762160181999207,0.11724329920300214,8,0.04145176595756307,0.08124546127682362
z,20,9,0.14593270421028137,0.05281806348981947,8,0.018674005431396475,0.03660105064553709
z,15,2,0.13798248767852783,0.12136340557670516,8,0.042908443535590736,0.08410054932975784
z,16,4,0.1212020218372345,0.09957823392989218,8,0.03520622223520355,0.06900419558099896
z,15,5,0.12013942003250122,0.09751024536678826,8,0.034475077867010054,0.0675711526193397
z,17,3,0.12005031108856201,0.10361008563299372,8,0.03663169707520437,0.07179812626740056
z,13,9,0.11394697427749634,0.05416542439118155,8,0.019150369446425848,0.037534724114994665
z,16,8,0.11239570379257202,0.041203857413966725,8,0.014567763494229736,0.02855281644869028
z,21,0,0.11044967174530029,0.04278637597287985,8,0.015127268296410252,0.02964944586096409
z,20,6,0.10776910185813904,0.03926483549481118,8,0.013882215720277617,0.02720914281174413
z,10,10,0.10485363006591797,0.06863405616927673,8,0.024265803268816985,0.04756097440688129
z,19,11,0.10335823893547058,0.06589272635782872,8,0.023296596819245122,0.04566132976572044
z,11,9,0.09893995523452759,0.09678245893975283,8,0.03421776650810391,0.06706682235588367
z,10,8,0.09657803177833557,0.045550848440510404,8,0.01610465691054279,0.03156512754466387
z,19,9,0.0959399938583374,0.0603297425996055,8,0.02132978504970999,0.04180637869743158
z,9,5,0.09566283226013184,0.05125881611825624,8,0.018122728236406642,0.035520547343357016
z,13,6,0.09405386447906494,0.07440026916228445,8,0.026304467423377855,0.051556756149820596
z,23,11,0.0927729606628418,0.06463363977920075,8,0.022851442490320718,0.044788827281028606
z,24,11,0.08898505568504333,0.1763518176128113,8,0.062349783054296046,0.12220557478642025
z,17,0,0.0884827971458435,0.04805305269956712,8,0.01698931971028922,0.03329906663216687
z,18,10,0.08744370937347412,0.03839362480157876,8,0.013574196225764178,0.02660542460249779
z,24,5,0.08595770597457886,0.07942376614907783,8,0.028080541815693746,0.05503786195875974
z,14,9,0.0850723385810852,0.06513213284628312,8,0.02302768640437493,0.045134265352574865
z,8,6,0.0833139419555664,0.04442618804432607,8,0.015707029414205844,0.030785777651843454
z,16,6,0.0830228328704834,0.03181351543428682,8,0.01124777624848355,0.02204564144702776
z,12,9,0.0820997953414917,0.04828403939504494,8,0.01707098583965734,0.033459132245728385
z,15,10,0.07818377017974854,0.059455627827587766,8,0.021020738808295452,0.041200648064259084
z,18,8,0.07545346021652222,0.026968595787349333,8,0.009534838480156835,0.018688283421107395
z,16,11,0.07423087954521179,0.060430402843815206,8,0.02136537382034828,0.04187613268788263
z,20,10,0.07275497913360596,0.047810596525080795,8,0.016903598507729305,0.033131053075149436
z,10,0,0.07211723923683167,0.05954411524344387,8,0.021052023834196215,0.04126196671502458
z,12,10,0.07039478421211243,0.05007974024789289,8,0.017705861964672966,0.03470348945075901
z,16,0,0.07013526558876038,0.042797365242058245,8,0.015131153589788416,0.029657061035985293
z,15,3,0.06970846652984619,0.07406565560696463,8,0.02618616366635606,0.051324880786057875
z,16,9,0.06815487146377563,0.019061692628062683,8,0.006739326059098372,0.013209079075832809
z,27,3,0.0674719512462616,0.017247906448231726,8,0.006098055805407916,0.011952189378599517
z,16,1,0.06729522347450256,0.05571846521235527,8,0.019699452294481577,0.03861092649718389
z,17,5,0.06710556149482727,0.04255863791232349,8,0.015046750732933415,0.029491631436549492
z,15,11,0.06631320714950562,0.0485815211780829,8,0.017176161532690144,0.03366527660407268
z,21,6,0.06619232892990112,0.040346779938248076,8,0.014264740846688283,0.027958892059509036
z,11,7,0.06559592485427856,0.05977262761731814,8,0.02113281515877198,0.04142031771119308
z,22,5,0.06519076228141785,0.039547391402321205,8,0.013982114319409945,0.02740494406604349
z,14,10,0.06494596600532532,0.03794327623861169,8,0.013414973964378362,0.02629334897018159
z,26,3,0.06248942017555237,0.06564543996045864,8,0.023209167875007333,0.04548996903501437
z,16,5,0.06006065011024475,0.04187823490177753,8,0.01480619194158502,0.029020136205506638
z,11,8,0.0595669150352478,0.04658758247558622,8,0.01647119774378729,0.032283547577823084
z,26,7,0.059101641178131104,0.0796843309977328,8,0.028172665401405134,0.055218424186754066
z,15,4,0.05895313620567322,0.0444548027981194,8,0.015717146257430467,0.030805606664563716
z,18,0,0.05863955616950989,0.05293211203051987,8,0.018714327679653316,0.0366800822521205
z,20,4,0.05833137035369873,0.05921514009135498,8,0.02093571355375425,0.041033998565358325
z,16,3,0.0579875111579895,0.040902651483512464,8,0.01446127111625083,0.028344091387851624
z,18,1,0.05706349015235901,0.05298325337695506,8,0.01873240887608498,0.03671552139712656
z,17,4,0.056452810764312744,0.038031766424695995,8,0.013446259969702697,0.026354669540617284
z,11,10,0.05632174015045166,0.051706354601459566,8,0.01828095698456415,0.03583067568974573
z,18,11,0.055988460779190063,0.034350725662811096,8,0.012144815527426243,0.023803838433755435
z,23,7,0.055922627449035645,0.02443577771786004,8,0.008639352063932987,0.016933130045308654
z,27,9,0.05565980076789856,0.04027306792837464,8,0.014238679715670083,0.02790781224271336
z,10,7,0.05410602688789368,0.03729774626242254,8,0.013186744652567093,0.0258460195190315
z,10,1,0.052680522203445435,0.021115720703829,8,0.007465534649659331,0.014632447913332288
z,17,7,0.052143871784210205,0.03269377496339593,8,0.011558994989602113,0.02265563017962014
z,10,5,0.05214130878448486,0.05110042425869571,8,0.018066728257416644,0.035410787384536624
z,15,8,0.051540911197662354,0.041388643421483906,8,0.01463309521372163,0.028680866618894393
z,26,2,0.051305174827575684,0.04593829326557173,8,0.01624163934211104,0.03183361311053764
z,21,4,0.05087581276893616,0.0367049562619183,8,0.012977161737979031,0.0254352370064389
z,6,4,0.05082756280899048,0.05625208939104108,8,0.019888116932158497,0.03898070918703065
z,10,3,0.05022469162940979,0.054145319860443276,8,0.019143261421417045,0.03752079238597741
z,14,7,0.0492536723613739,0.047420879294456146,8,0.01676581265946934,0.03286099281255991
z,12,1,0.049039483070373535,0.03211266917973693,8,0.011353543069496114,0.022252944416212384
z,17,2,0.04807773232460022,0.02296456173327569,8,0.008119198664288167,0.01591362938200481
z,27,4,0.04631498456001282,0.06097609828141878,8,0.0215583062925443,0.04225428033338683
z,24,3,0.0458604097366333,0.022300240491119932,8,0.007884325636680864,0.015453278247894492
z,10,11,0.04497072100639343,0.026024784500204342,8,0.009201150799506522,0.01803425556703278
z,17,10,0.04467841982841492,0.026716409098380217,8,0.009445677021209313,0.018513526961570253
z,13,7,0.04455143213272095,0.02276948888191152,8,0.008050229996275667,0.015778450792700308
z,20,5,0.043411850929260254,0.039142782388109705,8,0.013839063430570868,0.0271245643239189
z,18,7,0.04316681623458862,0.027211621829689094,8,0.009620761161428522,0.018856691876399902
z,18,3,0.041672855615615845,0.03548249392807584,8,0.012544956034976462,0.024588113828553866
z,21,11,0.04155236482620239,0.03638342899785175,8,0.01286348468360012,0.025212429979856236
z,27,1,0.041328370571136475,0.034804599788282826,8,0.01230528426338933,0.024118357156243088
z,21,5,0.0412466824054718,0.023816639157746802,8,0.008420453526757913,0.016504088912445508
z,22,0,0.04112297296524048,0.029926448668445772,8,0.010580597395144565,0.020737970894483346
z,7,4,0.04105821251869202,0.020713029897829104,8,0.00732316194983733,0.014353397421681168
z,9,2,0.04081392288208008,0.04182544233397758,8,0.014787526950241221,0.028983552822472794
z,21,7,0.040709853172302246,0.017937662203759464,8,0.0063419212914559734,0.012430165731253707
z,12,5,0.04003173112869263,0.0338212471534743,8,0.011957616605203947,0.023436928546199734
z,23,8,0.03955450654029846,0.03364048816452532,8,0.011893708651780823,0.023311668957490414
z,18,9,0.03928828239440918,0.025255975716906277,8,0.008929335847453602,0.01750149826100906
z,13,0,0.039057791233062744,0.029072670015298042,8,0.010278741057508027,0.020146332472715734
z,23,9,0.038782596588134766,0.01378677997430383,8,0.004874362805278566,0.00955375109834599
z,27,6,0.03670880198478699,0.046303856637986106,8,0.016370885511904854,0.03208693560333351
z,25,3,0.036686599254608154,0.02471329496947481,8,0.008737469229189514,0.017125439689211448
z,8,2,0.036454230546951294,0.022565006139364446,8,0.007977934429330338,0.015636751481487462
z,17,1,0.03630334138870239,0.03277768904923496,8,0.01158866309916904,0.02271377967437132
z,13,10,0.035523027181625366,0.027754866213212676,8,0.009812827055144038,0.019233141028082313
z,8,8,0.03516542911529541,0.029460216464095405,8,0.010415759418492716,0.020414888460245723
z,18,5,0.035014957189559937,0.038497457532396924,8,0.013610906639799497,0.026677377014007013
z,9,11,0.034466952085494995,0.029338225760358935,8,0.010372629191565827,0.02033035321546902
z,13,2,0.034366995096206665,0.027782528149035788,8,0.009822607026344672,0.019252309771635556
z,3,9,0.03391331434249878,0.029688534676423673,8,0.01049648209659557,0.020573104909327317
z,9,0,0.03384745121002197,0.03332043120143869,8,0.011780551427298558,0.023089880797505173
z,19,7,0.033832818269729614,0.03599747421933677,8,0.012727029063040475,0.02494497696355933
z,19,10,0.03381925821304321,0.021561154711424252,8,0.007623019353330183,0.014941117932527158
