component,layer,head,delta_margin
resid_pre,0,,-3.014571726322174
resid_pre,1,,-1.7496650218963623
resid_pre,2,,-2.076070547103882
resid_pre,3,,-2.038433313369751
resid_pre,4,,-2.2877236008644104
resid_pre,5,,-2.244979977607727
resid_pre,6,,-2.2066551446914673
resid_pre,7,,-2.1155108213424683
resid_pre,8,,-2.249624013900757
resid_pre,9,,-2.386905550956726
resid_pre,10,,-2.4156216382980347
resid_pre,11,,-2.447381377220154
resid_pre,12,,-2.222602605819702
resid_pre,13,,-2.3900017738342285
resid_pre,14,,-1.2108747959136963
resid_pre,15,,-1.0381228923797607
resid_pre,16,,0.6124484539031982
resid_pre,17,,1.0147321224212646
resid_pre,18,,0.9489743709564209
resid_pre,19,,1.1085479259490967
resid_pre,20,,1.1152746677398682
resid_pre,21,,0.9743845462799072
resid_pre,22,,0.9357683658599854
resid_pre,23,,0.9267842769622803
resid_pre,24,,0.9377076625823975
resid_pre,25,,0.23636460304260254
resid_pre,26,,0.2239384651184082
resid_pre,27,,0.011837005615234375
