component,layer,head,abs_delta,std,n,sem,ci95
pattern,15,9,1.843017578125,2.4327713229013277,8,0.8601145497498484,1.6858245175097029
pattern,1,15,1.07275390625,2.066051183776355,8,0.7304594011633772,1.431700426280219
pattern,10,3,0.7364501953125,0.46988574900358027,8,0.1661296997516758,0.32561421151328457
pattern,8,10,0.73388671875,1.0381966331796246,8,0.3670579397631776,0.7194335619358281
pattern,0,13,0.702880859375,1.082264128044898,8,0.3826381519877466,0.7499707778959833
pattern,7,13,0.650390625,0.7262481618895014,8,0.25676750004816595,0.5032643000944053
pattern,5,14,0.56201171875,0.5484131648898718,8,0.19389333389280228,0.38003093442989244
pattern,14,13,0.554931640625,0.4238936152033306,8,0.149869024905978,0.2937432888157169
pattern,3,11,0.55474853515625,0.539298529120806,8,0.19067082351262635,0.37371481408474766
pattern,13,13,0.5313720703125,0.5498673607300506,8,0.19440746976268414,0.3810386407348609
pattern,10,4,0.52734375,0.5383705768977317,8,0.19034274285784986,0.3730717760013857
pattern,12,6,0.517822265625,0.729125721099722,8,0.2577848708635724,0.5052583468926019
pattern,3,8,0.50634765625,0.7440206962437501,8,0.26305103982854605,0.5155800380639503
pattern,9,5,0.4935302734375,0.7987569923188633,8,0.28240324289441965,0.5535103560730625
pattern,10,2,0.492919921875,0.7849701726659887,8,0.2775288660606478,0.5439565774788697
pattern,12,9,0.49285888671875,0.3891676337779637,8,0.13759153643136052,0.2696794114054666
pattern,12,10,0.485595703125,0.8984404948877686,8,0.3176466832138694,0.622587499099184
pattern,13,1,0.484130859375,0.7041894515095296,8,0.2489685682012119,0.48797839367437534
pattern,3,10,0.470947265625,0.8623802449429429,8,0.30489745958023534,0.5975990207772612
pattern,3,13,0.4630126953125,0.649066337806569,8,0.22947960445147164,0.44978002472488443
pattern,13,12,0.462646484375,0.27227398640029044,8,0.09626339106216959,0.1886762464818524
pattern,8,11,0.4608154296875,0.382767099073832,8,0.13532860568510482,0.26524406714280546
pattern,0,2,0.44915771484375,0.3623688368912576,8,0.1281167309282451,0.2511087926193604
pattern,0,8,0.4473876953125,0.7825370323475324,8,0.2766686210512684,0.542270497260486
pattern,1,0,0.4415283203125,0.7061737207436197,8,0.2496701133167744,0.48935342210087784
pattern,9,13,0.43487548828125,0.45332526963055203,8,0.1602746861194917,0.3141383847942037
pattern,0,1,0.4267578125,0.5559857716009072,8,0.19657065467111823,0.3852784831553917
pattern,5,15,0.4202880859375,0.5526022293360243,8,0.19537439183115324,0.38293380798906035
pattern,12,11,0.418701171875,0.4554257915478311,8,0.16101733276536118,0.3155939722201079
pattern,5,4,0.4158935546875,0.8686401983894814,8,0.3071106873462151,0.6019369471985816
pattern,6,9,0.41552734375,0.5653254678578328,8,0.19987273594986557,0.3917505624617365
pattern,10,6,0.415283203125,0.46669814302077994,8,0.16500271084858134,0.3234053132632194
pattern,0,12,0.40960693359375,0.6967947424323072,8,0.2463541437345091,0.4828541217196378
pattern,10,5,0.400634765625,0.6120960004258073,8,0.21640861631912608,0.4241608879854871
pattern,3,5,0.39892578125,0.35731551220396135,8,0.12633011085128282,0.2476070172685143
pattern,5,8,0.397705078125,0.278234268693659,8,0.0983706690758831,0.19280651138873087
pattern,5,13,0.39434814453125,0.42301761459081655,8,0.1495593119192619,0.2931362513617533
pattern,5,7,0.39105224609375,0.6060403226701916,8,0.2142676109162879,0.4199645173959243
pattern,12,12,0.387451171875,0.5095736304382276,8,0.1801614847983592,0.353116510204784
pattern,17,5,0.3857421875,0.5506634958343718,8,0.1946889460281872,0.3815903342152469
pattern,0,5,0.375,0.7083234171881186,8,0.2504301457834733,0.49084308573560764
pattern,17,11,0.374267578125,0.3461732538718931,8,0.12239072763911395,0.23988582617266332
pattern,1,14,0.373291015625,0.623678008172402,8,0.22050347442781223,0.432186809878512
