component,layer,head,abs_delta,std,n,sem,ci95
z,0,3,8.858623046875,7.656144263811997,50,1.0827423053367902,2.1221749184601086
z,15,9,1.9745703125,2.0213515214519084,50,0.2858622735960779,0.5602900562483127
z,10,3,1.289072265625,1.1429232786405585,50,0.16163376014054018,0.31680216987545873
z,14,13,1.2409765625,1.0963697649352369,50,0.15505009909472142,0.303898194225654
z,0,12,1.179228515625,1.2834422927640865,50,0.18150614969501916,0.35575205340223753
z,9,7,1.149267578125,1.6291559102992064,50,0.2303974383565423,0.4515789791788229
z,0,9,1.1383544921875,1.3292886664403245,50,0.18798980603887522,0.3684600198361954
z,12,6,1.116669921875,1.0177653489274314,50,0.1439337559766559,0.2821101617142455
z,0,1,0.9914453125,1.1333613279845625,50,0.16028149611049497,0.3141517323765701
z,0,2,0.970732421875,1.0560208976768755,50,0.14934390756440477,0.29271405882623336
z,4,4,0.95560546875,0.6760898102280979,50,0.0956135379006828,0.1874025342853383
z,23,6,0.93974609375,0.83251174337749,50,0.1177349398319316,0.23076048207058594
z,10,5,0.93732421875,1.9794017704938338,50,0.2799296829217696,0.5486621785266684
z,7,13,0.9090625,0.7236913998439201,50,0.1023454192632042,0.20059702175588023
z,0,7,0.89021484375,1.5199984388210257,50,0.21496024069666256,0.4213220717654586
z,1,15,0.8818359375,1.3340833348372945,50,0.18866787454628287,0.3697890341107144
z,3,11,0.874052734375,0.6478947879316366,50,0.09162615960837607,0.1795872728324171
z,0,5,0.859140625,1.0092272321985454,50,0.14272628392914435,0.27974351650112295
z,14,12,0.815009765625,0.7190085000209219,50,0.10168315721911235,0.1992989881494602
z,0,4,0.807802734375,1.1597308546909373,50,0.16401071034064646,0.32146099226766706
z,5,14,0.786279296875,0.7805251780175118,50,0.11038292925260394,0.21635054133510373
z,10,4,0.7651171875,1.3734134054199416,50,0.19422998646898995,0.3806907734792203
z,10,15,0.762138671875,1.408114896072335,50,0.19913751834050775,0.3903095359473952
z,13,11,0.744384765625,1.009343406812855,50,0.14274271350066037,0.27977571846129434
z,10,2,0.711376953125,0.8989298719473255,50,0.12712788165302175,0.24917064803992262
z,9,13,0.7059130859375,0.992624536411211,50,0.14037830817370406,0.27514148402045996
z,10,6,0.703466796875,1.103498782607568,50,0.1560582944425822,0.30587425710746113
z,9,6,0.689130859375,1.2389467233934286,50,0.1752135259280694,0.34341851081901603
z,13,3,0.68166015625,1.8295792843047347,50,0.2587415837300616,0.5071335041109207
z,11,9,0.675615234375,0.6940005361861964,50,0.09814649705687188,0.1923671342314689
z,17,15,0.6633984375,0.9328649877561773,50,0.1319270317547797,0.2585769822393682
z,2,12,0.6360546875,0.5237179835535849,50,0.07406490752001693,0.1451672187392332
z,17,12,0.6296875,0.5567082425141227,50,0.07873043468483623,0.154311651982279
z,6,5,0.62640625,1.0366855663488637,50,0.1466094787846996,0.2873545784180112
z,19,1,0.613837890625,0.4041444360066216,50,0.05715465425581896,0.11202312234140517
