component,layer,head,abs_delta,std,n,sem,ci95
z,14,13,0.84814453125,1.2377951838306116,8,0.43762668410333727,0.8577483008425411
z,19,1,0.82568359375,0.4051643369177706,8,0.14324722506475332,0.2807645611269165
z,14,12,0.8203125,1.6012698447770788,8,0.5661343828757014,1.1096233904363748
z,15,9,0.8017578125,0.7557119209485369,8,0.26718451196311127,0.5236816434476981
z,10,4,0.62890625,1.231333844135816,8,0.4353422555464674,0.8532708208710761
z,17,15,0.613037109375,0.5989253001453164,8,0.21175207057847076,0.4150340583338027
z,23,6,0.582763671875,0.5272754766278951,8,0.18642003253847678,0.36538326377541447
z,11,9,0.56341552734375,0.4875006621569374,8,0.17235751202205127,0.33782072356322046
z,17,12,0.54931640625,0.3078967426588457,8,0.10885793731965956,0.21336155714653274
z,10,5,0.5128173828125,1.100762189576134,8,0.3891782043615181,0.7627892805485755
z,19,7,0.5125732421875,0.3348624685657685,8,0.118391761143861,0.23204785184196758
z,12,6,0.4881591796875,0.3383324252453545,8,0.11961857609314042,0.23445240914255522
z,17,11,0.4808349609375,0.4087174279203642,8,0.14450343243580674,0.2832267275741812
z,19,6,0.47265625,0.4372757317405077,8,0.1546003175810113,0.30301662245878214
z,10,2,0.451171875,0.4790033729586918,8,0.16935326661515993,0.33193240256571344
z,13,7,0.44659423828125,0.4735875733109361,8,0.16743849228692206,0.3281794448823672
z,13,3,0.436279296875,0.5550793006633712,8,0.1962501687976781,0.3846503308434491
z,10,6,0.43310546875,0.4054036809327357,8,0.14333184595276244,0.28093041806741437
z,17,13,0.423828125,0.3625153937618177,8,0.12816854660674637,0.25121035134922287
z,16,9,0.42340087890625,0.2390190245261261,8,0.08450598653750874,0.16563173361351713
z,18,2,0.4232177734375,0.23786518301808612,8,0.08409804196013394,0.16483216224186253
z,14,5,0.414794921875,0.6191357289654038,8,0.2188975362131567,0.4290391709777871
z,13,11,0.410888671875,0.77447673342667,8,0.2738188750386022,0.5366849950756603
z,21,15,0.40185546875,0.2753713305361001,8,0.09735846758321928,0.19082259646310978
z,9,6,0.38763427734375,0.31621096739015275,8,0.11179745966356762,0.21912302094059252
z,17,0,0.384033203125,0.25847734869918915,8,0.09138554302415823,0.17911566432735013
z,27,13,0.373291015625,0.35330581761830565,8,0.12491246973528075,0.24482844068115026
z,9,2,0.35687255859375,0.398406676694967,8,0.1408580313805038,0.2760817415057874
z,14,10,0.35302734375,0.4187994368597391,8,0.1480679608803144,0.2902132033254162
z,12,10,0.35107421875,0.6933579995584949,8,0.24513907163887547,0.4804725804121959
z,17,2,0.350341796875,0.2531430354076202,8,0.08949957847343726,0.17541917380793703
z,13,6,0.3447265625,0.5430580685142794,8,0.19200002141225783,0.3763200419680253
z,18,14,0.3187255859375,0.27649455863902217,8,0.09775558868741703,0.19160095382733738
z,15,8,0.317626953125,0.3012210836139351,8,0.10649773542988678,0.20873556144257807
z,17,10,0.31591796875,0.30150464884471034,8,0.10659799087868171,0.20893206212221616
z,16,12,0.3062744140625,0.06045666139742151,8,0.02137465762100786,0.04189432893717541
z,12,3,0.2935791015625,0.21284770407921327,8,0.07525302745719964,0.14749593381611129
z,17,9,0.29248046875,0.1649428641077309,8,0.058316108859453854,0.11429957336452955
z,22,9,0.2884521484375,0.1618005960092778,8,0.05720514931909268,0.11212209266542165
z,16,1,0.2757568359375,0.1988120750011202,8,0.07029068320753028,0.13776973908675935
z,9,3,0.274658203125,0.35671285901421884,8,0.1261170407726975,0.2471893999144871
z,18,13,0.260009765625,0.19862546654004856,8,0.07022470715340501,0.1376404260206738
z,17,14,0.259521484375,0.21723867442736183,8,0.07680546991178208,0.15053872102709287
z,11,4,0.257568359375,0.39758645857678737,8,0.14056804048379534,0.27551335934823884
z,13,2,0.2550048828125,0.2039679756967247,8,0.07211356938002347,0.141342595984846
z,20,4,0.25244140625,0.14363011638971782,8,0.050780914640891274,0.09953059269614689
z,16,8,0.2509765625,0.18413022398120993,8,0.0650998649992557,0.12759573539854116
z,18,15,0.246826171875,0.1014870163991112,8,0.03588107874910094,0.07032691434823783
z,22,7,0.2464599609375,0.21892676704532604,8,0.07740230078049881,0.15170850952977766
z,21,14,0.244873046875,0.1723149601239733,8,0.06092253840177552,0.11940817526748002
z,11,5,0.2412109375,0.25556847728550414,8,0.09035710167305006,0.1770999192791781
z,9,7,0.23431396484375,0.263778350161301,8,0.09325973006462779,0.18278907092667046
z,19,10,0.23193359375,0.10817134049993304,8,0.03824434419877084,0.07495891462959084
