component,layer,head,delta_margin
resid_pre,0,,-1.3515625
resid_pre,1,,-0.591796875
resid_pre,2,,1.5361328125
resid_pre,3,,4.296875
resid_pre,4,,4.146484375
resid_pre,5,,4.140625
resid_pre,6,,4.244140625
resid_pre,7,,4.18359375
resid_pre,8,,4.47265625
resid_pre,9,,4.353515625
resid_pre,10,,1.86328125
resid_pre,11,,1.47705078125
resid_pre,12,,3.08203125
resid_pre,13,,4.126953125
resid_pre,14,,5.521484375
resid_pre,15,,6.3671875
resid_pre,16,,6.8984375
resid_pre,17,,7.546875
resid_pre,18,,8.51171875
resid_pre,19,,7.98828125
resid_pre,20,,8.3984375
resid_pre,21,,7.39453125
resid_pre,22,,3.716796875
resid_pre,23,,2.4990234375
resid_pre,24,,1.59375
resid_pre,25,,1.40625
resid_pre,26,,0.3125
resid_pre,27,,0.09375
