component,layer,head,abs_delta,std,n,sem,ci95
z,24,0,7.126304417848587,4.622723500730954,8,1.6343795674586368,3.203383952218928
z,10,0,3.5665130615234375,2.9097701530817903,8,1.028759103469176,2.016367842799585
z,9,1,2.263803243637085,1.9668263148355905,8,0.6953781123181967,1.3629411001436655
z,5,0,2.105570673942566,1.0878764025928631,8,0.38462239068312004,0.7538598857389153
z,9,0,2.059680461883545,1.5559157838995992,8,0.5500993008752947,1.0781946297155776
z,16,0,1.9504600763320923,1.8648218958995657,8,0.6593141041478684,1.292255644129822
z,2,3,1.7867212295532227,1.3246068146816,8,0.46831923053363583,0.9179056918459262
z,12,3,1.7577210664749146,0.8045634932522616,8,0.28445615098690563,0.557534055934335
z,6,0,1.744962215423584,1.2371732287239434,8,0.43740678976657793,0.8573173079424927
z,4,0,1.7144217491149902,1.0841454685848406,8,0.38330330631450393,0.7512744803764277
z,12,0,1.6144369840621948,1.1990923294937845,8,0.4239431587269145,0.8309285911047525
z,6,3,1.6058502197265625,0.8583378394551648,8,0.30346825341387856,0.5947977766912019
z,19,0,1.5553375482559204,1.1288094479790713,8,0.39909440766672233,0.7822250390267758
z,4,1,1.5462262630462646,0.9278398668118943,8,0.32804093083895675,0.6429602244443552
z,6,2,1.48434579372406,1.1318704434450597,8,0.40017663299231315,0.7843462006649338
z,8,1,1.4654649496078491,1.0524828313694148,8,0.37210887357186534,0.729333392200856
z,10,2,1.46454918384552,1.153837642524505,8,0.40794321070868844,0.7995686929890293
z,7,0,1.464477300643921,0.836592187078539,8,0.2957800042854598,0.5797288083995012
z,13,3,1.464410662651062,0.9827661158729328,8,0.34746029242705756,0.6810221731570328
z,10,3,1.4533575773239136,0.6192695130130661,8,0.21894483601681497,0.4291318785929573
z,12,1,1.4368765354156494,1.02741352672171,8,0.3632455359138536,0.7119612503911531
z,7,1,1.4150303602218628,0.8980289535289506,8,0.31750118137108996,0.6223023154873363
z,8,3,1.400324821472168,0.8230770724037969,8,0.29100168966794787,0.5703633117491779
z,13,1,1.357807993888855,1.3443888221559779,8,0.4753132263489437,0.9316139236439296
z,3,1,1.3513067960739136,1.1599878008440583,8,0.410117620035252,0.8038305352690939
z,0,3,1.312943696975708,0.7324718801100795,8,0.2589679167271485,0.507577116785211
z,7,3,1.2991812229156494,1.1608005081810406,8,0.4104049554698021,0.8043937127208121
z,14,0,1.272779107093811,0.9703333895985939,8,0.3430646598984469,0.6724067334009559
z,10,1,1.2669750452041626,0.7614559174212209,8,0.2692153213915845,0.5276620299275055
z,16,1,1.244666337966919,0.9403908838613835,8,0.33247838547219766,0.6516576355255074
z,6,1,1.2419716119766235,0.9641334832073659,8,0.34087266197246735,0.6681104174660359
z,3,2,1.1958484649658203,0.8384518521729998,8,0.2964374951849744,0.5810174905625498
z,17,2,1.188402771949768,0.5024864183955636,8,0.17765577695082188,0.3482053228236109
z,3,0,1.1720207929611206,1.0528720576797006,8,0.372246485853575,0.729603112273007
z,19,3,1.1688894033432007,0.6840699630500418,8,0.24185525483935774,0.47403629948514114
z,0,1,1.151931881904602,1.69130512931633,8,0.5979666629975837,1.172014659475264
z,15,0,1.1470707654953003,0.7548927313084538,8,0.266894884688321,0.5231139739891092
z,25,2,1.140962839126587,0.8946208285434271,8,0.31629622722689243,0.6199406053647092
z,1,2,1.1301250457763672,1.3769624422860034,8,0.4868297401898115,0.9541862907720305
z,13,0,1.1247750520706177,0.7030469180916744,8,0.2485646216374631,0.48718665840942765
z,1,3,1.0679939985275269,0.4598951812794815,8,0.16259750065886894,0.3186911012913831
z,0,0,1.0582859516143799,0.9026422709750729,8,0.31913223539604957,0.6254991813762572
z,11,3,1.0246440172195435,0.5446295494833641,8,0.1925556238371305,0.3774090227207758
z,4,2,0.9918950796127319,0.7815023151829029,8,0.2763027932894086,0.5415534748472408
z,19,2,0.9862207174301147,0.6504906699140611,8,0.22998318189740635,0.4507670365189164
z,9,3,0.9756162166595459,0.8358862472109447,8,0.29553041685171694,0.5792396170293652
z,8,0,0.9690178632736206,0.7151706675383934,8,0.25285101436105395,0.49558798814766575
z,8,2,0.9127389192581177,0.9113014785835999,8,0.3221937276058954,0.6314997061075549
z,15,2,0.9070287942886353,0.5123042406250957,8,0.18112690128831496,0.3550087265250973
z,16,2,0.888759970664978,0.7135312851900069,8,0.2522714051733031,0.4944519541396741
z,7,2,0.8882870674133301,0.6471933027528431,8,0.22881738655752681,0.44848207765275255
z,1,0,0.8780217170715332,0.7284566189941757,8,0.2575483075455034,0.5047946827891866
z,9,2,0.8525707721710205,0.8059369093054382,8,0.2849417268892014,0.5584857847028347
z,16,3,0.8444826602935791,0.6830927942445265,8,0.24150977349498584,0.47335915605017226
z,11,0,0.8294403553009033,0.8252165960399137,8,0.2917581255037514,0.5718459259873527
z,18,1,0.8058106899261475,1.0729525558669837,8,0.379346014072491,0.7435181875820824
z,4,3,0.7932806015014648,0.8149315867632554,8,0.2881218256017056,0.5647187781793429
z,2,2,0.7824424505233765,0.9719380959271599,8,0.3436320092618179,0.6735187381531631
z,3,3,0.7763611078262329,0.4733887763634221,8,0.16736820695208887,0.3280416856260942
z,25,3,0.7546733617782593,0.5109134708222818,8,0.18063518990899535,0.3540449722216309
z,1,1,0.7538737058639526,0.4300018104907904,8,0.15202859806026528,0.29797605219811996
z,2,1,0.729439377784729,0.5721402845892719,8,0.20228213751153765,0.3964729895226138
z,11,2,0.7279210090637207,0.6963281635920829,8,0.24618918320356872,0.4825307990789947
z,2,0,0.7216609716415405,0.4271127712568472,8,0.1510071684435477,0.29597405014935346
z,24,2,0.710270881652832,0.3539903250495152,8,0.12515447965847118,0.2453027801306035
z,20,3,0.7035733461380005,0.48952145302558453,8,0.1730719694853414,0.33922106019126913
z,18,2,0.6900187730789185,0.5766006319275182,8,0.2038591084361983,0.3995638525349487
z,21,2,0.6614300012588501,0.629295879821782,8,0.22248969199736834,0.43607979631484195
z,13,2,0.6563942432403564,0.5124113445774956,8,0.18116476825383188,0.3550829457775105
z,19,1,0.6558935642242432,0.6171577204838603,8,0.21819820460788472,0.42766848103145405
z,20,2,0.6519991159439087,0.6222261601739317,8,0.219990168645327,0.4311807305448409
z,20,0,0.6365509033203125,0.38039082325326834,8,0.13448846531175973,0.2635973920110491
z,17,3,0.6357020139694214,0.4867940220821294,8,0.17210767702767382,0.3373310469742407
z,15,1,0.5947306156158447,0.6993118914358888,8,0.24724409029935382,0.4845984169867335
z,14,2,0.5911080837249756,0.30229013503957497,8,0.10687570218614031,0.209476376284835
z,11,1,0.5532790422439575,0.41042666870469346,8,0.14510774031044665,0.28441117100847546
z,18,3,0.5118352174758911,0.4453730757838471,8,0.1574631610223342,0.30862779560377507
z,12,2,0.49347102642059326,0.47553323787579155,8,0.16812638859078388,0.3295277216379364
z,25,0,0.48407232761383057,0.3772440488664369,8,0.1333759125578634,0.2614167886134123
z,14,1,0.4798380136489868,0.4747140776914221,8,0.16783677173016104,0.32896007259111565
z,5,3,0.4697319269180298,0.3075355849760045,8,0.10873024879635224,0.21311128764085038
z,15,3,0.4615349769592285,0.36917906044049126,8,0.13052450855477482,0.25582803676735866
z,22,3,0.4586000442504883,0.3419289716949382,8,0.12089014728481692,0.23694468867824117
z,20,1,0.4460487365722656,0.4360728859072622,8,0.15417504735830637,0.30218309282228045
z,25,1,0.4123722314834595,0.25990169347106,8,0.09188912494762698,0.18010268489734887
z,14,3,0.41175293922424316,0.37939041028524134,8,0.13413476591492032,0.26290414119324385
z,17,1,0.3717750310897827,0.29221429879638994,8,0.10331335611929965,0.2024941779938273
z,0,2,0.33786749839782715,0.3138850483076159,8,0.11097512308569112,0.2175112412479546
z,22,0,0.3348764181137085,0.24711538701666802,8,0.08736848294751204,0.1712422265771236
z,21,1,0.29160261154174805,0.24591719807901938,8,0.086944859186035,0.1704119240046286
z,5,1,0.2891268730163574,0.18411784105695578,8,0.06509548697440018,0.12758715446982435
z,17,0,0.2808561325073242,0.11112397606146164,8,0.03928825851273555,0.07700498668496167
z,18,0,0.25921201705932617,0.1882500255472167,8,0.06655643481148887,0.13045061223051818
z,22,1,0.257989764213562,0.28700465945358605,8,0.10147147046588323,0.19888408211313113
z,24,1,0.25537109375,0.13996050579027225,8,0.049483511371300276,0.09698768228774854
z,23,3,0.24705970287322998,0.15113440036511128,8,0.0534340796843664,0.10473079618135814
z,5,2,0.2288825511932373,0.19266901756350577,8,0.06811878442185247,0.13351281746683083
z,21,3,0.22507548332214355,0.16243505481894652,8,0.05742946438244283,0.11256175018958794
z,23,0,0.17677950859069824,0.11744577364404017,8,0.041523351482700546,0.08138576890609307
z,21,0,0.1652209758758545,0.1415614113136871,8,0.0500495169471231,0.09809705321636127
z,23,1,0.13718056678771973,0.1284771977330086,8,0.04542354887242766,0.08903015578995821
z,24,3,0.10529232025146484,0.12724414523340621,8,0.04498759898041372,0.08817569400161089
z,22,2,0.07798445224761963,0.06933425979097681,8,0.02451336263337474,0.04804619076141449
z,23,2,0.06268775463104248,0.07881150273257091,8,0.027864074008851505,0.05461358505734895
