component,layer,head,abs_delta,std,n,sem,ci95
z,14,5,2.455078125,2.173840283426081,8,0.7685686028135341,1.5063944615145268
z,14,4,1.2314453125,1.006846830233269,8,0.3559741106370625,0.6977092568486425
z,24,11,1.197265625,0.9370883582879682,8,0.3313107663581957,0.6493691020620636
z,24,22,0.6611328125,0.585944010380498,8,0.20716249156784547,0.4060384834729771
z,15,7,0.57421875,0.4225564932116854,8,0.14939628089219503,0.2928167105487023
z,0,20,0.541015625,0.36108748623021203,8,0.1276637050574935,0.2502208619126873
z,11,17,0.498046875,0.3438451065672854,8,0.12156760326576929,0.2382725024009078
z,0,2,0.4677734375,0.7899342945222649,8,0.27928394817425245,0.5473965384215348
z,0,18,0.4443359375,0.24907185059858267,8,0.08806019728047022,0.17259798666972165
z,9,13,0.4111328125,0.24335252261907409,8,0.08603810948139998,0.16863469458354396
z,23,15,0.3857421875,0.27466045075965256,8,0.09710713362795208,0.19032998191078607
z,24,21,0.3759765625,0.37933316569987446,8,0.13411452689767075,0.2628644727194347
z,14,3,0.3720703125,0.2868045712596369,8,0.10140072860649481,0.19874542806872983
z,27,11,0.3671875,0.4050462936504912,8,0.14320549046736997,0.28068276131604514
z,13,8,0.359375,0.2612894600240179,8,0.0923797745177772,0.1810643580548433
z,12,21,0.3544921875,0.3177828437095659,8,0.11235320186588942,0.22021227565714324
z,11,4,0.33984375,0.16864869644471017,8,0.05962631844716307,0.11686758415643961
z,21,5,0.3388671875,0.2346701081093776,8,0.08296841239296056,0.1626180882902027
z,19,17,0.3349609375,0.23327261206019964,8,0.08247432292643299,0.16164967293580865
z,22,8,0.326171875,0.18897070159225174,8,0.06681123227073035,0.1309500152506315
z,15,23,0.3046875,0.2670001170411728,8,0.09439879666870758,0.18502164147066685
z,11,16,0.28515625,0.1821693892615567,8,0.06440660523572929,0.12623694626202941
z,23,17,0.28515625,0.2296776297684897,8,0.08120330474807616,0.15915847730622928
z,16,16,0.279296875,0.2322729396011988,8,0.08212088533907051,0.1609569352645782
z,12,1,0.2685546875,0.17333679810578873,8,0.06128381268488335,0.12011627286237136
z,12,0,0.2685546875,0.20342257992660387,8,0.07192074285628203,0.14096465599831276
z,15,13,0.267578125,0.1807157111259778,8,0.06389265240206406,0.12522959870804554
z,13,18,0.265625,0.21091683099794167,8,0.07457036073251078,0.14615790703572112
z,15,20,0.2646484375,0.19490750421187655,8,0.06891020896618173,0.1350640095737162
z,26,23,0.2626953125,0.21480569874073532,8,0.07594528310854429,0.1488527548927468
z,17,10,0.2626953125,0.1882396821704669,8,0.06655277787556879,0.13044344463611482
z,19,2,0.26171875,0.22069448268477398,8,0.07802728263843038,0.15293347397132354
z,26,5,0.2578125,0.195736147680822,8,0.06920317867422038,0.13563823020147195
z,25,16,0.248046875,0.14780468965321142,8,0.05225684917247946,0.10242342437805975
z,14,6,0.24609375,0.25568999130154807,8,0.09040006336542698,0.1771841241962369
z,25,5,0.2431640625,0.17041984964627746,8,0.06025251566683732,0.11809493070700115
z,14,19,0.23828125,0.14447845319458538,8,0.05108084699461726,0.10011846010944983
z,13,23,0.236328125,0.12540044673927886,8,0.04433575312658328,0.08689807612810323
z,15,5,0.2314453125,0.20135464348399557,8,0.07118961691546646,0.13953164915431426
z,25,13,0.23046875,0.1623260573165275,8,0.05739092794589638,0.11248621877395691
z,17,6,0.2265625,0.22895519192784053,8,0.08094788440002176,0.15865785342404265
z,21,20,0.2265625,0.19309003382027332,8,0.06826763614692753,0.13380456684797795
z,13,7,0.1953125,0.14068699030497253,8,0.04974036243468607,0.09749111037198468
z,21,10,0.1943359375,0.16175769997645895,8,0.057189983281246574,0.11209236723124329
z,14,14,0.1884765625,0.15476061921756024,8,0.05471614165468298,0.10724363764317864
z,23,8,0.1875,0.19764235376052372,8,0.06987712429686843,0.1369591636218621
z,11,15,0.18359375,0.10279981196133442,8,0.03634522207128076,0.07123663525971029
z,10,20,0.1826171875,0.11699668244256742,8,0.04136457376573425,0.08107456458083913
z,12,2,0.1787109375,0.1911583899915829,8,0.06758469692187546,0.1324660059668759
z,12,10,0.1767578125,0.14555696003036492,8,0.05146215674318514,0.10086582721664288
z,15,1,0.1767578125,0.13843391618023212,8,0.04894378043862613,0.09592980965970721
z,16,4,0.17578125,0.2925257066695165,8,0.10342345542870099,0.20270997264025392
z,0,15,0.1748046875,0.16162288501785735,8,0.05714231899553029,0.11199894523123936
z,26,9,0.173828125,0.12705824974445779,8,0.04492187500000001,0.08804687500000001
z,22,12,0.173828125,0.1657676062279768,8,0.05860769923243187,0.11487109049556647
z,24,15,0.173828125,0.14542586303895536,8,0.051415806957375715,0.1007749816364564
z,25,17,0.1728515625,0.15738635333458814,8,0.05564447885455463,0.10906317855492707
