component,layer,head,abs_delta,std,n,sem,ci95
z,9,12,1.5732421875,1.8573290134234033,8,0.6566649701431042,1.2870633414804842
z,9,22,1.2646484375,1.3362111868517437,8,0.4724219956600964,0.9259471114937889
z,0,26,0.7890625,0.49744744652432527,8,0.17587423136064143,0.3447134934668572
z,5,19,0.7490234375,0.5471529507301826,8,0.1934477809037705,0.37915765057139017
z,6,6,0.6357421875,0.5090718844367615,8,0.17998409079832425,0.35276881796471554
z,6,25,0.62109375,0.8718453976029401,8,0.30824389639566036,0.6041580369354943
z,14,24,0.59375,0.4226183926470444,8,0.14941816564744204,0.29285960466898636
z,4,11,0.5166015625,0.407395309921846,8,0.14403599313466622,0.2823105465439458
z,4,5,0.515625,0.7471112522337525,8,0.2641437163776298,0.5177216841001544
z,15,23,0.513671875,0.5113586689761439,8,0.18079259122577918,0.35435347880252716
z,0,24,0.50390625,0.3328214074931393,8,0.117670137081225,0.230633468679201
z,9,14,0.5009765625,0.4280597720611355,8,0.15134198378879837,0.2966302882260448
z,5,17,0.4970703125,0.42979782471662,8,0.15195647819817454,0.2978346972684221
z,7,9,0.4892578125,0.38238946879513314,8,0.13519509321968018,0.26498238271057317
z,0,3,0.4599609375,0.3442173542746167,8,0.12169921270483684,0.2385304569014802
z,2,9,0.435546875,0.8957865587698712,8,0.31670837510096883,0.6207484151978989
z,15,3,0.427734375,0.27815603508626363,8,0.09834300931873012,0.19275229826471102
z,0,2,0.40625,0.36890508240118974,8,0.13042764269003168,0.2556381796724621
z,14,19,0.4013671875,0.3990811830528379,8,0.14109650539030577,0.2765491505649993
z,10,3,0.37109375,0.7899956911048854,8,0.2793056551442088,0.5474390840826492
z,14,7,0.3349609375,0.23345942820487148,8,0.08254037240779927,0.16177912991928656
z,5,18,0.326171875,0.49950711616150395,8,0.17660243454436797,0.3461407717069612
z,15,26,0.3212890625,0.22177584790945973,8,0.07840960298008769,0.15368282184097187
z,8,26,0.3056640625,0.25244471180741984,8,0.08925268379685514,0.17493526024183606
z,14,5,0.3056640625,0.2778639644551728,8,0.09823974675681524,0.19254990364335786
z,14,25,0.3037109375,0.255636702791626,8,0.09038122303206438,0.17714719714284619
z,9,20,0.2978515625,0.4487247380691704,8,0.15864815258743387,0.31095037907137035
z,4,8,0.296875,0.18548959407182003,8,0.06558047490386198,0.1285377308115695
z,4,15,0.2919921875,0.35177170114912976,8,0.12437007765603864,0.24376535220583573
z,8,12,0.28515625,0.37050882002225766,8,0.13099464956358223,0.25674951314462113
z,12,5,0.2841796875,0.20367959573905312,8,0.07201161166820953,0.1411427588696907
z,13,20,0.2802734375,0.21628221771126419,8,0.07646731139685005,0.1498759303378261
z,15,14,0.2783203125,0.30228671538918356,8,0.10687449315714978,0.20947400658801357
