component,layer,head,abs_delta,std,n,sem,ci95
z,20,6,1.943359375,1.8113775677095427,8,0.6404186807083061,1.25522061418828
z,21,15,1.478515625,1.000668983122532,8,0.3537899118444946,0.6934282272152094
z,14,14,0.453125,0.27586612792387954,8,0.09753340487732541,0.1911654735595578
z,22,2,0.44921875,0.3059298162248282,8,0.10816252380986513,0.21199854666733564
z,9,1,0.263671875,0.12896542202514982,8,0.04559616222628418,0.08936847796351699
z,16,14,0.259765625,0.17892160141560604,8,0.0632583388308658,0.12398634410849697
z,20,9,0.25390625,0.20791904492150645,8,0.0735104833009138,0.14408054726979103
z,12,8,0.240234375,0.1787265648661085,8,0.06318938299750133,0.12385119067510261
z,12,10,0.23828125,0.23005694898608411,8,0.08133741434357385,0.15942133211340473
z,22,13,0.232421875,0.23121945683912964,8,0.0817484229366094,0.16022690895575442
z,16,13,0.228515625,0.1424576760063318,8,0.05036639436807667,0.09871813296143027
z,22,9,0.224609375,0.22810627063525676,8,0.08064774539868194,0.1580695809814166
z,10,15,0.21875,0.22581079113465136,8,0.07983617083820554,0.15647889484288285
z,19,9,0.2109375,0.1946193055869403,8,0.06880831536517121,0.13486429811573555
z,16,8,0.2109375,0.2147270381038614,8,0.07591747237367129,0.14879824585239573
z,18,11,0.203125,0.16849352202469303,8,0.059571456004832664,0.11676005376947202
z,13,2,0.197265625,0.057826072248566465,8,0.020444603908172286,0.04007142366001768
z,15,15,0.1875,0.16021748611541392,8,0.05664543544843535,0.1110250534789333
z,16,0,0.185546875,0.17043583754886218,8,0.06025816824400462,0.11810600975824906
z,13,4,0.18359375,0.07123648838050423,8,0.025185902000885618,0.04936436792173581
z,23,15,0.18359375,0.15841139014220448,8,0.0560068840933703,0.10977349282300577
z,14,7,0.1796875,0.16931947561172214,8,0.05986347469599949,0.117332410404159
z,13,13,0.17578125,0.13767997555796868,8,0.048677222175318884,0.09540735546362501
z,19,13,0.173828125,0.12977420186994848,8,0.04588210908265625,0.08992893380200624
z,0,10,0.171875,0.08995286464111557,8,0.031803140287444215,0.06233415496339066
z,20,5,0.16796875,0.15326387652742665,8,0.05418696320174055,0.10620644787541147
z,15,2,0.16796875,0.1240898786810247,8,0.043872397345984276,0.08598989879812918
z,11,11,0.1640625,0.10728227536337426,8,0.03793001220528221,0.07434282392235313
z,21,8,0.16015625,0.12769144852646053,8,0.04514574457629661,0.08848565936954135
z,15,8,0.16015625,0.15417144257402907,8,0.05450783625470417,0.10683535905922018
z,22,11,0.16015625,0.15212180490247187,8,0.053783179906437426,0.10541503261661735
z,21,10,0.158203125,0.1626882280388188,8,0.05751897463273609,0.11273719028016274
z,2,5,0.158203125,0.0845308992929086,8,0.029886186054906404,0.058576924667616555
z,14,2,0.154296875,0.10345506567510016,8,0.03657688924348147,0.07169070291722368
z,16,6,0.15234375,0.11744762795603836,8,0.041524007080994726,0.08138705387874966
z,10,11,0.150390625,0.10395952246075324,8,0.036755241650456905,0.07204027363489553
z,12,1,0.150390625,0.15734826077021222,8,0.055631011099263133,0.10903678175455574
z,18,2,0.1484375,0.10985227499432394,8,0.03883864428862793,0.07612374280571074
z,19,11,0.14453125,0.08985588039227833,8,0.031768851177433666,0.062266948307769986
z,10,3,0.142578125,0.1090356662138423,8,0.03854992948550041,0.07555786179158079
z,23,6,0.142578125,0.1480993563923871,8,0.05236102959721009,0.10262761801053177
z,8,0,0.142578125,0.11585928845363302,8,0.040962444264506084,0.08028639075843193
z,14,5,0.140625,0.12911745414267473,8,0.045649913696914186,0.0894738308459518
z,11,1,0.140625,0.09300297614285562,8,0.03288151755057195,0.06444777439912101
z,6,8,0.140625,0.09595618419734231,8,0.03392563427136309,0.06649424317187165
z,15,3,0.13671875,0.11197484072485722,8,0.03958908459941506,0.07759460581485352
z,9,7,0.13671875,0.08907620508587015,8,0.03149319432929121,0.06172666088541077
z,15,13,0.134765625,0.11750329473914156,8,0.041543688260904287,0.0814256289913724
z,8,8,0.134765625,0.09950263451061772,8,0.035179493804192184,0.06895180785621668
z,8,2,0.126953125,0.10677310174709934,8,0.03774999214684757,0.07398998460782125
z,12,5,0.126953125,0.10677310174709934,8,0.03774999214684757,0.07398998460782125
