component,layer,head,abs_delta,std,n,sem,ci95
z,0,9,6.7294921875,3.5499144699262617,8,1.2550842971585539,2.4599652224307653
z,0,3,4.19384765625,2.0114461473372076,8,0.7111536053868474,1.3938610665582207
z,16,1,2.341796875,1.6762956305543557,8,0.5926600038191823,1.1616136074855972
z,12,11,1.775390625,0.9576585498801137,8,0.338583427340752,0.6636235175878739
z,0,4,1.0927734375,1.1713498637377562,8,0.41413471589545287,0.8117040431550876
z,8,1,0.9033203125,0.566653463599853,8,0.20034225334715025,0.39267081656041447
z,0,11,0.818359375,0.7146348372517528,8,0.25266156974642956,0.4952166767030019
z,0,10,0.7958984375,0.32348002383934416,8,0.11436745921759314,0.22416022006648256
z,16,5,0.7255859375,0.7135931744910721,8,0.25229328634553616,0.49449484123725085
z,5,6,0.640625,0.41696882645126226,8,0.1474207423635421,0.2889446550325425
z,4,6,0.630859375,0.47726181857653577,8,0.1687375341584461,0.3307255669505544
z,10,3,0.6220703125,0.46600643345773196,8,0.16475815458725993,0.3229259829910294
z,12,0,0.6015625,0.43279114503789734,8,0.1530147767468939,0.299908962423912
z,0,7,0.595703125,0.386264727166648,8,0.13656520395635421,0.26766779975445426
z,16,4,0.5859375,0.5114481802406071,8,0.18082423823682645,0.35441550694417984
z,15,11,0.5625,0.4636628720617723,8,0.1639295805096549,0.3213019777989236
z,15,4,0.529296875,0.3879540380747211,8,0.13716246555566966,0.26883843248911254
z,7,8,0.5224609375,0.3402427998895408,8,0.1202939955258959,0.23577623123075594
z,0,0,0.5126953125,0.3509279367376215,8,0.12407176188748796,0.2431806532994764
z,23,9,0.51171875,0.32357603572090615,8,0.11440140454385662,0.22422675290595898
z,5,9,0.505859375,0.4818980084719135,8,0.17037667481539118,0.3339382826381667
z,12,1,0.4833984375,0.34907196949282915,8,0.12341557837526156,0.24189453361551264
z,18,1,0.48046875,0.38291498263788454,8,0.13538089042058862,0.2653465452243537
z,13,6,0.478515625,0.5635646855995421,8,0.19925020541235042,0.3905304026082068
z,9,4,0.4716796875,0.25998266476700455,8,0.09191775262384891,0.18015879514274385
z,10,6,0.46875,0.3878472666297171,8,0.13712471614926994,0.2687644436525691
z,9,11,0.4638671875,0.22952335227222795,8,0.08114875941618058,0.15905156845571392
z,5,8,0.462890625,0.33906995753813207,8,0.11987933313592394,0.23496349294641092
z,15,0,0.4619140625,0.4147134686635579,8,0.14662335297069828,0.28738177182256863
z,10,10,0.447265625,0.33503434450481023,8,0.1184525284648706,0.23216695579114638
z,13,9,0.4443359375,0.4474988913313032,8,0.1582147503169132,0.31010091062114986
z,8,6,0.4423828125,0.33454438873328024,8,0.11827930294060543,0.23182743376358664
z,13,1,0.4345703125,0.26035132178680864,8,0.09204809256316665,0.18041426142380662
z,14,7,0.4267578125,0.4020199047764868,8,0.14213550041971196,0.27858558082263546
z,3,4,0.4208984375,0.27218903443371817,8,0.0962333560063504,0.18861737777244678
z,16,0,0.412109375,0.3706205865040756,8,0.13103416498218362,0.2568269633650799
z,12,3,0.3955078125,0.26660590614920443,8,0.09425942207124335,0.18474846725963698
z,10,9,0.38671875,0.2060655966771954,8,0.07285519038984847,0.142796173164103
z,1,3,0.384765625,0.290784266555705,8,0.10280776337194779,0.20150321620901765
z,10,5,0.380859375,0.23955401444570612,8,0.08469513403750947,0.16600246271351857
z,10,2,0.3798828125,0.3260707780129884,8,0.11528342913987874,0.22595552111416234
z,18,2,0.3740234375,0.1725553448272751,8,0.061007527228674634,0.11957475336820228
z,0,8,0.369140625,0.10709925172932883,8,0.037865303578906745,0.07421599501465721
z,9,8,0.3623046875,0.18600302248138287,8,0.06576199925888983,0.12889351854742406
z,8,7,0.353515625,0.17408031214966557,8,0.06154668459604973,0.12063150180825746
z,8,0,0.3515625,0.3932722796454131,8,0.13904274789498192,0.27252378587416454
z,9,9,0.3505859375,0.17215062619662003,8,0.06086443758457026,0.1192942976657577
