component,layer,head,abs_delta,std,n,sem,ci95
z,0,10,3.492298722267151,2.7513986176563714,8,0.9727663101460565,1.9066219678862708
z,19,6,3.0079195499420166,2.086972187572991,8,0.7378560929902926,1.4461979422609736
z,14,9,2.802347421646118,2.4473683025307307,8,0.8652753613902447,1.6959397083248797
z,0,6,2.4905545711517334,2.2092741656028037,8,0.781096371998997,1.530948889118034
z,18,8,2.1948859691619873,1.9059304391423957,8,0.6738481689937211,1.3207424112276933
z,13,10,1.6554358005523682,0.9133341818684804,8,0.322912396744335,0.6329082976188966
z,11,8,1.5646357536315918,1.5066065299645761,8,0.5326658469589426,1.0440250600395276
z,15,7,1.5376560688018799,1.242128339821917,8,0.43915868609603287,0.8607510247482244
z,0,3,1.4587979316711426,1.1089763440503952,8,0.3920823465267501,0.7684813991924302
z,0,1,1.382842779159546,1.0527405863870778,8,0.37220000373230255,0.729512007315313
z,10,9,1.053420066833496,0.957218745559223,8,0.3384279330319035,0.6633187487425308
z,10,8,1.0042669773101807,0.5975585614719173,8,0.21126885548643556,0.41408695675341367
z,0,9,0.9872242212295532,0.7733955329656005,8,0.2734366129496801,0.535935761381373
z,6,4,0.9824526309967041,0.782503932438908,8,0.27665691846634594,0.542247560194038
z,0,8,0.8824081420898438,0.49789954997780445,8,0.1760340740695179,0.34502678517625507
z,18,10,0.8258488178253174,0.9166243881370789,8,0.3240756603263492,0.6351882942396444
z,11,10,0.823840856552124,0.6491028918084497,8,0.22949252824277633,0.4498053553558416
z,14,7,0.8183834552764893,0.6096124384074374,8,0.21553054454678275,0.4224398673116942
z,0,7,0.8145780563354492,0.600900139617525,8,0.21245028176974753,0.41640255226870515
z,11,11,0.8013730049133301,0.6812823481561124,8,0.24086968414194074,0.47210458091820384
z,14,6,0.7717856168746948,0.7144499612098062,8,0.25259620619495987,0.4950885641421213
z,14,10,0.7576398849487305,0.5147978311263953,8,0.1820085186648006,0.3567366965830092
z,13,6,0.718019962310791,0.578825056685741,8,0.2046455613515876,0.4011053002491117
z,0,5,0.7067422866821289,0.2708548562398237,8,0.0957616527822434,0.18769283945319706
z,12,10,0.7032010555267334,0.27119678782252227,8,0.0958825438526574,0.18792978595120852
z,9,0,0.7009782791137695,0.3991439428191018,8,0.14111869431846122,0.276592640864184
z,12,11,0.6924190521240234,0.35190720969269085,8,0.12441798716106901,0.24385925483569526
z,7,7,0.6917134523391724,0.7782239307116643,8,0.27514370934393384,0.5392816703141103
z,8,3,0.6785445213317871,0.3083131692556601,8,0.10900516635489652,0.21365012605559716
