component,layer,head,abs_delta,std,n,sem,ci95
z,0,3,8.5625,2.462334849882613,8,0.8705668349519775,1.7063109965058758
z,12,6,4.416015625,3.2064354354531934,8,1.1336461199228967,2.2219463950488776
z,0,7,4.05859375,2.247630976290449,8,0.7946575524699583,1.5575288028411183
z,0,9,3.78515625,2.173428112463038,8,0.7684228783720461,1.5061088416092103
z,0,12,3.2353515625,1.4512122437785404,8,0.5130810092583755,1.005638778146416
z,0,5,2.671875,1.5082432536078427,8,0.5332445161524837,1.045159251658868
z,9,7,2.33203125,1.594805541563543,8,0.5638489065567327,1.105143856851196
z,0,2,2.3173828125,1.7649727061317597,8,0.6240120845574694,1.22306368573264
z,0,1,2.017578125,1.4045423038934566,8,0.49658069377321984,0.9732981597955108
z,10,3,1.984375,1.8822173222003542,8,0.6654643160973276,1.304310059550762
z,0,10,1.8984375,1.2363089506383798,8,0.43710122131901147,0.8567183937852625
z,4,4,1.720703125,1.083801615465334,8,0.38318173587823634,0.7510362023213432
z,5,14,1.6337890625,1.3002218371582224,8,0.45969783905070494,0.9010077645393817
z,0,14,1.6123046875,1.4042081996267488,8,0.49646257007691363,0.9730666373507507
z,15,3,1.59765625,1.3333929139403842,8,0.4714255857166681,0.9239941480046695
z,14,0,1.5908203125,1.298205115416527,8,0.4589848202410454,0.899610247672449
z,0,13,1.51171875,1.3336806072120757,8,0.4715273006483255,0.924193509270718
z,17,13,1.4091796875,1.2281285320912039,8,0.4342090066051853,0.8510496529461632
z,6,8,1.353515625,0.5296843723569693,8,0.1872717057910766,0.36705254335051013
z,3,10,1.34375,1.0163887924683925,8,0.3593477037382034,0.7043214993268787
z,2,9,1.3349609375,0.5406443131743324,8,0.19114663002775695,0.3746473948544036
z,14,13,1.2421875,0.7726761674993144,8,0.2731822788499989,0.5354372665459979
z,6,0,1.2353515625,0.8868422713289889,8,0.31354609194980404,0.6145503402216159
z,22,2,1.1826171875,0.7390492568562057,8,0.2612933705769508,0.5121350063308235
z,9,6,1.17578125,0.6164312161112775,8,0.21794134652367722,0.42716503918640736
z,1,10,1.1591796875,1.1015659629821453,8,0.3894623811744821,0.7633462671019849
z,12,7,1.140625,1.1193434180357698,8,0.3957476606848106,0.7756654149422287
z,14,12,1.111328125,0.7111122479505383,8,0.25141614635531756,0.4927756468564224
z,17,6,1.091796875,0.9454439290276647,8,0.3342649067235573,0.6551592171781723
z,9,12,1.0791015625,0.348522008389759,8,0.12322113776257669,0.2415134300146503
z,11,2,1.0751953125,1.138359552318314,8,0.40247087943638116,0.7888429236953071
z,21,2,1.0654296875,0.885203753177802,8,0.3129667883019033,0.6134149050717304
z,4,5,1.0244140625,0.8056614414188966,8,0.2848443342839151,0.5582948951964736
z,5,15,1.0234375,0.670458952116544,8,0.23704303577441752,0.46460435011785833
z,15,7,1.017578125,0.8937108781085489,8,0.31597451116536945,0.6193100418841241
z,13,4,0.9951171875,0.7722352386942326,8,0.273026386975952,0.5351317184728659
z,6,7,0.9560546875,0.3045855341057673,8,0.10768724830875724,0.21106700668516418
z,2,12,0.9521484375,0.8373437926935318,8,0.2960457369990295,0.5802496445180978
z,20,0,0.94140625,0.7973672324269504,8,0.2819118885725233,0.5525473016021457
z,5,8,0.9326171875,0.6833649170562396,8,0.2416059834377248,0.4735477275379406
z,9,13,0.9267578125,0.5492127568383637,8,0.19417603233728267,0.38058502338107403
z,7,4,0.9248046875,0.7176323013270265,8,0.2537213333334241,0.49729381333351125
z,10,2,0.9189453125,0.6807442203710865,8,0.24067942723897237,0.47173167738838584
z,15,2,0.9169921875,0.9791433530619631,8,0.346179452351924,0.678511726609771
z,16,9,0.9150390625,1.0859691148725323,8,0.38394806264276016,0.7525382027798099
z,7,2,0.90234375,0.42228815747831305,8,0.1493014098838439,0.29263076337233407
z,16,8,0.8818359375,0.8177674966038171,8,0.289124471141253,0.5666839634368559
z,5,13,0.8720703125,0.6663228010994873,8,0.23558068555833128,0.4617381436943293
z,0,15,0.8671875,0.762966868927057,8,0.2697495234194949,0.5287090659022099
z,0,4,0.86328125,1.0906764851744537,8,0.38561236937378257,0.7558002439726138
z,5,1,0.8525390625,0.5368734262590231,8,0.18981342017330555,0.37203430353967887
z,17,10,0.83984375,0.6655249128306275,8,0.2352985894555613,0.4611852353329002
z,19,6,0.8154296875,0.583408791987778,8,0.20626615650920485,0.4042816667580415
z,16,13,0.8017578125,0.5266498824670589,8,0.1861988516017778,0.36494974913948447
z,2,15,0.7998046875,0.5167725579056541,8,0.1827066900131029,0.3581051124256817
z,8,8,0.7890625,0.9797759629119301,8,0.34640311370930255,0.6789501028702329
z,11,13,0.7763671875,0.43520078037416393,8,0.15386671149012432,0.30157875452064364
z,2,6,0.7724609375,0.4066669713658688,8,0.14377848656870068,0.28180583367465334
z,10,6,0.76953125,0.6729253625230556,8,0.2379150435362342,0.466313485331019
z,1,15,0.7490234375,0.44911319606160993,8,0.15878549322776392,0.31121956672641726
z,7,1,0.748046875,0.4608854767857776,8,0.16294762299280924,0.3193773410659061
z,16,12,0.744140625,0.49034608057864526,8,0.17336351935270264,0.3397924979312972
z,14,9,0.7392578125,0.6721207178899135,8,0.23763055869796412,0.4657558950480097
z,8,14,0.7392578125,0.6043597634708708,8,0.21367344351327533,0.41879994928601966
z,8,3,0.736328125,0.7612020339905426,8,0.26912556004385274,0.5274860976859513
z,8,10,0.7236328125,0.4730630720433993,8,0.16725305308541394,0.3278159840474113
z,4,8,0.7236328125,0.393403898964441,8,0.13908928235149182,0.272614993408924
z,1,1,0.7158203125,0.4301425654412182,8,0.15207836245023182,0.29807359040245435
z,11,9,0.7099609375,0.422895539355798,8,0.1495161518060136,0.2930516575397867
z,5,4,0.69140625,0.6329158315106249,8,0.2237695381907426,0.4385882948538555
z,15,8,0.681640625,0.7206853553510095,8,0.2548007509352678,0.49940947183312484
z,6,14,0.6787109375,0.7260575422222026,8,0.25670010581847874,0.5031322074042183
z,9,10,0.677734375,0.5336041262586599,8,0.18865754807331056,0.3697687942236887
z,1,8,0.67578125,0.5658228984897634,8,0.2000486042363696,0.39209526430328445
z,2,7,0.6748046875,0.3696591749466119,8,0.13069425466628679,0.2561607391459221
z,3,11,0.673828125,0.5770191825214893,8,0.20400708841783163,0.39985389329895
z,3,2,0.6708984375,0.33772204325698685,8,0.11940277347159596,0.23402943600432807
z,5,9,0.6708984375,0.5917558957110752,8,0.20921730333221034,0.4100659145311322
z,16,6,0.6611328125,0.41037010793706846,8,0.14508774305927827,0.2843719763961854
z,23,6,0.646484375,0.47206325330697774,8,0.16689956378117343,0.3271231450110999
z,14,4,0.6259765625,0.6024740528066296,8,0.21300674411425494,0.41749321846393966
z,8,4,0.625,0.5207738061220603,8,0.18412134488661858,0.3608778359777724
z,13,6,0.6181640625,0.4147765385592272,8,0.14664565154615652,0.2874254770304668
z,7,11,0.6103515625,0.4902160328455374,8,0.17331754053572337,0.3397023794500178
z,8,12,0.603515625,0.38372817782008795,8,0.13566839833447075,0.26591006073556267
z,11,5,0.6015625,0.5971472359716417,8,0.2111234299611756,0.4138019227239042
z,6,1,0.59765625,0.728761313775201,8,0.25765603341843096,0.5050058255001246
z,4,7,0.591796875,0.373736478120781,8,0.13213579902799097,0.2589861660948623
z,3,14,0.5888671875,0.558032505571132,8,0.19729428440593366,0.38669679743562996
z,1,2,0.5888671875,0.5146252737315582,8,0.181947510412784,0.35661712040905663
z,14,5,0.5849609375,0.4437813883988085,8,0.15690041455058926,0.3075248125191549
z,16,1,0.5830078125,0.4761861346818923,8,0.16835722247028834,0.3299801560417651
z,15,12,0.578125,0.6295592633512976,8,0.22258281213725503,0.43626231178901986
z,11,15,0.578125,0.6028438926692146,8,0.2131375022516484,0.4177495044132309
z,12,11,0.5751953125,1.0150233236662571,8,0.3588649376134591,0.7033752777223798
z,2,11,0.5703125,0.4257838097891598,8,0.150537309610679,0.2950531268369308
z,16,10,0.5673828125,0.4892635209158716,8,0.1729807767134095,0.33904232235828263
z,7,13,0.56640625,0.3436231502964299,8,0.1214891298736449,0.238118694552344
z,8,1,0.56640625,0.577883636874983,8,0.20431271918552243,0.40045292960362394
z,7,10,0.5654296875,0.458784269639488,8,0.16220473408189973,0.31792127880052345
z,1,9,0.5634765625,0.4690184778018146,8,0.16582307307772765,0.32501322323234616
z,7,12,0.556640625,0.6579981764164782,8,0.23263748627623695,0.45596947310142444
z,18,12,0.55078125,0.3813634198972343,8,0.13483233015291354,0.26427136709971055
z,20,5,0.5498046875,0.4964638049647396,8,0.17552646155212145,0.34403186464215807
z,7,8,0.5498046875,0.4843018647984022,8,0.17122656637012035,0.33560407008543586
z,6,4,0.5498046875,0.35664572857598553,8,0.1260933065786481,0.24714288089415026
z,20,1,0.5498046875,0.40357847340218533,8,0.14268653764179998,0.2796656137779279
z,12,13,0.548828125,0.789794237267519,8,0.27923443045695984,0.5472994836956413
z,12,10,0.548828125,0.6993917508446561,8,0.24727232486409428,0.48465375673362476
z,1,14,0.5458984375,0.3753355432403535,8,0.1327011539227953,0.2600942616886788
z,8,0,0.5439453125,0.5315443233407552,8,0.1879292977677314,0.36834142362475353
z,4,6,0.5419921875,0.32397830208275386,8,0.1145436271800095,0.22450550927281862
z,24,2,0.537109375,0.43679690793718096,8,0.15443102780184836,0.30268481449162277
z,0,6,0.533203125,0.35956298460708325,8,0.12712471233967138,0.2491644361857559
z,8,11,0.5302734375,0.5558642180857685,8,0.19652767901370238,0.38519425086685666
z,6,9,0.5302734375,0.35636446459583215,8,0.1259938647448131,0.2469479748998337
z,17,5,0.525390625,0.6037074757188611,8,0.2134428249669098,0.4183479369351432
z,9,5,0.5244140625,0.4193342285608767,8,0.14825703829951276,0.290583795067045
z,1,3,0.5244140625,0.3657584630305358,8,0.12931514474263048,0.2534576836955557
z,1,11,0.5244140625,0.3517097285961452,8,0.12434816704980722,0.24372240741762216
z,2,1,0.5166015625,0.38524051209911503,8,0.1362030892465312,0.2669580549232012
z,13,7,0.5126953125,0.37093070901459074,8,0.13114380984727556,0.2570418673006601
z,10,11,0.509765625,0.5128229804905358,8,0.18131030352657718,0.35536819491209126
z,3,8,0.509765625,0.2839573930368214,8,0.10039409909219506,0.1967724342207023
z,13,0,0.509765625,0.35864031074161096,8,0.12679849786612185,0.24852505581759882
z,8,2,0.509765625,0.5337348334977203,8,0.18870376006085543,0.36985936971927663
z,18,3,0.5078125,0.5412014371153446,8,0.1913436030860825,0.3750334620487217
z,14,8,0.5068359375,0.30599927954495454,8,0.10818708280221767,0.21204668229234663
z,4,9,0.5029296875,0.30963917912178013,8,0.10947398163902337,0.2145690040124858
z,22,6,0.501953125,0.4211458232114883,8,0.14889753373061712,0.29183916611200955
z,1,6,0.498046875,0.35517121083598036,8,0.12557198583217935,0.2461210922310715
z,11,14,0.4970703125,0.4684883477328924,8,0.16563564379440476,0.3246458618370333
z,2,13,0.4951171875,0.44259110295717946,8,0.1564795850969275,0.3066999867899779
z,12,9,0.494140625,0.388784727649023,8,0.13745615867119457,0.2694140709955413
z,2,14,0.4892578125,0.3951730216071669,8,0.13971476166020289,0.27384093285399763
z,16,2,0.484375,0.5911597635761661,8,0.2090065387946716,0.4096528160375563
z,6,5,0.4833984375,0.4552068382123071,8,0.16093992107120497,0.3154422452995617
z,6,11,0.4833984375,0.3029350213534058,8,0.10710370392894239,0.2099232597007271
z,14,6,0.4736328125,0.2819602112996414,8,0.0996879887173841,0.19538845788607284
z,15,11,0.4736328125,0.3697299304498137,8,0.13071927051434692,0.25620977020811997
z,11,1,0.4697265625,0.3152346170228315,8,0.1114522676807942,0.21844644465435664
z,4,15,0.4677734375,0.30442804601104456,8,0.10763156785888994,0.21095787300342428
z,20,9,0.466796875,0.46691885640974296,8,0.16508074481559853,0.3235582598385731
z,15,5,0.466796875,0.2522827560629074,8,0.0891954237942567,0.17482303063674312
z,11,4,0.4658203125,0.49254942581654665,8,0.17414251953221022,0.341319338283132
z,18,14,0.4658203125,0.41453471851505114,8,0.14656015524962465,0.2872579042892643
z,18,13,0.4619140625,0.39974700556355797,8,0.14133190919650418,0.2770105420251482
z,10,7,0.4609375,0.2952847445384587,8,0.10439892262204074,0.20462188833919986
z,17,12,0.4560546875,0.3418152099674135,8,0.12084992644033081,0.2368658558230484
z,6,12,0.4560546875,0.3387917960468323,8,0.11978098819754243,0.23477073686718317
z,13,2,0.455078125,0.3766182994372182,8,0.13315467672550133,0.2609831663819826
z,4,3,0.4541015625,0.3674471322782792,8,0.12991217948076075,0.25462787178229107
z,11,8,0.453125,0.3621303534048794,8,0.12803241428303558,0.2509435319947497
z,1,13,0.4521484375,0.315676862672376,8,0.11160862512966578,0.21875290525414492
z,6,10,0.44921875,0.33058706405369653,8,0.11688017738246018,0.22908514766962193
z,7,5,0.447265625,0.38761676488177177,8,0.1370432214747462,0.26860471409050257
z,13,12,0.4453125,0.4306705475600976,8,0.15226503231853425,0.29843946334432714
z,7,15,0.4443359375,0.3171373965309986,8,0.11212500182745808,0.21976500358181783
z,12,5,0.4423828125,0.40212833388963365,8,0.14217383590030405,0.27866071836459594
z,17,15,0.439453125,0.2421244877704959,8,0.08560393359691847,0.1677837098499602
z,3,9,0.435546875,0.3300261146153816,8,0.11668185180659255,0.2286964295409214
z,16,4,0.4326171875,0.5190789602807442,8,0.18352212639288837,0.3597033677300612
z,10,4,0.431640625,0.3695603894053186,8,0.13065932870322094,0.25609228425831304
z,19,0,0.4296875,0.6447223066395108,8,0.22794375750351537,0.4467697647068901
z,5,7,0.4296875,0.3545384952905074,8,0.12534828710579632,0.2456826427273608
z,4,10,0.42578125,0.42015605492610886,8,0.14854759779741955,0.2911532916829423
z,4,14,0.423828125,0.3099716356371234,8,0.10959152276724782,0.2147993846238057
z,12,8,0.421875,0.42191633395395206,8,0.14916995041610373,0.2923731028155633
z,14,15,0.4208984375,0.27958452501287356,8,0.0988480567757114,0.19374219128039435
z,13,13,0.4208984375,0.3358580029484652,8,0.1187437357003156,0.23273772197261858
z,7,9,0.4140625,0.3550300226238419,8,0.125522068261066,0.24602325379168932
z,9,1,0.4111328125,0.2810309631944415,8,0.0993594498990883,0.19474452180221308
z,1,0,0.4111328125,0.28065840247735035,8,0.09922772979435887,0.1944863503969434
z,3,4,0.4091796875,0.48448187005080395,8,0.17129020783743157,0.33572880736136584
z,1,7,0.408203125,0.5049584978415659,8,0.1785297890207719,0.34991838648071294
z,8,5,0.40234375,0.4676139507324849,8,0.1653264977701861,0.32403993562956473
