component,layer,head,abs_delta,std,n,sem,ci95
z,21,6,1.212890625,0.49668877771546455,8,0.17560600143093136,0.34418776280462543
z,23,1,0.8798828125,0.5099959497798514,8,0.18031079723350343,0.35340916257766675
z,25,7,0.8154296875,0.4206317971185842,8,0.14871579806261748,0.29148296420273023
z,25,6,0.7802734375,0.7628004281814589,8,0.2696906777295558,0.5285937283499293
z,15,3,0.7421875,0.42282465865212465,8,0.14949109169290226,0.29300253971808843
z,13,2,0.7392578125,0.6785247327756603,8,0.2398947198742297,0.4701936509534902
z,11,6,0.669921875,0.5546599905150227,8,0.19610192027301931,0.3843597637351179
z,19,4,0.623046875,0.5489715869627596,8,0.1940907659100539,0.3804179011837056
z,19,5,0.607421875,0.4752846230789166,8,0.1680384899863971,0.3293554403733383
z,24,1,0.505859375,0.3311338976956678,8,0.11707351227066959,0.22946408405051238
z,23,0,0.474609375,0.29230952618069456,8,0.10334702408389788,0.20256016720443984
z,17,6,0.455078125,0.387121566001998,8,0.1368681422317842,0.268261558774297
z,17,4,0.412109375,0.2767418329990904,8,0.09784301337582593,0.19177230621661884
z,16,1,0.37890625,0.1238084953740482,8,0.04377291332374639,0.08579491011454292
z,15,2,0.369140625,0.25235186989368497,8,0.089219859223465,0.17487092407799137
z,10,1,0.361328125,0.20769876385452185,8,0.07343260218279789,0.14392790027828387
z,8,5,0.341796875,0.1342652947110283,8,0.0474699501840892,0.09304110236081482
z,8,3,0.330078125,0.20870386506342117,8,0.07378795912309365,0.14462439988126355
z,18,6,0.30078125,0.28613685965872543,8,0.1011646569060541,0.19828272753586604
z,16,7,0.30078125,0.32073415191612686,8,0.1133966468890048,0.2222574279024494
z,7,0,0.271484375,0.20354309649726868,8,0.07196335189846324,0.14104816972098796
z,11,5,0.26953125,0.22077348554489704,8,0.07805521436749345,0.15298822016028715
z,22,3,0.25,0.3731352445351226,8,0.1319232308552429,0.25856953247627606
z,3,6,0.248046875,0.11342547776710678,8,0.04010196224422259,0.07859984599867628
z,7,3,0.240234375,0.1933495104806966,8,0.068359375,0.133984375
z,3,5,0.234375,0.059644594713782986,8,0.021087548691619627,0.04133159543557447
z,22,7,0.23046875,0.1371723978833622,8,0.04849776636747231,0.09505562208024572
z,17,3,0.23046875,0.14411589690617557,8,0.05095266398956906,0.09986722141955535
z,11,1,0.216796875,0.1989504934101069,8,0.07033962150534806,0.13786565815048218
z,21,3,0.2109375,0.25305058429943555,8,0.08946689207067449,0.17535510845852198
z,7,2,0.20703125,0.14216664878509908,8,0.050263500707254896,0.0985164613862196
z,8,4,0.2041015625,0.22279571525012987,8,0.07877018053633696,0.15438955385122044
z,24,0,0.201171875,0.17765003640660437,8,0.0628087727105735,0.12310519451272406
z,14,4,0.201171875,0.10999109009166866,8,0.03888772283695969,0.07621993676044099
z,20,2,0.1962890625,0.16352684131980064,8,0.05781546920162377,0.11331831963518259
z,15,6,0.1953125,0.14465939058946117,8,0.05114481802406071,0.100243843327159
z,6,7,0.193359375,0.24477484586331721,8,0.08654097668692176,0.16962031430636665
z,14,7,0.189453125,0.20482419440544442,8,0.07241628840758073,0.14193592527885823
z,11,4,0.189453125,0.10345506567510016,8,0.03657688924348147,0.07169070291722368
z,5,3,0.185546875,0.13734708928575026,8,0.048559529105094104,0.09517667704598444
z,19,6,0.1796875,0.11481983169296148,8,0.04059494080239556,0.0795660839726953
z,12,6,0.1796875,0.19533482015320697,8,0.06906128796609366,0.1353601244135436
