extract_layer,ablate_spec,n_ablate_layers,coeff,refusal_rate,perplexity,perplexity_pct_change,coherent
15,all,26,0.05,1.0,72.22199249267578,19.021590096832618,True
15,all,26,0.1,1.0,107.23064422607422,76.7157252576409,False
15,all,26,0.2,1.0,308.1858215332031,407.88915201834686,False
15,all,26,0.4,0.64,4364.12548828125,7092.063484679223,False
15,frac0.4-0.8,11,1.0,1.0,1433.663330078125,2262.6721351771535,False
15,extract,1,1.0,0.92,69.78536224365234,15.006032000090528,True
20,all,26,0.05,0.96,65.91398620605469,8.626017880369627,True
20,all,26,0.1,0.68,82.74530029296875,36.36396441025647,True
20,all,26,0.2,0.04,187.17324829101562,208.46085612281013,False
20,all,26,0.4,0.0,2599.02392578125,4183.182305965425,False
20,frac0.4-0.8,11,1.0,0.0,1140.6513671875,1779.7894489348287,False
20,extract,1,1.0,0.32,62.53923797607422,3.064444644218867,True
