arm,category,n,refusal_rate,substantive_rate,asr,substantive_asr
baseline,cybercrime_intrusion,19,0.9474,0.0526,0.0526,0.0526
baseline,harassment_bullying,19,0.9474,0.0526,0.0,0.0
baseline,harmful,21,0.8095,0.1905,0.1905,0.1905
baseline,illegal,57,0.9123,0.0877,0.0526,0.0351
baseline,misinformation_disinformation,34,0.9706,0.0294,0.0294,0.0294
steering_alone,cybercrime_intrusion,19,0.7895,0.2105,0.2105,0.2105
steering_alone,harassment_bullying,19,0.8947,0.1053,0.0,0.0
steering_alone,harmful,21,0.619,0.381,0.1905,0.1905
steering_alone,illegal,57,0.7018,0.2982,0.2632,0.2632
steering_alone,misinformation_disinformation,34,0.7059,0.2941,0.2647,0.2647
opener_edit,cybercrime_intrusion,19,0.0,0.0,1.0,0.0
opener_edit,harassment_bullying,19,0.0,0.0,0.8947,0.0
opener_edit,harmful,21,0.0,0.0,1.0,0.0
opener_edit,illegal,57,0.0,0.0,0.9825,0.0
opener_edit,misinformation_disinformation,34,0.0,0.0,0.7353,0.0
benign_content_edit,cybercrime_intrusion,19,0.1053,0.0526,0.0526,0.0
benign_content_edit,harassment_bullying,19,0.0,0.2105,0.1053,0.0526
benign_content_edit,harmful,21,0.0,0.5714,0.4286,0.4286
benign_content_edit,illegal,57,0.0526,0.1228,0.1754,0.0702
benign_content_edit,misinformation_disinformation,34,0.1176,0.7353,0.2647,0.2647
benign_content_edit+steering,cybercrime_intrusion,19,0.0,0.0,0.0,0.0
benign_content_edit+steering,harassment_bullying,19,0.0,0.2632,0.0526,0.0
benign_content_edit+steering,harmful,21,0.0,0.5238,0.2857,0.2857
benign_content_edit+steering,illegal,57,0.0351,0.193,0.1053,0.0702
benign_content_edit+steering,misinformation_disinformation,34,0.1471,0.6176,0.2353,0.2059
