component,layer,head,abs_delta,std,n,sem,ci95
z,14,3,1.9423828125,2.3184833665618556,8,0.819707655282052,1.606627004352822
z,14,5,1.66796875,1.7045988053068593,8,0.6026666872174837,1.181226706946268
z,9,13,1.3779296875,1.0616046113948026,8,0.37533390982808723,0.735654463263051
z,24,11,1.32421875,1.3651675128604706,8,0.482659602899606,0.9460128216832278
z,27,11,1.0498046875,0.3157459076011163,8,0.1116330361983252,0.21880075094871737
z,24,22,1.0,0.9238590936934051,8,0.32663351500573234,0.6402016894112353
z,0,18,0.94140625,0.47633374193453604,8,0.1684094095149367,0.3300824426492759
z,11,3,0.787109375,0.7776563553955266,8,0.2749430411664963,0.5388883606863327
z,12,21,0.7099609375,0.8198440148196501,8,0.28985863119708943,0.5681229171462953
z,0,20,0.6171875,0.44649553069271747,8,0.1578600087611534,0.30940561717186066
z,14,4,0.5947265625,0.4327395160711941,8,0.15299652315066314,0.2998731853752998
z,11,4,0.5654296875,0.13633955705751136,8,0.04820331266966824,0.09447849283254975
z,0,2,0.5546875,0.5476716136779151,8,0.19363115594751643,0.37951706565713217
z,13,23,0.5390625,0.47193856005235013,8,0.1668554780582157,0.3270367369941028
z,8,4,0.5224609375,0.2654751908167204,8,0.09385965383164782,0.18396492151002972
z,6,23,0.5126953125,0.6190275112142165,8,0.21885927546030204,0.428964179902192
z,13,9,0.4873046875,0.3108757313692284,8,0.10991116887875446,0.21542589100235873
z,11,16,0.4794921875,0.40017211480864595,8,0.1414822080114776,0.2773051277024961
z,16,16,0.4716796875,0.3971758188367444,8,0.14042285741139082,0.27522880052632603
z,11,17,0.46875,0.3108213844569165,8,0.1098919543436383,0.21538823051353106
z,11,18,0.439453125,0.5379331142765501,8,0.1901880764648733,0.37276862987115167
z,9,1,0.4375,0.3899771413287304,8,0.13787774057064495,0.2702403715184641
z,23,2,0.431640625,0.2511049104662588,8,0.08877899248996624,0.17400682528033382
z,11,23,0.421875,0.24478375113848666,8,0.08654412517715208,0.16962648534721808
z,5,14,0.416015625,0.3444531667672431,8,0.12178258501114915,0.23869386662185232
z,14,19,0.4130859375,0.276794995974127,8,0.09786180932590414,0.19180914627877213
z,9,20,0.40234375,0.27596093271318056,8,0.09756692343202726,0.19123116992677341
z,13,10,0.4013671875,0.2204548322844545,8,0.0779425534268404,0.15276740471660716
z,12,23,0.400390625,0.34354067287209344,8,0.12145996970062334,0.23806154061322174
z,14,18,0.3994140625,0.3901657456543709,8,0.1379444222694557,0.2703710676481331
z,21,5,0.3935546875,0.14148654118500295,8,0.05002304635927266,0.09804517086417441
z,26,18,0.388671875,0.3094085366923883,8,0.10939243722609723,0.21440917696315057
z,6,3,0.3876953125,0.4086454423904609,8,0.14447798170763576,0.2831768441469661
z,22,8,0.3818359375,0.1690843610024377,8,0.05978034912870896,0.11716948429226955
z,8,18,0.380859375,0.4423312250648949,8,0.15638770438697006,0.3065199005984613
z,15,7,0.3779296875,0.4589742827537864,8,0.1622719138627171,0.3180529511709255
z,11,10,0.36328125,0.20282429665229953,8,0.07170921777611648,0.14055006684118831
z,12,9,0.36328125,0.2069101313502003,8,0.07315377848696294,0.14338140583444736
z,6,17,0.3583984375,0.15105409367494751,8,0.05340568698177168,0.1046751464842725
z,13,1,0.3544921875,0.1493415549733318,8,0.052800213117293236,0.10348841770989474
z,16,6,0.341796875,0.5713855182232639,8,0.20201528730372975,0.39594996311531033
z,15,5,0.3388671875,0.2994757294704409,8,0.10588065955466837,0.20752609272715
z,9,12,0.3369140625,0.29259835216414687,8,0.10344913948963888,0.2027603133996922
z,24,10,0.33203125,0.21998218018333732,8,0.07777544567391938,0.15243987352088198
z,21,20,0.3310546875,0.24747389706664555,8,0.08749523539124335,0.17149066136683697
z,22,17,0.330078125,0.19877511002094625,8,0.07027761411345657,0.13774412366237487
z,13,7,0.3291015625,0.2872754090494542,8,0.10156719490350416,0.19907170201086816
z,19,2,0.3291015625,0.3754284545473571,8,0.13273400303041086,0.26015864593960525
z,15,22,0.3271484375,0.23668642592248465,8,0.08368128839229817,0.16401532524890441
z,20,20,0.326171875,0.3560538992698547,8,0.1258840633208131,0.24673276410879366
z,12,5,0.3203125,0.22581079113465138,8,0.07983617083820556,0.15647889484288288
