extract_layer,ablate_spec,n_ablate_layers,coeff,refusal_rate,perplexity,perplexity_pct_change,coherent
16,all,28,0.05,0.88,18.53502655029297,0.12179226367216296,True
16,all,28,0.1,0.88,18.792173385620117,1.510838130859147,True
16,all,28,0.2,0.88,19.129520416259766,3.33310632296679,True
16,all,28,0.4,0.88,19.455537796020508,5.094174443488894,True
16,frac0.4-0.8,12,1.0,0.84,19.88445472717285,7.411081395992178,True
16,extract,1,1.0,0.76,18.8958797454834,2.0710351497562662,True
22,all,28,0.05,0.92,19.088443756103516,3.111220002820973,True
22,all,28,0.1,0.92,19.972454071044922,7.886432861100256,True
22,all,28,0.2,0.92,21.082504272460938,13.882659268807508,True
22,all,28,0.4,0.96,22.204448699951172,19.94313544863722,True
22,frac0.4-0.8,12,1.0,0.84,21.698772430419922,17.21159285962074,True
22,extract,1,1.0,0.88,19.384618759155273,4.711086722665075,True
