component,layer,head,abs_delta,std,n,sem,ci95
z,20,6,2.0029296875,1.1192494512813658,8,0.395714438420188,0.7756002993035684
z,12,8,1.126953125,0.7609614481784469,8,0.2690405001142577,0.527319380223945
z,12,10,0.837890625,0.26317641114221546,8,0.09304691248349971,0.18237194846765942
z,21,15,0.806640625,0.4436696277189457,8,0.15686090118328874,0.3074473663192459
z,14,14,0.59375,0.4341388746703064,8,0.15349127112803515,0.3008428914109489
z,0,10,0.53515625,0.5855132392595528,8,0.20701019097746562,0.4057399743158326
z,9,1,0.416015625,0.27812468649661304,8,0.09833192591856883,0.1927305748003949
z,16,14,0.39453125,0.2175909985131016,8,0.07693003528688305,0.15078286916229078
z,13,4,0.326171875,0.26952720623260573,8,0.0952922576206703,0.1867728249365138
z,7,1,0.298828125,0.21722001619387624,8,0.07679887323007077,0.1505257915309387
z,13,2,0.294921875,0.0927917921222985,8,0.03280685272406486,0.06430143133916713
z,8,0,0.265625,0.15422798812611338,8,0.05452782812636655,0.10687454312767844
z,16,8,0.26171875,0.07956266482420364,8,0.02812964991323339,0.055134113829937444
z,13,13,0.2578125,0.21128856368212914,8,0.0747017880833996,0.1464155046434632
z,10,10,0.25390625,0.22281772809935285,8,0.07877796325381636,0.15440480797748007
z,20,12,0.251953125,0.25283513771594185,8,0.08939072020058854,0.17520581159315354
z,22,2,0.25,0.2013140426050801,8,0.07117526233706484,0.13950351418064708
z,14,11,0.248046875,0.20242625351924903,8,0.0715684882768241,0.14027423702257524
z,21,13,0.248046875,0.13810679320049757,8,0.048828125,0.095703125
z,16,13,0.24609375,0.17927456434096517,8,0.06338313006988024,0.12423093493696526
z,14,5,0.240234375,0.07278035196188892,8,0.02573174020469765,0.05043421080120739
z,19,11,0.23828125,0.3539231261744158,8,0.12513072126833574,0.24525621368593806
z,15,11,0.232421875,0.16460634775421676,8,0.058197132361678845,0.11406637942889053
z,15,2,0.232421875,0.19754306647877898,8,0.06984202094176478,0.13689036104585897
z,10,15,0.232421875,0.2426999905959369,8,0.08580740457214914,0.16818251296141232
z,14,15,0.2265625,0.17854352460554662,8,0.0631246684927646,0.12372435024581861
z,17,2,0.220703125,0.11555786540385915,8,0.040855875123255565,0.08007751524158091
z,12,1,0.220703125,0.15387423751551832,8,0.054402758398566224,0.10662940646118979
z,14,6,0.21875,0.16173411547086428,8,0.057181644899328116,0.1120760240026831
z,22,9,0.21875,0.1320553523013307,8,0.04668861755212474,0.0915096904021645
z,22,6,0.216796875,0.21333173297100155,8,0.07542415751303648,0.1478313487255515
z,18,2,0.212890625,0.11172148160996165,8,0.03949950862530602,0.0774190369055998
z,1,14,0.205078125,0.13374475853381268,8,0.04728591285370815,0.09268038919326797
z,18,3,0.203125,0.13152607020228782,8,0.04650148807142781,0.0911429166199985
z,9,7,0.203125,0.13046106425180765,8,0.04612495160663353,0.09040490514900172
z,18,11,0.201171875,0.2632426648813586,8,0.09307033671761325,0.18241785996652196
z,8,12,0.197265625,0.08914958931231018,8,0.031519139571365144,0.06177751355987568
z,12,6,0.1953125,0.08995286464111556,8,0.03180314028744421,0.06233415496339065
z,7,2,0.1953125,0.2004459314343183,8,0.0708683386892301,0.138901943830891
z,12,12,0.1953125,0.17014141964428128,8,0.06015407579558868,0.11790198855935381
z,2,7,0.193359375,0.18823099692432435,8,0.06654970717734696,0.13043742606760003
z,16,7,0.19140625,0.15303614404423738,8,0.05410644761016076,0.10604863731591509
z,20,5,0.1796875,0.0944911182523068,8,0.03340765523905304,0.06547900426854396
z,15,8,0.177734375,0.14245767600633177,8,0.05036639436807666,0.09871813296143025
z,22,13,0.177734375,0.24690290020916408,8,0.08729335751626267,0.17109498073187485
z,15,15,0.17578125,0.1338262257756571,8,0.04731471587328453,0.09273684311163767
