component,layer,head,abs_delta,std,n,sem,ci95
z,0,9,6.79736328125,3.4609982393870986,8,1.2236476623726595,2.3983494182504126
z,0,3,4.23291015625,2.0185233365563344,8,0.7136557696311399,1.3987653084770342
z,16,1,2.3134765625,1.6195631355184166,8,0.5726020378424098,1.1222999941711231
z,12,11,1.7275390625,0.9471548743246962,8,0.3348698172344424,0.6563448417795071
z,0,4,1.0888671875,1.241994015001997,8,0.43911119510050933,0.8606579423969982
z,8,1,0.9150390625,0.5547808255871629,8,0.19614464192247708,0.38444349816805506
z,0,11,0.828125,0.7370652660878915,8,0.2605919239139075,0.5107601708712587
z,0,10,0.8251953125,0.35130043555907464,8,0.1242034601088047,0.2434387818132572
z,16,5,0.74609375,0.7215952031969072,8,0.25512243072610885,0.5000399642231733
z,4,6,0.6240234375,0.4916014350186423,8,0.17380735417135992,0.34066241417586546
z,0,7,0.619140625,0.37188883340116863,8,0.1314825579727603,0.25770581362661016
z,5,6,0.6142578125,0.39825007627888587,8,0.14080266477243,0.2759732229539628
z,10,3,0.59765625,0.44493052226483315,8,0.15730669472516784,0.30832112166132897
z,16,4,0.5947265625,0.5215005724143166,8,0.1843782955734147,0.3613814593238928
z,12,0,0.5732421875,0.4130597169046537,8,0.1460386634291381,0.2862357803211107
z,15,11,0.568359375,0.4650289434516607,8,0.16441255968134239,0.32224861697543106
z,23,9,0.5087890625,0.32439518918986954,8,0.11469101903022487,0.22479439729924075
z,7,8,0.505859375,0.3292590415798078,8,0.11641065053403274,0.22816487504670416
z,5,9,0.5048828125,0.4435553816654158,8,0.15682050910370135,0.30736819784325464
z,15,4,0.501953125,0.3800981116735097,8,0.13438497614027015,0.2633945532349295
z,0,0,0.4921875,0.31308538921115436,8,0.11069240090081839,0.21695710576560404
z,18,1,0.4912109375,0.38695682832044315,8,0.136809898665912,0.2681474013851875
z,12,1,0.4873046875,0.34569603125288484,8,0.12222200396409576,0.23955512776962767
z,9,4,0.4794921875,0.26486687701910305,8,0.09364458242595554,0.18354338155487285
z,13,6,0.4677734375,0.5597408380079275,8,0.19789827113122316,0.3878806114171974
z,10,10,0.466796875,0.3397378991557578,8,0.12011548615955388,0.2354263528727256
z,10,6,0.4638671875,0.39678046320270444,8,0.14028307808648585,0.27495483304951224
z,15,0,0.462890625,0.41335118315282376,8,0.14614171230942213,0.2864377561264674
z,9,11,0.4560546875,0.22830447547955676,8,0.08071782139341623,0.1582069299310958
z,5,8,0.4560546875,0.3570611042730779,8,0.12624016406472516,0.2474307215668613
z,13,9,0.4501953125,0.45686070726800754,8,0.16152465208344516,0.3165883180835525
z,8,6,0.4443359375,0.3106933686931351,8,0.10984669393630399,0.21529952011515582
z,13,1,0.4306640625,0.27773841700142926,8,0.09819535902886387,0.19246290369657318
z,14,7,0.427734375,0.4009734162317417,8,0.1417655108465003,0.2778604012591406
z,3,4,0.4189453125,0.28698692268438414,8,0.10146519957099372,0.1988717911591477
z,16,0,0.4189453125,0.3746728832748582,8,0.132466868245184,0.2596350617605606
z,1,3,0.39453125,0.2933591149299779,8,0.10371810974493556,0.20328749510007368
z,10,2,0.392578125,0.32598553140479697,8,0.11525328991251609,0.22589644822853153
z,10,5,0.388671875,0.24262812739483647,8,0.0857819970937412,0.16813271430373275
z,12,3,0.384765625,0.2754153595148543,8,0.09737403417794219,0.19085310698876667
z,0,8,0.3759765625,0.11107083756338229,8,0.03926947121656856,0.07696816358447438
z,10,9,0.3701171875,0.19475086660103128,8,0.06885482920777296,0.134955465247235
z,18,2,0.3662109375,0.16083872987704118,8,0.05686507828674359,0.11145555344201742
z,9,9,0.3603515625,0.16013242963101276,8,0.05661536343998338,0.11096611234236742
z,10,4,0.35546875,0.21501109554010728,8,0.07601790184337924,0.1489950876130233
z,9,8,0.3515625,0.17692460498250173,8,0.0625522939709391,0.12260249618304064
z,8,7,0.3505859375,0.16758222241494247,8,0.05924926293795903,0.1161285553583997
z,1,8,0.34765625,0.324652114633055,8,0.11478185589179277,0.22497243754791382
z,11,10,0.3408203125,0.18707809209485937,8,0.06614209376585825,0.12963850378108216
z,16,9,0.33984375,0.26490185177047854,8,0.0936569478678895,0.18356761782106343
z,8,0,0.3330078125,0.38352788249225833,8,0.1355975832421966,0.2657712631547053
z,1,11,0.3232421875,0.277597108245274,8,0.09814539883900465,0.1923649817244491
z,14,10,0.322265625,0.28414157167985193,8,0.10045921607591338,0.19690006350879022
z,13,7,0.322265625,0.2673509446827669,8,0.094522832970907,0.1852647526229777
z,14,1,0.3193359375,0.2873967903592818,8,0.10161010967714836,0.19915581496721077
z,7,6,0.318359375,0.2618145147289735,8,0.09256540938896118,0.18142820240236393
z,26,10,0.318359375,0.21629481562354888,8,0.0764717654314527,0.1498846602456473
z,2,7,0.31640625,0.271083618326523,8,0.09584253239363513,0.18785136349152487
z,11,6,0.31640625,0.2963164388278903,8,0.10476368163612501,0.205336816006805
z,11,8,0.298828125,0.26541976052011196,8,0.09384005626234032,0.18392651027418702
z,1,7,0.298828125,0.3361774994030843,8,0.11885669475512871,0.23295912172005226
z,8,5,0.2939453125,0.18786875475998388,8,0.06642163523192854,0.13018640505457993
z,9,6,0.29296875,0.26846564067532797,8,0.0949169375185577,0.1860371975363731
z,9,10,0.291015625,0.22936421916568012,8,0.08109249736680495,0.15894129483893768
z,6,4,0.2900390625,0.2805185646420161,8,0.09917828965354322,0.1943894477209447
z,25,5,0.2900390625,0.2484409218935499,8,0.08783713029758326,0.1721607753832632
z,10,11,0.2890625,0.24620444647545606,8,0.08704641683053767,0.17061097698785382
z,11,11,0.287109375,0.2345144674327532,8,0.08291338510402577,0.16251023480389049
z,5,1,0.2841796875,0.12066546525886515,8,0.04266168436978665,0.08361690136478184
z,18,4,0.275390625,0.24295134440411698,8,0.08589627156326973,0.16835669226400868
z,17,3,0.275390625,0.30952123843512047,8,0.10943228330936595,0.21448727528635728
z,17,5,0.2744140625,0.2516143989000172,8,0.08895912385318956,0.17435988275225153
z,11,5,0.26953125,0.14037676503151894,8,0.049630681237408825,0.09727613522532129
z,11,0,0.26953125,0.14693197982886017,8,0.05194829965507602,0.101818667323949
z,16,8,0.26953125,0.257998444849272,8,0.09121622494425186,0.17878380089073365
z,12,9,0.2666015625,0.2370913093994496,8,0.08382443631837432,0.16429589518401366
z,1,9,0.265625,0.2118655181190586,8,0.07490577228079384,0.14681531367035594
z,9,7,0.265625,0.2848235277576024,8,0.10070032395943775,0.19737263496049798
z,23,8,0.2626953125,0.19873946635804687,8,0.07026501217558533,0.13771942386414723
z,4,2,0.2607421875,0.2517702911507599,8,0.08901424008700685,0.17446791057053343
z,7,7,0.2607421875,0.21460264474404409,8,0.07587349267954058,0.14871204565189952
z,12,5,0.2587890625,0.15860048477079522,8,0.05607373914045152,0.10990452871528499
z,16,7,0.2578125,0.3167402062557398,8,0.11198457385892965,0.21948976476350213
z,2,5,0.25390625,0.15263679461856033,8,0.053965256266681166,0.10577190228269509
z,4,10,0.25390625,0.15428451295415233,8,0.05454781267097242,0.10691371283510594
z,8,11,0.25,0.21710960190896997,8,0.07675983588527223,0.15044927833513358
z,13,3,0.2470703125,0.46735166243540677,8,0.16523376485344118,0.3238581791127447
z,19,9,0.24609375,0.24166490275423588,8,0.08544144575615388,0.1674652336820616
z,6,3,0.240234375,0.15745904991315543,8,0.05567018097639163,0.10911355471372759
z,4,11,0.2373046875,0.13943804002544782,8,0.04929879182867769,0.09662563198420827
z,2,9,0.2373046875,0.25589238643365264,8,0.09047162085062213,0.17732437686721939
z,19,10,0.236328125,0.4347159103507181,8,0.15369528404933802,0.30124275673670253
z,5,7,0.236328125,0.31950164135435205,8,0.11296088860094729,0.2214033416578567
z,18,8,0.236328125,0.1415981950030614,8,0.05006252194521991,0.09812254301263101
z,26,11,0.2353515625,0.3388561311365297,8,0.11980373408663907,0.23481531880981257
z,0,6,0.232421875,0.2342912796901312,8,0.0828344763208829,0.16235557358893046
z,27,6,0.2236328125,0.17922288048702645,8,0.06336485706808127,0.1241951198534393
z,12,6,0.2216796875,0.24245511927629257,8,0.08572082948682984,0.16801282579418647
z,7,2,0.21875,0.20636157696244853,8,0.07295983522324849,0.14300127703756704
z,1,0,0.21484375,0.22615804415828325,8,0.07995894332210436,0.15671952891132454
z,6,5,0.21484375,0.11965410061775092,8,0.042304112971794566,0.08291606142471734
z,10,8,0.2099609375,0.19752927263146838,8,0.0698371440802788,0.13688080239734646
z,12,2,0.2099609375,0.14480623575104903,8,0.05119673562883232,0.10034560183251134
z,0,5,0.208984375,0.17099765933417876,8,0.06045680224111247,0.11849533239258044
z,17,8,0.208984375,0.2735411155721972,8,0.09671138887721686,0.18955432219934504
z,13,2,0.208984375,0.12272980335556816,8,0.04339153810320687,0.08504741468228545
z,15,1,0.20703125,0.15512991387405403,8,0.05484670703261434,0.10749954578392411
z,14,6,0.2060546875,0.08096807845906114,8,0.028626538669023274,0.05610801579128562
z,7,3,0.205078125,0.20753077372382803,8,0.07337320870250488,0.14381148905690957
z,13,8,0.205078125,0.16837704736134615,8,0.05953027599268817,0.11667934094566881
z,8,8,0.205078125,0.17155764125958822,8,0.06065478574951193,0.11888338006904338
z,21,11,0.2041015625,0.12600305559601024,8,0.044548807531082195,0.0873156627609211
z,7,1,0.203125,0.1887052040031147,8,0.06671736469789662,0.13076603480787738
z,16,10,0.201171875,0.14874556847390447,8,0.05258950006967289,0.10307542013655886
z,5,0,0.19921875,0.1330420809838,8,0.0470374788234074,0.0921934584938785
z,0,1,0.19921875,0.1484668673956776,8,0.05249096435850378,0.1028822901426674
z,7,4,0.1962890625,0.18466218837156162,8,0.06528794281313942,0.12796436791375326
z,2,1,0.1962890625,0.24182495545751942,8,0.08549803293207339,0.16757614454686384
z,13,10,0.1962890625,0.20621099722535194,8,0.07290659724664333,0.14289693060342093
z,8,9,0.1953125,0.16535945694153692,8,0.05846339666834283,0.11458825746995195
z,11,9,0.19140625,0.16027189857618301,8,0.05666467315843079,0.11106275939052435
z,8,4,0.1904296875,0.16525066672892028,8,0.058424933519808854,0.11451286969882535
z,17,0,0.189453125,0.2536614547966513,8,0.08968286740617851,0.17577842011610986
z,17,1,0.189453125,0.1592211924143243,8,0.056293192432388395,0.11033465716748125
z,10,7,0.1884765625,0.13833940590044613,8,0.04891036600876187,0.09586431737717327
z,8,10,0.1875,0.14764237226922935,8,0.05219946131102037,0.10231094416959993
z,6,2,0.1845703125,0.0981072176647779,8,0.034686139447054544,0.0679848333162269
z,1,10,0.18359375,0.16307633031475957,8,0.05765618950829192,0.11300613143625216
z,18,3,0.18359375,0.13408658832874695,8,0.047406767936712974,0.09291726515595743
z,8,3,0.18359375,0.15212180490247187,8,0.053783179906437426,0.10541503261661735
z,5,11,0.1826171875,0.15125598954160402,8,0.05347706794997485,0.10481505318195071
z,12,10,0.1806640625,0.161865471098122,8,0.057228086126718584,0.11216704880836842
z,27,10,0.1796875,0.1285760787849524,8,0.04545850860360781,0.08909867686307131
z,3,8,0.1787109375,0.17456486379371128,8,0.06171799947271963,0.12096727896653048
z,9,2,0.177734375,0.12650806258714725,8,0.04472735446507199,0.0876656147515411
z,1,2,0.177734375,0.20375717217328465,8,0.07203903907956223,0.14119651659594196
z,4,0,0.177734375,0.1682216223614275,8,0.05947532495698396,0.11657163691568856
z,2,0,0.177734375,0.13361430762880525,8,0.04723979149393682,0.09258999132811616
z,19,11,0.177734375,0.16971810185122313,8,0.060004410354554505,0.11760864429492683
z,2,4,0.1767578125,0.16514510474794528,8,0.058387611723517405,0.11443971897809412
z,8,2,0.17578125,0.14185965933424685,8,0.050154963546029725,0.09830372855021825
z,15,6,0.1748046875,0.14951660740555534,8,0.05286210349823747,0.10360972285654545
z,11,4,0.173828125,0.1607472219475014,8,0.05683272534798863,0.11139214168205772
z,13,4,0.1728515625,0.12213781615700633,8,0.04318223902196752,0.08463718848305635
z,19,7,0.1708984375,0.2062532763200273,8,0.07292154516391702,0.14292622852127737
z,7,11,0.1708984375,0.15909450434937752,8,0.05624840143747876,0.11024686681745836
z,5,5,0.169921875,0.1514756056135183,8,0.053554713956828925,0.1049672393553847
z,10,0,0.169921875,0.13504233690475156,8,0.047744676086314095,0.09357956512917562
z,18,7,0.169921875,0.12774265140836588,8,0.04516384752880239,0.08852114115645268
z,4,9,0.1689453125,0.14447468125590565,8,0.05107951341290794,0.10011584628929955
z,10,1,0.1669921875,0.12734529058007643,8,0.045023359260671705,0.08824578415091654
z,4,4,0.1650390625,0.14546707768142628,8,0.0514303785339634,0.10080354192656826
z,16,11,0.1650390625,0.1670611118986611,8,0.05906502254805394,0.11576744419418572
z,3,6,0.1640625,0.1233145296154744,8,0.043598270054965645,0.08545260930773266
z,7,9,0.1640625,0.11527456547924425,8,0.04075571347435315,0.07988119840973218
z,26,9,0.1640625,0.15154754160352266,8,0.05358014717000065,0.10501708845320126
z,14,8,0.1630859375,0.14249974912846022,8,0.050381269463058015,0.0987472881475937
z,9,3,0.162109375,0.13568647286082247,8,0.047972412537586,0.09402592857366857
z,6,11,0.162109375,0.11927091456121168,8,0.042168636242277055,0.08265052703486303
z,2,2,0.1591796875,0.16535616132002923,8,0.058462231490184674,0.11458597372076196
z,13,0,0.1572265625,0.16342016582995011,8,0.05777775372049392,0.11324439729216809
z,3,1,0.1572265625,0.10893065832493017,8,0.03851280359033648,0.0754850950370595
z,27,0,0.15625,0.155578916010952,8,0.055005453260498244,0.10781068839057656
z,18,5,0.1533203125,0.1457963753924183,8,0.05154680285619923,0.1010317335981505
z,17,10,0.15234375,0.19173054706689655,8,0.06778698499580453,0.13286249059177688
z,27,9,0.15234375,0.16890700368207692,8,0.059717643846748866,0.11704658193962778
z,3,2,0.15234375,0.1341516000117564,8,0.04742975303766914,0.0929623159538315
z,12,8,0.1484375,0.15808079209808237,8,0.055890000033947417,0.10954440006653693
z,18,11,0.1484375,0.14887740267342695,8,0.05263611049791021,0.10316677657590402
z,26,8,0.1474609375,0.132677025179956,8,0.0469084121062026,0.09194048772815709
z,6,6,0.146484375,0.05244942025673741,8,0.018543670366421044,0.036345593918185246
z,12,4,0.1455078125,0.0943006059520516,8,0.03334029896934809,0.06534698597992226
z,3,7,0.1455078125,0.06332291672786486,8,0.022388031911392152,0.043880542546328616
z,20,3,0.1435546875,0.14869793295492362,8,0.05257265837042454,0.1030424104060321
z,17,9,0.1416015625,0.14359691358437973,8,0.05076917567648678,0.0995075843259141
z,16,6,0.1396484375,0.11844102632094937,8,0.04187522644111883,0.0820754438245929
z,5,4,0.1396484375,0.15311802439468467,8,0.054135396685684366,0.10610537750394136
z,4,5,0.13671875,0.14952025215191228,8,0.05286339211066982,0.10361224853691285
z,15,9,0.134765625,0.0700951501754936,8,0.02478237800869047,0.04857346089703332
z,6,10,0.1337890625,0.1346341394028481,8,0.04760035647548442,0.09329669869194945
z,4,8,0.1337890625,0.07716344649436281,8,0.027281398137944633,0.05347154035037148
z,17,7,0.1337890625,0.18677489536173858,8,0.0660348975328466,0.12942839916437932
z,7,5,0.130859375,0.15916642076068638,8,0.056273827728536306,0.11029670234793115
z,14,0,0.1298828125,0.16781619421811672,8,0.05933198446227451,0.11629068954605803
z,5,10,0.1298828125,0.11869840720165466,8,0.041966224324166065,0.08225379967536549
z,24,2,0.1298828125,0.15160147119549464,8,0.05359921416009565,0.10505445975378748
z,7,0,0.1279296875,0.15972352800697692,8,0.05647079488438641,0.11068275797339736
z,2,11,0.126953125,0.11868463308995157,8,0.04196135444027103,0.08224425470293122
z,2,8,0.126953125,0.08606423285162824,8,0.030428301333502182,0.05963947061366428
z,15,3,0.1259765625,0.07613967382544751,8,0.026919439839652903,0.052762102085719687
z,21,9,0.125,0.16572815184059708,8,0.05859375,0.11484375
z,26,7,0.1240234375,0.12717400085216135,8,0.04496279919659353,0.08812708642532333
z,23,7,0.1240234375,0.12819830628294965,8,0.045324945854651834,0.08883689387511759
z,20,10,0.1240234375,0.13247972358964366,8,0.04683865545997823,0.09180376470155732
z,21,6,0.1220703125,0.10013048650419594,8,0.03540147300531251,0.06938688709041252
z,24,0,0.1220703125,0.11087440830440845,8,0.039200022986046634,0.0768320450526514
z,1,5,0.12109375,0.07257039378128954,8,0.025657508778063946,0.050288717205005336
z,3,9,0.1201171875,0.10752075400522765,8,0.03801432713769355,0.07450808118987937
z,1,4,0.1201171875,0.0764254307833728,8,0.02702047018101301,0.0529601215547855
z,0,2,0.1201171875,0.10937001742477477,8,0.03866814048977455,0.07578955535995811
z,2,3,0.1201171875,0.0885792713824086,8,0.0313175017335323,0.06138230339772331
z,1,6,0.1201171875,0.05554768340028586,8,0.019639071805772776,0.03849258073931464
z,18,6,0.1181640625,0.05882580536358263,8,0.020798062940674628,0.040764203363722266
z,6,0,0.1181640625,0.12510023185671032,8,0.04422961113694461,0.08669003782841143
z,19,2,0.1171875,0.12045301395742894,8,0.04258657149182793,0.08346968012398275
z,15,2,0.115234375,0.09031562803530026,8,0.031931396515441336,0.06258553717026502
z,13,11,0.1142578125,0.09613207895574025,8,0.03398782245958226,0.06661613202078123
z,14,9,0.1142578125,0.13343064526346304,8,0.0471748570419457,0.09246271980221357
z,17,11,0.1123046875,0.09531227129656403,8,0.033697976682046174,0.0660480342968105
z,19,1,0.1123046875,0.24119314521930604,8,0.0852746542801415,0.16713832238907733
z,19,8,0.109375,0.09467549134128793,8,0.033472840969796476,0.06560676830080109
z,3,3,0.109375,0.08868379698803094,8,0.031354457115803896,0.06145473594697563
z,2,10,0.109375,0.0560263410625497,8,0.019808302845199605,0.038824273576591226
z,19,0,0.1064453125,0.08688976260425682,8,0.03072017017657964,0.0602115335460961
z,6,9,0.1064453125,0.08526906231618388,8,0.030147166094595956,0.05908844554540807
z,6,8,0.1044921875,0.06079388697589908,8,0.021493884867673386,0.042128014340639834
z,19,5,0.103515625,0.0818050665754311,8,0.028922458655452152,0.05668801896468622
z,3,0,0.103515625,0.06794757983115156,8,0.024023097231910776,0.04708527057454512
z,15,10,0.1025390625,0.12192346077514529,8,0.04310645294991863,0.08448864778184052
z,4,3,0.1025390625,0.1771923765942053,8,0.06264696553216152,0.12278805244303657
z,25,2,0.1025390625,0.1300217226764264,8,0.0459696209030289,0.09010045696993664
z,15,7,0.1005859375,0.1141677520138169,8,0.04036439582089702,0.07911421580895817
z,12,7,0.1005859375,0.07092214621049393,8,0.02507476526087203,0.04914653991130918
z,4,7,0.1005859375,0.055938731406038916,8,0.019777328154091507,0.03876356318201935
z,18,10,0.1005859375,0.07761412203442172,8,0.027440736003189917,0.05378384256625224
z,16,2,0.0986328125,0.0929033101770474,8,0.0328462803104337,0.06437870940845004
z,3,5,0.0986328125,0.1027096529529227,8,0.03631334604816427,0.07117415825440196
z,7,10,0.0986328125,0.09631331079604488,8,0.03405189759120542,0.06674171927876263
z,23,6,0.09765625,0.10833369104794421,8,0.038301743785484864,0.07507141781955033
z,18,0,0.095703125,0.09915149928401415,8,0.03505534875426976,0.06870848355836873
z,16,3,0.0947265625,0.08623502676383779,8,0.030488686100256557,0.059757824756502854
z,20,1,0.09375,0.06785126854272618,8,0.023989046049335574,0.04701853025669772
z,17,4,0.09375,0.12444071307827102,8,0.04399643603666746,0.08623301463186822
z,20,5,0.09375,0.08341467384399462,8,0.029491540762776363,0.05780341989504167
z,21,4,0.09375,0.09766741007660348,8,0.03453064398304683,0.0676800622067718
z,27,11,0.0927734375,0.11583576802292038,8,0.040954128536479416,0.08027009193149966
z,6,1,0.091796875,0.06883998777898434,8,0.024338611087659442,0.047703677731812506
z,11,3,0.091796875,0.10201222544687966,8,0.03606676818870974,0.07069086564987109
z,17,2,0.0908203125,0.06535572678805995,8,0.023106738800606243,0.045289208049188234
z,21,2,0.0888671875,0.125274357115817,8,0.04429117371268971,0.08681070047687182
z,15,8,0.0869140625,0.07544944157392396,8,0.02667540588682992,0.05228379553818664
z,20,2,0.0869140625,0.08989832387537978,8,0.03178385721479277,0.06229636014099383
z,22,0,0.0849609375,0.06739191029420875,8,0.023826638383075253,0.046700211230827494
z,21,10,0.0849609375,0.09797381402097687,8,0.03463897413647119,0.06789238930748354
