arm,category,n,refusal_rate,substantive_rate,asr,substantive_asr
baseline,cybercrime_intrusion,19,1.0,0.0,0.0,0.0
baseline,harassment_bullying,19,1.0,0.0,0.0,0.0
baseline,harmful,21,0.8571,0.1429,0.0476,0.0476
baseline,illegal,57,0.9825,0.0175,0.0,0.0
baseline,misinformation_disinformation,34,0.9118,0.0882,0.0,0.0
steering_alone,cybercrime_intrusion,19,0.5789,0.4211,0.4211,0.3684
steering_alone,harassment_bullying,19,0.7895,0.2105,0.0526,0.0526
steering_alone,harmful,21,0.6667,0.3333,0.2857,0.2857
steering_alone,illegal,57,0.6667,0.3333,0.2281,0.2105
steering_alone,misinformation_disinformation,34,0.5588,0.4412,0.2353,0.2353
opener_edit,cybercrime_intrusion,19,0.0,0.0,1.0,0.0
opener_edit,harassment_bullying,19,0.0,0.0,0.7368,0.0
opener_edit,harmful,21,0.0,0.0,0.9524,0.0
opener_edit,illegal,57,0.0,0.0,0.9649,0.0
opener_edit,misinformation_disinformation,34,0.0,0.0,0.7353,0.0
benign_content_edit,cybercrime_intrusion,19,0.0,0.3684,0.2105,0.1053
benign_content_edit,harassment_bullying,19,0.0526,0.3158,0.1579,0.1579
benign_content_edit,harmful,21,0.0,0.2857,0.0952,0.0
benign_content_edit,illegal,57,0.0526,0.4035,0.3333,0.2456
benign_content_edit,misinformation_disinformation,34,0.0882,0.3235,0.1765,0.0882
benign_content_edit+steering,cybercrime_intrusion,19,0.0526,0.2105,0.2105,0.1053
benign_content_edit+steering,harassment_bullying,19,0.0,0.2632,0.2105,0.1579
benign_content_edit+steering,harmful,21,0.0,0.4286,0.1429,0.0952
benign_content_edit+steering,illegal,57,0.0175,0.5439,0.386,0.2982
benign_content_edit+steering,misinformation_disinformation,34,0.0294,0.3824,0.0882,0.0588
