component,layer,head,abs_delta,std,n,sem,ci95
z,19,6,4.208588123321533,3.021801117044191,8,1.0683680306295158,2.094001340033851
z,0,10,4.099518775939941,3.7661598283529565,8,1.3315385768303696,2.6098156105875243
z,14,9,3.3674168586730957,2.7666368596388904,8,0.9781538422656568,1.9171815308406874
z,11,8,2.9693223237991333,1.8851904398576533,8,0.6665154719256984,1.3063703249743688
z,0,6,2.53574401140213,5.108640159865582,8,1.8061770498414407,3.5401070176892238
z,14,7,2.0602335929870605,1.6590519378239417,8,0.5865634377879957,1.1496643380644715
z,25,3,1.933377981185913,0.9656474992547024,8,0.34140794747941583,0.669159577059655
z,15,7,1.783686637878418,1.5551786918147485,8,0.5498386994695162,1.0776838509602518
z,10,8,1.6763509511947632,1.2663086666392531,8,0.44770772262795555,0.8775071363507929
z,18,8,1.5726920366287231,1.7456587984746115,8,0.6171835870196792,1.2096798305585712
z,2,3,1.5353641510009766,1.1855664869587645,8,0.41916105123802744,0.8215556604265337
z,1,4,1.4719544649124146,0.8522017614271091,8,0.30129882222211457,0.5905456915553445
z,0,8,1.3737120628356934,1.51904085496746,8,0.5370620447234509,1.0526416076579637
z,13,10,1.2955958843231201,1.0913128843249331,8,0.38583737045120525,0.7562412460843623
z,13,6,1.2777801752090454,1.0034041650436183,8,0.3547569446865841,0.6953236115857048
z,13,11,1.2388209104537964,0.8340100646487489,8,0.29486708614548063,0.577939488845142
z,0,3,1.2283626794815063,0.6242180729902518,8,0.22069441617530314,0.43256105570359416
z,9,0,1.2092753648757935,1.1785410997161376,8,0.41667720175816597,0.8166873154460053
z,8,4,1.1047108173370361,0.9182635538567964,8,0.32465519292429956,0.6363241781316271
z,5,1,1.0457655191421509,0.9908617402717709,8,0.3503225278822364,0.6866321546491833
z,14,11,1.0366319417953491,1.11638480074179,8,0.3947016315090562,0.7736151977577501
z,18,10,1.0314630270004272,0.5382733801295884,8,0.19030837861091807,0.3730044220773994
z,14,6,1.0063918828964233,1.15262584716063,8,0.4075147763490853,0.7987289616442071
z,15,5,0.9770351648330688,0.6194886282415962,8,0.2190223049487924,0.4292837176996331
z,14,8,0.9648956060409546,0.9494484878679977,8,0.3356807320793873,0.6579342348755991
z,10,5,0.9358056783676147,0.8695719155550888,8,0.30744009910918957,0.6025825942540115
z,7,3,0.924819827079773,0.6710834905846591,8,0.23726384346737553,0.46503713319605605
z,10,7,0.90326988697052,0.5594233373442944,8,0.19778601769508006,0.3876605946823569
z,10,10,0.890792965888977,1.242522662568553,8,0.4392981002400941,0.8610242764705843
z,11,7,0.8833416700363159,0.40083164238899627,8,0.14171538622370022,0.2777621569984524
z,12,1,0.846577525138855,0.7853056270108627,8,0.27764746708166727,0.5441890354800678
z,27,2,0.832834005355835,0.9548878687009462,8,0.3376038436156043,0.6617035334865844
z,8,3,0.8306721448898315,1.0329221940367552,8,0.3651931439207382,0.7157785620846469
z,13,9,0.8280678987503052,0.5052312155726979,8,0.17862620929928855,0.35010737022660554
z,3,9,0.8271740674972534,0.4627687027572546,8,0.16361344392027824,0.32068235008374535
z,10,4,0.8266547918319702,0.8518378345048192,8,0.30117015462481084,0.5902935030646292
z,14,10,0.824067234992981,0.6804573906910624,8,0.24057801763307704,0.471532914560831
z,12,10,0.8079334497451782,0.5200001963295686,8,0.183847832521487,0.3603417517421145
z,3,2,0.8020652532577515,0.5273388622826336,8,0.18644244275162455,0.3654271877931841
z,5,6,0.7952460050582886,0.7652736145366413,8,0.2705650811509996,0.5303075590559592
z,9,10,0.7775171995162964,0.6922388546633818,8,0.24474339416664306,0.4796970525666204
z,13,4,0.7646311521530151,0.7155488753936499,8,0.25298473103062885,0.4958500728200325
z,0,1,0.7643309831619263,0.5841233985327312,8,0.20651880807611322,0.40477686382918193
z,8,9,0.7524079084396362,0.5997281710502462,8,0.21203592830911738,0.41559041948587006
z,0,9,0.7217063903808594,0.7224201288860943,8,0.25541408600050847,0.5006116085609966
z,1,7,0.6969398260116577,0.6308309204089095,8,0.22303241080164557,0.4371435251712253
z,13,0,0.6825228929519653,0.3459262833385328,8,0.12230341036966777,0.23971468432454882
