component,layer,head,abs_delta,std,n,sem,ci95
z,0,3,6.35498046875,5.269154774448358,8,1.8629275360669535,3.6513379706912286
z,12,6,3.634765625,2.822019325479841,8,0.9977345008431411,1.9555596216525566
z,0,9,2.75390625,1.7698373424555152,8,0.6257319932237363,1.226434706718523
z,0,12,2.2724609375,2.0650157035618473,8,0.7300933036226458,1.4309828751003857
z,10,2,1.81640625,1.434676720911992,8,0.5072348190836746,0.9941802454040023
z,14,12,1.708984375,0.6946130360209689,8,0.24558279403550135,0.48134227630958265
z,3,11,1.5,1.7065312431738753,8,0.6033499071774782,1.182565818067857
z,14,13,1.44921875,1.1591045241871294,8,0.4098053345783629,0.8032184557735912
z,9,7,1.359375,0.7808034438046126,8,0.2760557049440255,0.54106918169029
z,0,7,1.357421875,1.7545468176812118,8,0.6203259763458309,1.2158389136378285
z,7,13,1.28125,0.7696459645280327,8,0.27211094031531646,0.5333374430180202
z,26,9,1.259765625,1.0212904311753184,8,0.36108069472250026,0.7077181616561005
z,4,15,1.224609375,0.938167080377011,8,0.33169215221028464,0.6501166183321578
z,6,7,1.181640625,0.9216266879562055,8,0.32584424038816556,0.6386547111608045
z,0,10,1.1640625,0.8066409627939453,8,0.2851906473872221,0.5589736688789553
z,4,4,1.1123046875,0.7217515149774262,8,0.255177695286101,0.500148282760758
z,1,15,1.0703125,1.0629594594809344,8,0.37581292096267793,0.7365933250868487
z,0,4,1.06640625,1.104151750516949,8,0.3903765951247658,0.7651381264445409
z,5,15,0.99609375,0.9636874487529288,8,0.3407149649787797,0.6678013313584081
z,24,6,0.994140625,0.9044369757061869,8,0.31976675933884874,0.6267428483041435
z,19,6,0.98828125,0.4845369832836735,8,0.17130969330777918,0.3357669988832472
z,22,6,0.96875,1.203400362737071,8,0.42546627848686697,0.8339139058342593
z,12,7,0.96484375,0.7194169072130071,8,0.25435228679528527,0.4985304821187591
z,9,13,0.923828125,0.424342774063084,8,0.15002782654375885,0.2940545400257673
z,8,11,0.912109375,0.7634552664808926,8,0.2699221980306109,0.5290475081399973
z,13,4,0.90625,0.32314460081473473,8,0.11424886926995943,0.22392778376912048
z,9,6,0.892578125,0.7191593118304251,8,0.25426121307437227,0.49835197762576966
z,20,0,0.8916015625,0.7192403885610069,8,0.25428987802736763,0.49840816093364054
z,17,6,0.888671875,0.7358428292535296,8,0.2601597272263328,0.5099130653636123
z,10,3,0.837890625,0.6495693918360592,8,0.22965746090924952,0.45012862338212906
z,10,9,0.8046875,0.6047500775113633,8,0.2138114403656876,0.4190704231167477
z,10,6,0.798828125,0.4870990152051627,8,0.17221550838042987,0.33754239642564254
z,7,11,0.79296875,0.7892779497234437,8,0.27905189524523094,0.5469417146806527
z,11,8,0.783203125,0.42737302801899535,8,0.15109918310422998,0.29615439888429074
z,10,5,0.76953125,0.44951222944391944,8,0.15892657283303935,0.31149608275275714
z,1,8,0.763671875,1.0878487965637815,8,0.3846126304779374,0.7538407557367574
z,11,9,0.76171875,0.7164048503452599,8,0.2532873638770335,0.49644323319898565
z,0,0,0.75390625,0.4728798725722301,8,0.16718828229122717,0.32768903329080523
z,8,8,0.744140625,0.9268719558217517,8,0.3276987226265994,0.6422894963481348
z,15,11,0.736328125,0.7338969521180237,8,0.2594717557673968,0.5085646413040977
z,7,4,0.716796875,0.7817604359298749,8,0.276394052754683,0.5417323433991786
z,14,0,0.71484375,0.7244412679228337,8,0.2561286665598081,0.5020121864572239
z,2,12,0.7041015625,0.6446200222957175,8,0.22790759452696263,0.44669888527284674
z,1,11,0.701171875,0.2800616636301153,8,0.0990167507516202,0.19407283147317558
z,21,0,0.701171875,0.6142171118059703,8,0.21715854243940869,0.425630743181241
z,9,9,0.701171875,0.816586456956805,8,0.2887069105696268,0.5658655447164684
z,2,2,0.67578125,0.9189667352472947,8,0.3249038050891124,0.6368114579746602
