component,layer,head,abs_delta
z,24,0,3.59640059992671
z,9,0,3.5395461823791265
z,10,0,3.5042914897203445
z,12,2,3.2333056181669235
z,13,3,2.302901804447174
z,8,3,2.267162563279271
z,2,3,2.1744230538606644
z,9,1,2.070381011813879
z,16,0,2.0568446591496468
z,6,2,2.030007742345333
z,25,2,2.0282662883400917
z,4,0,1.925076711922884
z,6,0,1.8420975059270859
z,15,3,1.717946045100689
z,6,3,1.7164963483810425
z,12,3,1.6946712471544743
z,15,2,1.5856241136789322
z,19,0,1.5499452408403158
z,7,0,1.5256759375333786
z,9,2,1.4501645863056183
z,6,1,1.3812643364071846
z,14,0,1.34591818228364
z,11,3,1.3128280639648438
z,11,2,1.2963403686881065
z,9,3,1.278111293911934
z,20,2,1.2770442515611649
z,13,0,1.1570746377110481
z,8,0,1.1393537446856499
z,10,2,1.100627064704895
z,12,0,1.077703446149826
z,4,1,1.064333215355873
z,4,3,1.0372979566454887
z,19,3,1.0196864530444145
z,5,0,1.0119283869862556
z,18,3,0.9929866269230843
z,0,0,0.9624289460480213
z,13,2,0.9329551756381989
z,3,0,0.9213569238781929
z,15,1,0.9113991260528564
z,1,3,0.858183242380619
z,0,1,0.8546621426939964
z,10,1,0.8459632992744446
z,10,3,0.8386325985193253
z,4,2,0.835447758436203
z,0,3,0.8156760782003403
z,18,2,0.8125067427754402
z,8,1,0.8077717460691929
z,20,0,0.803760439157486
z,16,1,0.8022453337907791
z,24,1,0.7925673313438892
z,12,1,0.7689971253275871
z,15,0,0.7588616162538528
z,7,1,0.7276111133396626
z,3,3,0.712970681488514
z,1,2,0.6894078403711319
z,13,1,0.6818398982286453
z,11,0,0.6813700348138809
z,1,1,0.666658341884613
z,24,2,0.6645697467029095
z,7,2,0.6627053543925285
z,7,3,0.6626410484313965
z,18,1,0.6579016279429197
z,22,3,0.6566901318728924
z,1,0,0.6425212845206261
z,8,2,0.6390396431088448
z,3,1,0.626411460340023
z,19,1,0.6121022179722786
z,16,3,0.5847112163901329
z,20,3,0.5784821659326553
z,3,2,0.570562344044447
z,11,1,0.55998245626688
z,16,2,0.5592094287276268
z,18,0,0.542461059987545
z,14,2,0.5269773229956627
z,25,0,0.5017883256077766
z,17,3,0.5001412965357304
z,17,1,0.4992039427161217
z,2,2,0.49240072071552277
z,17,0,0.49138204753398895
z,23,3,0.47916941344738007
z,19,2,0.4620174989104271
z,2,0,0.4421128146350384
z,20,1,0.4158579036593437
z,2,1,0.40209008753299713
z,25,3,0.3748631179332733
z,14,3,0.36754340678453445
z,21,2,0.3622950538992882
z,21,1,0.3592778667807579
z,17,2,0.3533901199698448
z,25,1,0.27942827343940735
z,5,3,0.2768649309873581
z,14,1,0.27089228481054306
z,5,1,0.25309818983078003
z,0,2,0.23333972692489624
z,23,0,0.2168366014957428
z,21,3,0.21054571121931076
z,22,0,0.2076229304075241
z,23,2,0.18991420418024063
z,5,2,0.15689609199762344
z,24,3,0.1481766551733017
z,21,0,0.13744966685771942
z,23,1,0.11875320225954056
z,22,1,0.10988607257604599
z,22,2,0.07478826493024826
