component,layer,head,delta_margin
resid_pre,0,,-28.713356018066406
resid_pre,1,,-28.713343620300293
resid_pre,2,,-28.71334171295166
resid_pre,3,,-28.713335037231445
resid_pre,4,,-28.71334743499756
resid_pre,5,,-28.713339805603027
resid_pre,6,,-28.71334934234619
resid_pre,7,,-28.71333408355713
resid_pre,8,,-28.71335792541504
resid_pre,9,,-28.71334171295166
resid_pre,10,,-28.713346481323242
resid_pre,11,,-28.71334934234619
resid_pre,12,,-28.71335220336914
resid_pre,13,,-28.713337898254395
resid_pre,14,,-28.71333122253418
resid_pre,15,,-28.71333885192871
resid_pre,16,,-28.71333408355713
resid_pre,17,,-28.713343620300293
resid_pre,18,,-28.713345527648926
resid_pre,19,,-28.713339805603027
resid_pre,20,,-28.71334171295166
resid_pre,21,,-28.713342666625977
resid_pre,22,,-28.713343620300293
resid_pre,23,,-28.713339805603027
resid_pre,24,,-28.71333885192871
resid_pre,25,,-28.713340759277344
