component,layer,head,abs_delta
z,0,20,1.800079345703125
z,24,11,1.30462646484375
z,0,18,1.154052734375
z,14,5,0.8917236328125
z,11,17,0.8504638671875
z,15,16,0.8450927734375
z,9,13,0.8392333984375
z,24,22,0.81884765625
z,12,21,0.81396484375
z,14,18,0.762939453125
z,12,9,0.7353515625
z,27,1,0.73291015625
z,27,19,0.7117919921875
z,15,7,0.7081298828125
z,20,1,0.7021484375
z,14,19,0.6829833984375
z,12,23,0.6669921875
z,11,5,0.625
z,26,1,0.60986328125
z,26,14,0.6058349609375
z,14,3,0.5975341796875
z,22,15,0.5904541015625
z,13,10,0.5709228515625
z,10,22,0.54541015625
z,14,4,0.531005859375
z,11,15,0.530517578125
z,15,15,0.5157470703125
z,0,1,0.5089111328125
z,25,18,0.4844970703125
z,8,18,0.4833984375
z,15,1,0.4825439453125
z,25,12,0.470947265625
z,8,12,0.4708251953125
z,5,14,0.4654541015625
z,24,10,0.458984375
z,27,18,0.4581298828125
z,27,20,0.45556640625
z,13,18,0.44287109375
z,13,9,0.4410400390625
z,14,22,0.4404296875
z,6,17,0.43212890625
z,15,5,0.4281005859375
z,25,19,0.41650390625
z,26,0,0.406494140625
z,26,13,0.3887939453125
z,19,17,0.388427734375
z,6,15,0.3875732421875
z,22,17,0.38037109375
z,1,15,0.3717041015625
z,26,5,0.3712158203125
z,9,1,0.369384765625
z,13,23,0.3668212890625
z,9,0,0.361328125
z,17,11,0.3609619140625
z,8,13,0.36083984375
z,13,12,0.3602294921875
z,5,15,0.3568115234375
z,10,2,0.3555908203125
z,8,9,0.348876953125
z,9,3,0.3438720703125
z,13,6,0.3408203125
z,11,22,0.3367919921875
z,5,12,0.3355712890625
z,9,20,0.3338623046875
z,0,2,0.332763671875
z,2,20,0.3291015625
z,26,18,0.3291015625
z,12,22,0.3277587890625
z,11,23,0.3271484375
z,6,3,0.32080078125
z,23,0,0.3206787109375
z,9,14,0.3179931640625
z,23,4,0.3153076171875
z,23,17,0.3099365234375
z,16,2,0.3096923828125
z,16,18,0.3095703125
z,9,21,0.3077392578125
z,26,19,0.303466796875
z,11,10,0.3017578125
z,13,11,0.30078125
z,23,2,0.2969970703125
z,24,21,0.296875
z,11,18,0.29345703125
z,11,8,0.2894287109375
z,11,2,0.2889404296875
z,11,16,0.28857421875
z,6,16,0.288330078125
z,10,18,0.287353515625
z,14,13,0.284912109375
z,18,23,0.2838134765625
z,9,8,0.2823486328125
z,17,2,0.279052734375
z,10,20,0.2783203125
z,23,3,0.277587890625
z,0,0,0.27587890625
z,11,3,0.27587890625
z,0,17,0.2720947265625
z,7,10,0.270263671875
z,25,22,0.27001953125
z,24,8,0.2698974609375
z,8,4,0.26953125
z,12,12,0.2674560546875
z,13,14,0.2659912109375
z,8,3,0.2642822265625
z,6,5,0.263916015625
z,14,8,0.2637939453125
z,8,5,0.2601318359375
z,5,20,0.259765625
z,9,18,0.258056640625
z,3,23,0.25634765625
z,8,11,0.255615234375
z,15,21,0.2554931640625
z,7,21,0.2552490234375
z,13,8,0.2552490234375
z,4,5,0.255126953125
z,11,0,0.253662109375
z,22,16,0.2520751953125
z,8,23,0.2518310546875
z,9,4,0.2510986328125
z,13,20,0.250244140625
z,27,11,0.25
z,4,3,0.2496337890625
z,10,14,0.2493896484375
z,11,1,0.2489013671875
z,14,20,0.2474365234375
z,25,13,0.2442626953125
z,15,2,0.244140625
z,9,2,0.243408203125
z,11,4,0.2415771484375
z,5,13,0.24072265625
z,7,9,0.23876953125
z,12,1,0.2386474609375
z,13,0,0.2374267578125
z,12,5,0.2359619140625
z,6,23,0.2330322265625
z,24,9,0.232666015625
z,16,17,0.2315673828125
z,7,16,0.2314453125
z,15,22,0.230712890625
z,16,22,0.2293701171875
z,12,6,0.226806640625
z,8,14,0.225341796875
z,8,22,0.2236328125
z,9,12,0.22314453125
z,7,0,0.2230224609375
z,14,17,0.2227783203125
z,0,15,0.2220458984375
z,13,21,0.2210693359375
z,12,7,0.2203369140625
z,7,6,0.218994140625
z,15,13,0.2188720703125
z,5,23,0.218017578125
z,13,5,0.2177734375
z,10,7,0.2169189453125
z,17,7,0.2161865234375
z,10,0,0.2156982421875
z,15,9,0.2154541015625
z,13,1,0.2147216796875
z,19,7,0.21435546875
z,9,7,0.2139892578125
z,23,23,0.2125244140625
z,12,11,0.211669921875
z,27,2,0.2108154296875
z,17,10,0.2105712890625
z,15,11,0.2100830078125
z,11,19,0.208984375
z,26,20,0.2078857421875
z,7,13,0.2073974609375
z,12,0,0.2061767578125
z,11,20,0.2047119140625
z,16,16,0.20458984375
z,15,19,0.204345703125
