component,layer,head,delta_margin
resid_pre,0,,-29.5859375
resid_pre,1,,-29.6171875
resid_pre,2,,-29.6015625
resid_pre,3,,-29.5859375
resid_pre,4,,-29.6015625
resid_pre,5,,-29.6015625
resid_pre,6,,-29.6171875
resid_pre,7,,-29.6015625
resid_pre,8,,-29.6015625
resid_pre,9,,-29.6015625
resid_pre,10,,-29.6015625
resid_pre,11,,-29.6015625
resid_pre,12,,-29.6171875
resid_pre,13,,-29.6015625
resid_pre,14,,-29.6015625
resid_pre,15,,-29.6015625
resid_pre,16,,-29.6015625
resid_pre,17,,-29.6015625
resid_pre,18,,-29.6015625
resid_pre,19,,-29.6015625
resid_pre,20,,-29.6015625
resid_pre,21,,-29.6171875
resid_pre,22,,-29.6171875
resid_pre,23,,-29.6015625
resid_pre,24,,-29.6171875
resid_pre,25,,-29.6171875
resid_pre,26,,-29.6015625
resid_pre,27,,-29.6171875
