component,layer,head,abs_delta
z,1,2,0.03564453125
z,3,22,0.034423828125
z,0,0,0.032958984375
z,3,6,0.031005859375
z,2,6,0.03076171875
z,1,20,0.030517578125
z,1,10,0.02978515625
z,2,17,0.029541015625
z,2,27,0.029052734375
z,1,28,0.02880859375
z,2,9,0.0283203125
z,3,11,0.028076171875
z,4,23,0.028076171875
z,1,4,0.02783203125
z,4,1,0.02685546875
z,1,19,0.02685546875
z,1,29,0.02587890625
z,0,27,0.025634765625
z,3,10,0.025634765625
z,1,23,0.025634765625
z,0,17,0.025634765625
z,2,19,0.025634765625
z,1,7,0.025146484375
z,2,5,0.025146484375
z,3,15,0.024658203125
z,0,25,0.024169921875
z,3,9,0.02392578125
z,0,13,0.02392578125
z,2,22,0.0234375
z,3,3,0.0234375
z,3,26,0.0234375
z,3,12,0.023193359375
z,1,13,0.02294921875
z,2,3,0.02294921875
z,3,25,0.02294921875
z,3,7,0.02294921875
z,1,30,0.022705078125
z,3,13,0.022705078125
z,3,14,0.022705078125
z,0,28,0.0224609375
z,3,30,0.0224609375
z,3,1,0.0224609375
z,3,31,0.0224609375
z,1,31,0.022216796875
z,2,15,0.022216796875
z,1,21,0.02197265625
z,2,7,0.02197265625
z,3,4,0.02197265625
z,1,12,0.02197265625
z,1,14,0.02197265625
z,0,18,0.02197265625
z,3,29,0.021728515625
z,3,16,0.021728515625
z,4,26,0.021728515625
z,3,21,0.021484375
z,3,2,0.021484375
z,1,11,0.02099609375
z,3,27,0.02099609375
z,2,1,0.02099609375
z,3,28,0.020751953125
z,0,14,0.020751953125
z,2,26,0.0205078125
z,2,13,0.0205078125
z,2,30,0.0205078125
z,1,1,0.0205078125
z,2,12,0.0205078125
z,1,25,0.0205078125
z,3,0,0.0205078125
z,3,20,0.0205078125
z,2,0,0.020263671875
z,0,31,0.020263671875
z,8,17,0.020263671875
z,2,11,0.020263671875
z,5,29,0.02001953125
z,4,27,0.02001953125
z,2,16,0.02001953125
z,2,8,0.02001953125
z,3,18,0.02001953125
z,7,14,0.019775390625
z,4,5,0.019775390625
z,4,28,0.019775390625
z,1,27,0.01953125
z,0,20,0.01953125
z,2,29,0.01953125
z,4,30,0.019287109375
z,3,8,0.019287109375
z,4,2,0.019287109375
z,2,28,0.01904296875
z,0,23,0.01904296875
z,2,4,0.01904296875
z,4,12,0.018798828125
z,4,18,0.018798828125
z,1,24,0.018798828125
z,1,6,0.018798828125
z,2,31,0.0185546875
z,2,10,0.0185546875
z,1,22,0.0185546875
z,1,3,0.0185546875
z,0,24,0.0185546875
z,1,8,0.018310546875
z,1,26,0.018310546875
z,4,15,0.018310546875
z,0,12,0.018310546875
z,1,0,0.018310546875
z,5,18,0.01806640625
z,3,23,0.01806640625
z,2,18,0.01806640625
z,0,3,0.01806640625
z,3,17,0.01806640625
z,1,18,0.017822265625
z,1,17,0.017822265625
z,4,31,0.017822265625
z,5,15,0.017822265625
z,2,21,0.017578125
z,4,8,0.017578125
z,4,17,0.017333984375
z,4,4,0.017333984375
z,1,15,0.017333984375
z,3,19,0.01708984375
