component,layer,head,abs_delta
z,0,10,0.9079501703381538
z,11,8,0.6928639933466911
z,0,6,0.6345590800046921
z,15,7,0.5384382717311382
z,19,6,0.369781456887722
z,18,8,0.3530282601714134
z,14,9,0.3522404506802559
z,10,8,0.32895155251026154
z,19,11,0.2749873846769333
z,13,11,0.26853808760643005
z,18,10,0.26812585443258286
z,9,0,0.22642625123262405
z,7,3,0.22500138729810715
z,7,8,0.2178148403763771
z,12,7,0.21252570301294327
z,8,3,0.21217992156744003
z,15,5,0.211173377931118
z,10,3,0.2067042589187622
z,10,5,0.20289670675992966
z,9,2,0.20204123109579086
z,16,7,0.2010345235466957
z,0,3,0.19538341462612152
z,13,7,0.18397633731365204
z,8,5,0.17814479768276215
z,18,11,0.17249543219804764
z,15,0,0.16701608151197433
z,17,4,0.16491199284791946
z,17,7,0.1639673188328743
z,15,1,0.15989790856838226
z,12,10,0.1557220295071602
z,13,9,0.15498095005750656
z,0,7,0.15446170419454575
z,0,1,0.15393122285604477
z,9,5,0.15316619724035263
z,0,2,0.15200315415859222
z,11,10,0.15029608458280563
z,0,8,0.14699255675077438
z,15,11,0.14453160762786865
z,10,4,0.14434034377336502
z,19,9,0.13946709781885147
z,20,7,0.13718099892139435
z,11,9,0.13671676069498062
z,10,9,0.13592799752950668
z,20,8,0.13524577021598816
z,27,11,0.13456470519304276
z,0,5,0.13328749686479568
z,19,8,0.13202375918626785
z,16,8,0.13191007822752
z,15,10,0.13164909929037094
z,16,1,0.13003451377153397
z,16,6,0.1293882429599762
z,5,5,0.1291782334446907
z,15,3,0.1288306936621666
z,12,11,0.12832365185022354
z,25,8,0.12798472493886948
z,4,9,0.1277170106768608
z,1,4,0.12750240415334702
z,10,11,0.12682197242975235
z,13,4,0.12591788917779922
z,17,3,0.12380638718605042
z,2,3,0.1232292652130127
z,13,6,0.12164656072854996
z,11,11,0.12044380605220795
z,13,2,0.12010045349597931
z,20,6,0.11626458913087845
z,11,6,0.11620620638132095
z,14,3,0.11607129126787186
z,11,7,0.11490492522716522
z,10,10,0.11329908668994904
z,10,1,0.11066292971372604
z,20,4,0.1093459352850914
z,19,3,0.1086980327963829
z,5,2,0.10859254747629166
z,9,11,0.10809090733528137
z,10,0,0.10795377939939499
z,0,9,0.10583001375198364
z,7,10,0.10525639355182648
z,12,3,0.10514058917760849
z,26,8,0.10464968532323837
z,22,5,0.1045091524720192
z,16,3,0.10438752174377441
z,5,6,0.10355436056852341
z,16,5,0.10319900512695312
z,9,10,0.10289624333381653
z,8,8,0.10180022567510605
z,27,5,0.1016274094581604
z,18,7,0.1010841652750969
z,12,5,0.1006031408905983
z,16,4,0.09988798946142197
z,25,3,0.09971933811903
z,6,0,0.09801540523767471
z,20,9,0.09600148350000381
z,27,10,0.09592878818511963
z,15,2,0.09565988928079605
z,12,9,0.09407589584589005
z,17,0,0.09287584573030472
z,1,0,0.09201790392398834
z,18,1,0.09171036630868912
z,6,10,0.09082896262407303
z,15,6,0.09073300659656525
z,13,10,0.09062646329402924
z,8,2,0.09036223590373993
z,20,11,0.08998122066259384
z,16,0,0.08942767977714539
z,12,6,0.08940068259835243
z,8,6,0.08900310099124908
z,13,1,0.08863185346126556
z,14,8,0.08836131542921066
z,10,7,0.08784832805395126
z,12,8,0.08769270777702332
z,5,8,0.08762287348508835
z,6,4,0.08754833042621613
z,19,1,0.08693629503250122
z,5,1,0.08693324774503708
z,11,5,0.08673123270273209
z,10,6,0.08665258437395096
z,1,10,0.0865846797823906
z,7,7,0.08532143384218216
z,3,10,0.08512726426124573
z,3,4,0.08498724550008774
z,27,4,0.08467917144298553
z,7,4,0.08390147984027863
z,17,8,0.08316580951213837
z,7,2,0.08269286900758743
z,2,0,0.08261458575725555
z,3,0,0.08245664834976196
z,19,5,0.0823335275053978
z,4,5,0.08227721601724625
z,8,9,0.0807381421327591
z,8,1,0.08073501288890839
z,27,7,0.0797518640756607
z,4,2,0.07959689199924469
z,23,8,0.07927060127258301
z,14,7,0.07740197330713272
z,19,10,0.07708176225423813
z,26,6,0.07670124620199203
z,13,8,0.07662856578826904
z,25,11,0.07576796412467957
z,27,9,0.07566345483064651
z,8,11,0.07537419348955154
z,7,5,0.07470627129077911
z,15,4,0.07457198947668076
z,20,3,0.0745670422911644
z,27,0,0.07441117614507675
z,12,1,0.07404280453920364
z,16,9,0.07371872663497925
z,12,0,0.07323868572711945
z,13,0,0.0732232928276062
z,7,1,0.07204385101795197
z,8,0,0.07170148193836212
z,1,1,0.07116415351629257
z,13,3,0.07030965387821198
z,8,4,0.07019530981779099
z,9,4,0.06988172233104706
z,17,9,0.06985797733068466
z,19,7,0.06979767233133316
z,4,7,0.06964447349309921
z,19,2,0.069228395819664
z,12,2,0.0687684491276741
z,14,1,0.06849091500043869
z,6,6,0.06839407235383987
z,11,2,0.06759221851825714
z,3,2,0.06673221290111542
z,15,9,0.06670016050338745
z,18,0,0.06633961945772171
z,23,9,0.06616127490997314
z,18,9,0.06544198095798492
z,14,10,0.06540161371231079
z,16,10,0.06501321494579315
z,21,11,0.0640130564570427
z,3,6,0.0634140819311142
z,24,11,0.06316869705915451
z,27,6,0.06281818449497223
z,0,11,0.06277714669704437
z,23,1,0.062399983406066895
z,22,7,0.062257952988147736
z,16,11,0.06213085353374481
z,8,7,0.061979420483112335
z,17,6,0.06137055903673172
z,2,1,0.06102360039949417
z,4,6,0.06090974062681198
z,6,5,0.06002464145421982
z,15,8,0.05993599444627762
z,14,6,0.05991987884044647
z,3,9,0.059713684022426605
z,27,1,0.05959559977054596
z,5,9,0.05908000469207764
z,17,10,0.059000447392463684
z,27,3,0.058987878262996674
z,2,11,0.05884704738855362
z,21,3,0.05879375338554382
z,18,2,0.05840081721544266
z,21,0,0.05822191387414932
z,4,3,0.0580911785364151
z,13,5,0.05654970556497574
z,9,3,0.05625186860561371
z,14,0,0.05623830109834671
z,11,4,0.05623798072338104
z,22,0,0.05586446076631546
z,20,0,0.05580539256334305
z,9,9,0.055639781057834625
z,2,7,0.05552191287279129
z,3,3,0.05501251667737961
z,5,0,0.05392387509346008
z,18,4,0.05384864658117294
z,19,0,0.05305520445108414
z,20,2,0.05304081737995148
z,1,11,0.052987612783908844
z,24,3,0.0528353750705719
z,3,8,0.05277896672487259
z,1,7,0.05249100178480148
z,27,8,0.05243995040655136
z,0,4,0.052269332110881805
z,27,2,0.05205323547124863
z,1,9,0.05178213119506836
z,3,1,0.05174604058265686
z,23,0,0.051247887313365936
z,17,1,0.05109541863203049
z,21,10,0.0506121963262558
z,4,10,0.05055024474859238
z,26,3,0.05016976594924927
z,2,8,0.04980107396841049
z,10,2,0.04978957772254944
z,2,6,0.04958929866552353
z,20,1,0.048832885921001434
z,25,10,0.04875747859477997
z,17,5,0.048751309514045715
z,2,4,0.048316746950149536
z,25,9,0.048232823610305786
z,14,4,0.04805668443441391
z,21,4,0.04789525270462036
z,14,2,0.047809846699237823
z,12,4,0.04767730087041855
z,22,4,0.047321632504463196
z,5,4,0.047131702303886414
z,26,7,0.04676327109336853
z,17,2,0.04645523428916931
z,26,2,0.046183474361896515
z,2,9,0.045041345059871674
z,5,7,0.044890932738780975
z,11,0,0.04474634677171707
z,6,11,0.044577836990356445
z,2,5,0.043862484395504
z,20,10,0.043861567974090576
z,19,4,0.04373291879892349
z,21,2,0.04358510673046112
z,4,0,0.04322415590286255
z,9,1,0.04290986806154251
z,6,8,0.04215320944786072
z,23,11,0.04211851954460144
z,21,7,0.04169342666864395
z,11,1,0.04163134843111038
z,23,2,0.04131779074668884
z,21,9,0.041249148547649384
z,7,0,0.04102344810962677
z,11,3,0.040926143527030945
z,5,11,0.040419816970825195
z,18,6,0.040410980582237244
z,1,3,0.0403100848197937
z,2,10,0.040227971971035004
z,9,6,0.039505310356616974
z,5,10,0.03937731683254242
z,24,4,0.03824673593044281
z,1,8,0.03788541257381439
z,8,10,0.03777284920215607
z,23,7,0.03762607276439667
z,4,8,0.03677942603826523
z,7,11,0.03669354319572449
z,2,2,0.03629569709300995
z,6,2,0.03536543250083923
z,24,5,0.03528746962547302
z,7,6,0.035015784204006195
z,18,5,0.03435468673706055
z,4,11,0.03416825830936432
z,21,8,0.03390229493379593
z,9,8,0.033713750541210175
z,22,8,0.03365408629179001
z,3,5,0.033489666879177094
z,7,9,0.03335093706846237
z,21,6,0.03304669260978699
z,26,11,0.032508790493011475
z,3,11,0.03241494297981262
z,26,4,0.0322977751493454
z,14,11,0.032110922038555145
z,24,8,0.03129648417234421
z,9,7,0.03121766448020935
z,3,7,0.03075125813484192
z,4,4,0.030696503818035126
z,25,4,0.030581004917621613
z,6,3,0.030299685895442963
z,22,3,0.02967822551727295
z,18,3,0.028978005051612854
z,22,1,0.02830197662115097
z,20,5,0.028278224170207977
z,0,0,0.02776537835597992
z,5,3,0.02768450230360031
z,24,9,0.027610987424850464
z,24,2,0.027399227023124695
z,16,2,0.027307987213134766
z,26,9,0.026988424360752106
z,24,0,0.026810280978679657
z,21,5,0.026612289249897003
z,6,1,0.026438236236572266
z,23,3,0.026407964527606964
z,26,0,0.026406124234199524
z,14,5,0.02588196098804474
z,1,6,0.024884209036827087
z,24,10,0.024593152105808258
z,4,1,0.02417449653148651
z,26,1,0.024066559970378876
z,17,11,0.02354893833398819
z,24,1,0.023422762751579285
z,22,6,0.02329277992248535
z,23,6,0.02260325849056244
z,1,2,0.0218445286154747
z,22,2,0.021270006895065308
z,22,11,0.01911337673664093
z,23,4,0.018443651497364044
z,1,5,0.018024787306785583
z,23,10,0.01779680699110031
z,24,6,0.017240867018699646
z,25,0,0.01643110066652298
z,25,7,0.016367308795452118
z,22,9,0.0151892751455307
z,24,7,0.014349766075611115
z,26,5,0.012911714613437653
z,23,5,0.012252599000930786
z,21,1,0.011724501848220825
z,26,10,0.01141396164894104
z,25,6,0.011016741394996643
z,25,2,0.010688155889511108
z,25,1,0.00902886688709259
z,22,10,0.008724980056285858
z,25,5,0.007942751049995422
z,6,7,0.007595360279083252
z,6,9,0.001460351049900055
