component,layer,head,abs_delta
z,0,3,8.297920227050781
z,15,9,1.5730972290039062
z,10,3,1.3803176879882812
z,0,12,1.2032699584960938
z,9,7,1.1765518188476562
z,0,9,1.104217529296875
z,1,15,1.0974349975585938
z,14,12,1.0703506469726562
z,10,5,0.9741897583007812
z,0,7,0.9667129516601562
z,12,6,0.9655380249023438
z,14,13,0.9023513793945312
z,10,2,0.8813247680664062
z,7,13,0.8797531127929688
z,23,6,0.8746109008789062
z,3,11,0.8598709106445312
z,4,4,0.8501358032226562
z,0,4,0.8391647338867188
z,0,1,0.8352737426757812
z,0,5,0.8321456909179688
z,6,7,0.8202896118164062
z,10,15,0.7625198364257812
z,9,13,0.7415084838867188
z,19,1,0.7342300415039062
z,9,5,0.7160110473632812
z,5,14,0.7129592895507812
z,11,9,0.7014389038085938
z,10,6,0.6992111206054688
z,11,0,0.6595382690429688
z,17,12,0.6578292846679688
z,17,15,0.6564102172851562
z,0,2,0.6419601440429688
z,0,0,0.6047286987304688
z,17,11,0.6020736694335938
z,9,6,0.5841751098632812
z,9,2,0.5791854858398438
z,2,12,0.5768814086914062
z,12,3,0.5668869018554688
z,17,14,0.5659866333007812
z,0,10,0.558685302734375
z,10,4,0.5561294555664062
z,13,3,0.5558700561523438
z,6,5,0.5527725219726562
z,22,6,0.5424880981445312
z,5,8,0.5392837524414062
z,16,9,0.5345535278320312
z,4,10,0.5311355590820312
z,5,5,0.5237808227539062
z,5,10,0.5235824584960938
z,1,3,0.5203323364257812
z,2,4,0.5087661743164062
z,17,6,0.5010910034179688
z,5,3,0.49886322021484375
z,5,15,0.49658966064453125
z,0,15,0.49123382568359375
z,17,13,0.48932647705078125
z,11,5,0.48886871337890625
z,9,3,0.48805999755859375
z,18,14,0.48223876953125
z,23,7,0.47647857666015625
z,19,9,0.47129058837890625
z,10,10,0.46970367431640625
z,13,10,0.4691162109375
z,15,4,0.46704864501953125
z,9,12,0.46468353271484375
z,21,2,0.46443939208984375
z,8,10,0.46155548095703125
z,10,8,0.45626068115234375
z,9,8,0.45572662353515625
z,9,9,0.45326995849609375
z,25,10,0.44850921630859375
z,4,15,0.44733428955078125
z,5,13,0.44709014892578125
z,16,13,0.44664764404296875
z,6,3,0.44631195068359375
z,0,8,0.4451141357421875
z,19,7,0.43943023681640625
z,2,9,0.43898773193359375
z,15,8,0.43669891357421875
z,14,5,0.43624114990234375
z,10,9,0.43286895751953125
z,2,6,0.43184661865234375
z,11,12,0.42923736572265625
z,24,6,0.42877960205078125
z,17,10,0.42798614501953125
z,6,0,0.42563629150390625
z,8,14,0.42395782470703125
z,2,2,0.42246246337890625
z,12,11,0.421966552734375
z,3,9,0.41938018798828125
z,13,6,0.41599273681640625
z,13,11,0.41498565673828125
z,7,12,0.41495513916015625
z,24,2,0.40682220458984375
z,12,14,0.40297698974609375
z,4,5,0.40222930908203125
z,20,6,0.39818572998046875
z,10,11,0.396484375
z,11,14,0.39461517333984375
z,25,0,0.39443206787109375
z,11,2,0.39249420166015625
z,13,2,0.39125823974609375
z,0,13,0.39049530029296875
z,10,13,0.38962554931640625
z,1,0,0.38832855224609375
z,11,4,0.38813018798828125
z,9,10,0.38787078857421875
z,15,15,0.3868255615234375
z,19,0,0.38629913330078125
z,7,11,0.38582611083984375
z,6,9,0.38520050048828125
z,20,14,0.38515472412109375
z,19,13,0.38451385498046875
z,16,8,0.38417816162109375
z,10,0,0.38236236572265625
z,4,11,0.3747711181640625
z,17,0,0.37223052978515625
z,19,6,0.370513916015625
z,1,6,0.369232177734375
z,2,15,0.3667144775390625
z,13,7,0.36147308349609375
z,15,0,0.35927581787109375
z,1,1,0.35868072509765625
z,11,1,0.35759735107421875
z,20,9,0.35645294189453125
z,16,12,0.35506439208984375
z,18,13,0.35463714599609375
z,8,11,0.35117340087890625
z,8,1,0.34967803955078125
z,17,9,0.34955596923828125
z,11,10,0.34809112548828125
z,7,14,0.34577178955078125
z,12,5,0.34381866455078125
z,2,14,0.34346771240234375
z,4,14,0.34329986572265625
z,8,0,0.34296417236328125
z,5,9,0.34204864501953125
z,13,1,0.34169769287109375
z,15,7,0.34163665771484375
z,2,5,0.34070587158203125
z,17,5,0.34018707275390625
z,12,10,0.3383636474609375
z,14,8,0.33695220947265625
z,16,10,0.33556365966796875
z,4,8,0.334503173828125
z,0,11,0.33440399169921875
z,16,1,0.33287811279296875
z,22,9,0.33203887939453125
z,8,4,0.3306884765625
z,5,1,0.3303680419921875
z,11,6,0.32761383056640625
z,10,7,0.32703399658203125
z,8,2,0.32643890380859375
z,18,12,0.32553863525390625
z,4,1,0.32508087158203125
z,5,4,0.32433319091796875
z,6,15,0.32433319091796875
z,20,0,0.32219696044921875
z,22,7,0.32154083251953125
z,7,4,0.32013702392578125
z,8,8,0.32010650634765625
z,20,15,0.31806182861328125
z,7,7,0.31623077392578125
z,2,10,0.31235504150390625
z,6,14,0.30840301513671875
z,18,2,0.30797576904296875
z,7,2,0.30173492431640625
z,13,13,0.30100250244140625
z,7,10,0.30086517333984375
z,0,14,0.29946136474609375
z,7,5,0.29831695556640625
z,3,10,0.29274749755859375
z,20,5,0.29239654541015625
z,8,15,0.29189300537109375
z,18,15,0.29122161865234375
z,4,7,0.29071807861328125
z,3,8,0.28949737548828125
z,26,9,0.28936004638671875
z,11,15,0.28795623779296875
z,18,10,0.28774261474609375
z,17,2,0.2873687744140625
z,2,8,0.28723907470703125
z,2,7,0.2858123779296875
z,19,2,0.28310394287109375
z,13,14,0.28182220458984375
z,27,13,0.27922821044921875
z,19,3,0.27863311767578125
z,15,2,0.27852630615234375
z,15,1,0.278167724609375
z,1,7,0.27759552001953125
z,12,0,0.27729034423828125
z,14,10,0.27611541748046875
z,3,6,0.27544403076171875
z,3,14,0.26898956298828125
z,3,1,0.26880645751953125
z,11,13,0.26857757568359375
z,5,7,0.26763916015625
z,14,9,0.26656341552734375
z,9,4,0.26630401611328125
z,2,11,0.26345062255859375
z,19,10,0.262786865234375
z,6,1,0.26114654541015625
z,7,15,0.26091766357421875
z,1,9,0.2592926025390625
z,6,12,0.25820159912109375
z,12,2,0.25804901123046875
z,2,1,0.25797271728515625
z,23,8,0.25606536865234375
z,0,6,0.25583648681640625
