component,layer,head,delta_margin
resid_pre,0,,-24.483154296875
resid_pre,1,,-24.483154296875
resid_pre,2,,-24.498779296875
resid_pre,3,,-24.483154296875
resid_pre,4,,-24.483154296875
resid_pre,5,,-24.483154296875
resid_pre,6,,-24.467529296875
resid_pre,7,,-24.498779296875
resid_pre,8,,-24.483154296875
resid_pre,9,,-24.483154296875
resid_pre,10,,-24.498779296875
resid_pre,11,,-24.483154296875
resid_pre,12,,-24.483154296875
resid_pre,13,,-24.498779296875
resid_pre,14,,-24.498779296875
resid_pre,15,,-24.483154296875
resid_pre,16,,-24.498779296875
resid_pre,17,,-24.483154296875
resid_pre,18,,-24.483154296875
resid_pre,19,,-24.498779296875
resid_pre,20,,-24.467529296875
resid_pre,21,,-24.483154296875
resid_pre,22,,-24.498779296875
resid_pre,23,,-24.498779296875
resid_pre,24,,-24.498779296875
resid_pre,25,,-24.498779296875
resid_pre,26,,-24.498779296875
resid_pre,27,,-24.498779296875
