component,layer,head,abs_delta,std,n,sem,ci95
pattern,12,2,0.406982421875,0.39077834253051563,8,0.1381610079720835,0.27079557562528367
pattern,9,3,0.35302734375,0.33811674734016317,8,0.11954232243848396,0.23430295197942858
pattern,9,2,0.276611328125,0.533140201738386,8,0.18849352598618838,0.3694473109329292
pattern,10,1,0.253662109375,0.2969822510612665,8,0.10499908180873364,0.20579820034511795
pattern,8,3,0.245361328125,0.2552504286975284,8,0.09024465451639782,0.17687952285213973
pattern,7,2,0.240966796875,0.18792077942195026,8,0.06644002872756122,0.13022245630601997
pattern,14,0,0.236572265625,0.26069946918825454,8,0.09217118125737409,0.1806555152644532
pattern,8,7,0.230712890625,0.20088706840773213,8,0.07102430416189662,0.13920763615731738
pattern,3,2,0.227783203125,0.2090194122727764,8,0.07389952190885343,0.1448430629413527
pattern,6,2,0.224365234375,0.3760034668307501,8,0.13293730057283723,0.260557109122761
pattern,6,4,0.22412109375,0.10905440698265326,8,0.03855655534785585,0.07557084848179746
pattern,7,6,0.2119140625,0.22065250091019614,8,0.07801243983968527,0.15290438208578314
pattern,2,3,0.210205078125,0.32164008129763155,8,0.11371694129347384,0.22288520493520872
pattern,2,1,0.205810546875,0.16346663656341884,8,0.05779418360587514,0.11327659986751527
pattern,7,0,0.18798828125,0.2506655960717185,8,0.08862367139624008,0.17370239593663056
pattern,5,7,0.183349609375,0.18519096945756133,8,0.06547489515897621,0.12833079451159338
pattern,2,5,0.1787109375,0.2694928317599147,8,0.09528010440930051,0.18674900464222902
pattern,17,6,0.178466796875,0.08649964212962555,8,0.030582241760033897,0.05994119384966644
pattern,4,1,0.174072265625,0.2517062949911318,8,0.0889916140277854,0.17442356349445937
pattern,3,3,0.173095703125,0.2095870126005666,8,0.0741001989292455,0.14523638990132118
pattern,8,0,0.173095703125,0.1754614448846488,8,0.06203498875736241,0.12158857796443032
pattern,6,0,0.167724609375,0.18666234689372277,8,0.06599510564037352,0.1293504070551321
pattern,4,4,0.165771484375,0.21816486807827032,8,0.07713292881740674,0.1511805404821172
pattern,3,0,0.165283203125,0.19070153587180622,8,0.06742317459882191,0.13214942221369094
pattern,7,7,0.16455078125,0.19048083390525136,8,0.06734514467023583,0.13199648355366222
pattern,4,6,0.16162109375,0.2318778569071571,8,0.08198120251302735,0.1606831569255336
pattern,0,6,0.16064453125,0.1206236826092708,8,0.042646911972354595,0.08358794746581501
pattern,7,1,0.157470703125,0.1652108827308452,8,0.05841086775239805,0.11448530079470018
pattern,0,3,0.156982421875,0.11684257972727928,8,0.0413100902282445,0.08096777684735922
pattern,10,5,0.151123046875,0.0860448389866113,8,0.030421444566768735,0.05962603135086672
pattern,4,7,0.1494140625,0.13857556074270908,8,0.048993859353948954,0.09602796433373995
pattern,5,2,0.149169921875,0.21157192514309214,8,0.07480197148868653,0.1466118641178256
pattern,7,3,0.147216796875,0.1223604253475439,8,0.0432609432560593,0.08479144878187624
pattern,6,5,0.147216796875,0.13835491592029617,8,0.04891584962886802,0.09587506527258131
pattern,15,4,0.13330078125,0.13570956458577776,8,0.04798057669523859,0.09404193032266764
pattern,0,2,0.127197265625,0.18466347947369643,8,0.06528839928667678,0.12796526260188648
pattern,10,7,0.125732421875,0.11569896085201599,8,0.040905759897348695,0.08017528939880345
pattern,5,3,0.12451171875,0.11211953390072113,8,0.03964024136233745,0.0776948730701814
pattern,9,5,0.123046875,0.24848698125839652,8,0.08785341474219335,0.17219269289469896
pattern,7,5,0.122802734375,0.15824424034455462,8,0.055947787715674206,0.10965766392272144
pattern,6,6,0.122802734375,0.09699237235055885,8,0.03429198210622538,0.06721228492820175
pattern,15,6,0.1201171875,0.1118141216918052,8,0.039532261840346646,0.07748323320707942
pattern,12,0,0.117919921875,0.0922259012926697,8,0.03260678010254396,0.06390928900098616
pattern,3,6,0.106201171875,0.09050813101572446,8,0.03199945659686962,0.06271893492986445
pattern,7,4,0.1044921875,0.08519233548992351,8,0.030120039065022145,0.0590352765674434
pattern,8,5,0.103759765625,0.1838708890285134,8,0.0650081762474305,0.12741602544496378
pattern,8,4,0.098876953125,0.078908857116362,8,0.02789849398132996,0.054681048203406725
pattern,1,6,0.09765625,0.18527794185117435,8,0.0655056445436261,0.12839106330550717
pattern,0,0,0.0966796875,0.10466480131051956,8,0.03700459537910551,0.0725290069430468
pattern,3,1,0.095947265625,0.09004634027470536,8,0.03183618891463774,0.06239893027268997
pattern,10,2,0.091796875,0.08905173023856496,8,0.0314845411640422,0.06170970068152271
pattern,14,1,0.09130859375,0.056566010737288404,8,0.019999104888503844,0.03919824558146753
pattern,13,7,0.089111328125,0.10538572242432578,8,0.03725947948324198,0.07302857978715428
pattern,8,2,0.089111328125,0.05158973403990136,8,0.018239725389612355,0.035749861763640214
pattern,2,2,0.088623046875,0.08722739280221065,8,0.030839540477832893,0.06044549933655247
pattern,9,1,0.088134765625,0.10272258502333824,8,0.036317918225507076,0.07118311972199387
pattern,10,4,0.088134765625,0.09615723111409115,8,0.033996715090447965,0.06663356157727801
pattern,17,7,0.0859375,0.09215533639885275,8,0.03258183164507812,0.06386039002435312
pattern,0,5,0.084228515625,0.06850222240100648,8,0.02421919299305035,0.04746961826637869
pattern,9,4,0.08251953125,0.09010872948767402,8,0.03185824683241926,0.062442163791541744
