component,layer,head,delta_margin
resid_pre,0,,-10.474609375
resid_pre,1,,-10.61328125
resid_pre,2,,-10.818359375
resid_pre,3,,-10.93359375
resid_pre,4,,-10.88671875
resid_pre,5,,-10.875
resid_pre,6,,-10.64453125
resid_pre,7,,-10.564453125
resid_pre,8,,-9.498046875
resid_pre,9,,-8.484375
resid_pre,10,,-7.2548828125
resid_pre,11,,-7.11279296875
resid_pre,12,,-5.5771484375
resid_pre,13,,-5.576171875
resid_pre,14,,-4.5546875
resid_pre,15,,-4.576171875
resid_pre,16,,-3.970703125
resid_pre,17,,-2.67578125
resid_pre,18,,-2.359375
resid_pre,19,,-2.19921875
resid_pre,20,,-1.91015625
resid_pre,21,,-1.84375
resid_pre,22,,-1.31640625
resid_pre,23,,-1.3359375
resid_pre,24,,-0.5625
resid_pre,25,,-0.125
