component,layer,head,abs_delta,std,n,sem,ci95
z,24,0,3.914954985976219,1.8552083456188504,50,0.26236608034019304,0.5142375174667784
z,12,2,3.810095201730728,3.2426403381293754,50,0.45857859440806414,0.8988140450398057
z,9,1,3.2321384090185163,2.882258839889811,50,0.40761295416419135,0.7989213901618151
z,9,0,3.041892054080963,3.119600793389156,50,0.4411781751200812,0.864709223235359
z,8,3,2.9389814364910127,2.431245532531933,50,0.34383004055656574,0.6739068794908688
z,13,3,2.488142871260643,1.8694669865049625,50,0.2643825566724078,0.5181898110779193
z,10,0,2.4628529179096224,1.990557703148231,50,0.28150737004784654,0.5517544452937793
z,2,3,2.4614907896518705,2.9782255653292666,50,0.4211846986294927,0.8255220093138057
z,6,0,2.3630234920978546,2.7035898322151195,50,0.38234534078126226,0.749396867931274
z,4,0,2.169873365163803,2.1249720511161745,50,0.3005164294352268,0.5890122016930445
z,12,3,2.011421262025833,1.4002143281391572,50,0.19802020930835273,0.38811961024437136
z,16,0,1.9946630418300628,1.1888513024196465,50,0.1681289635526782,0.32953276856324926
z,15,2,1.8701080930233003,1.4376112468882432,50,0.20330893227694494,0.39848550726281207
z,6,3,1.8642723608016967,1.4412797439827387,50,0.20382773611140112,0.39950236277834617
z,7,0,1.8323630285263062,1.7020044429086632,50,0.24069977663806955,0.4717715622106163
z,6,2,1.7825041449069976,1.9797329313637868,50,0.2799765161411311,0.548753971636617
z,9,2,1.7773616683483124,1.9577622954122325,50,0.2768693990074661,0.5426640220546336
z,8,0,1.7597476351261139,1.716325916176816,50,0.2427251388109681,0.47574127206949746
z,6,1,1.7023004233837127,1.500965615130933,50,0.21226859295738407,0.41604644219647274
z,25,2,1.6267653477191926,1.1134090411162085,50,0.1574598166415365,0.30862124061741153
z,15,3,1.5808953249454498,1.0993875647926459,50,0.15547688044340896,0.3047346856690816
z,9,3,1.5519576060771942,1.6792514603583935,50,0.23748201898736657,0.46546475721523844
z,11,2,1.372830718755722,1.695117928247119,50,0.23972587639488585,0.46986271773397625
z,11,3,1.37143257021904,1.223411218135121,50,0.1730164737046077,0.3391122884610311
z,4,1,1.3576259350776672,1.120135738216007,50,0.1584111152683876,0.3104857859260397
z,0,0,1.3422889745235442,1.6860979016306892,50,0.23845025199749373,0.4673624939150877
z,14,0,1.3354434549808503,1.09528325549569,50,0.15489644345621603,0.3035970291741834
z,10,2,1.2487004363536836,1.2364603216793155,50,0.17486189562550877,0.3427293154259972
z,0,1,1.2075869309902192,1.2759350945031882,50,0.18044447153542054,0.35367116420942424
z,4,3,1.1751227128505706,1.6857352126168568,50,0.23839896002526517,0.4672619616495197
