component,layer,head,abs_delta,std,n,sem,ci95
z,24,0,2.624817594885826,2.813623499534378,8,0.9947661281132917,1.9497416111020516
z,9,1,1.7170262187719345,1.094934527601696,8,0.3871178147112241,0.7587509168339992
z,11,2,1.5125589221715927,2.0941038346213032,8,0.7403775109847379,1.4511399215300862
z,10,0,1.4815988391637802,1.4911572595113445,8,0.5272037050080101,1.0333192618156997
z,13,3,1.2559730261564255,0.8302201799478137,8,0.29352715955950737,0.5753132327366345
z,9,0,1.2142666652798653,0.6199697697519937,8,0.21919241416114862,0.4296171317558513
z,12,2,1.129230335354805,0.47831785949780886,8,0.16911090100676746,0.3314573659732642
z,11,3,1.0550726503133774,0.6148686136589471,8,0.21738888312850643,0.4260822109318726
z,13,0,1.0090155750513077,0.48604086079326103,8,0.1718413943003308,0.3368091328286483
z,9,2,0.9444788545370102,0.8616519925008186,8,0.3046399834601145,0.5970943675818244
z,24,2,0.9349939227104187,0.7909672281930401,8,0.279649145375813,0.5481123249365935
z,10,1,0.9302244633436203,0.6680722003171277,8,0.23619919158322925,0.4629504155031293
z,15,2,0.9100905954837799,0.7665505718478288,8,0.27101655373801276,0.531192445326505
z,16,0,0.8847315944731236,0.8115489892654869,8,0.2869258967873572,0.5623747577032201
z,8,3,0.8491766601800919,0.7668701573602094,8,0.27112954427949937,0.5314139067878187
z,20,2,0.8430909365415573,0.41681440901545247,8,0.14736614755554484,0.2888376492088679
z,13,1,0.816256657242775,0.5773761957090309,8,0.20413331164077345,0.40010129081591594
z,9,3,0.755780503153801,0.7698676866801458,8,0.2721893309339657,0.5334910886305727
z,12,3,0.7305513173341751,0.4593501929378335,8,0.1624048181828455,0.31831344363837716
z,15,3,0.7155074030160904,0.6144223448004109,8,0.2172311032604548,0.4257729623904914
z,13,2,0.7050538510084152,0.7591958612811394,8,0.26841627088032755,0.526095890925442
z,6,0,0.679193839430809,0.5970252847771677,8,0.21108031370288244,0.41371741485764957
z,25,2,0.6474834531545639,0.250125895185407,8,0.08843285831797845,0.17332840230323776
z,24,1,0.5844907611608505,0.4664652168851996,8,0.16492035902358912,0.3232439036862347
z,15,1,0.5653953701257706,0.4508234376699667,8,0.15939015494713213,0.31240470369637896
z,14,3,0.5358387976884842,0.43470197224694584,8,0.15369035618549087,0.3012330981235621
z,12,0,0.5128848105669022,0.33458589467419647,8,0.11829397750674613,0.2318561959132224
z,6,3,0.5051825493574142,0.3059567288923747,8,0.10817203887472611,0.21201719619446316
z,20,0,0.502006508409977,0.5070314624264213,8,0.1792626926783273,0.3513548776495215
z,14,0,0.4971039146184921,0.27157997491593894,8,0.09601802094876645,0.18819532105958223
z,19,0,0.4904847666621208,0.49044833644298735,8,0.17339967226024883,0.3398633576300877
z,16,2,0.4778170883655548,0.446052602655358,8,0.15770341005175612,0.309098683701442
z,6,2,0.44928956031799316,0.4989903582814632,8,0.17641973304376377,0.34578267676577695
z,25,1,0.42588749527931213,0.3393454949383213,8,0.1199767503179961,0.23515443062327235
z,6,1,0.41626547276973724,0.3231033459144727,8,0.1142342834600932,0.22389919558178267
z,8,0,0.39417649805545807,0.5023075949579181,8,0.17759255331812476,0.34808140450352454
