component,layer,head,abs_delta,std,n,sem,ci95
z,0,20,1.47580078125,1.8941857262738637,50,0.2678783143750029,0.5250414961750057
z,24,11,1.136044921875,0.7972279981649426,50,0.11274506473084148,0.22098032687244928
z,0,18,1.02798828125,1.4119382051431015,50,0.19967821589460993,0.3913693031534355
z,24,22,0.88029296875,0.6421524329981642,50,0.09081406798568839,0.17799557325194923
z,14,5,0.8448046875,0.9487016600932454,50,0.13416667543497376,0.26296668385254857
z,9,13,0.838828125,0.7805022719210443,50,0.1103796898413754,0.21634419208909578
z,12,21,0.78359375,0.7188359694021369,50,0.10165875770501132,0.19925116510182217
z,11,5,0.7700390625,0.5990389035633679,50,0.08471689418084234,0.16604511259445098
z,12,23,0.7611328125,0.5229981525156447,50,0.07396310803836972,0.14496769175520466
z,11,17,0.7371826171875,0.6657803598396727,50,0.09415556144469045,0.18454490043159327
z,14,3,0.72146484375,0.648790237086767,50,0.09175279524233616,0.17983547867497887
z,12,9,0.7049365234375,0.7514670356576579,50,0.1062734873503366,0.20829603520665974
z,0,1,0.6603515625,1.0878962604448164,50,0.15385176459760322,0.3015494586113023
z,26,14,0.651875,0.5488942313708014,50,0.07762536663129428,0.15214571859733678
z,15,16,0.63615234375,0.5629605538806701,50,0.07961464503791132,0.1560447042743062
z,13,10,0.6245703125,0.4118714780876353,50,0.058247423026618686,0.11416494913217262
z,20,1,0.612890625,0.47532835529806844,50,0.06722158066430256,0.131754298102033
z,22,15,0.60490234375,0.3880976961321586,50,0.054885302539585096,0.10757519297758679
z,15,7,0.591953125,0.4977152788935345,50,0.07038756976115439,0.1379596367318626
z,26,13,0.58802734375,0.5812431534277489,50,0.08220019506140282,0.16111238232034952
z,27,19,0.57099609375,0.4242833395336899,50,0.0600027253057493,0.11760534159926862
z,14,4,0.56458984375,0.4202817562532245,50,0.05943681597112934,0.1164961593034135
z,8,18,0.55576171875,0.4502560814622264,50,0.06367582569448456,0.12480461836118974
z,8,13,0.55533203125,0.4846184208909251,50,0.0685353943399779,0.1343293729063567
z,14,18,0.54818359375,0.44399200840242187,50,0.06278995198679742,0.12306830589412293
z,27,1,0.54361328125,0.3396184686331293,50,0.048029304437335295,0.09413743669717718
z,14,19,0.5196484375,0.4357980991486311,50,0.061631158227240884,0.12079707012539213
z,8,4,0.51201171875,0.6157981708826855,50,0.08708701249468385,0.17069054448958035
z,5,15,0.50890625,0.4354651209935891,50,0.06158406800495744,0.12070477328971659
z,6,15,0.50658203125,0.7265890407674547,50,0.1027552075724992,0.20140020684209844
z,15,15,0.50580078125,0.35607666048949815,50,0.050356844250876824,0.09869941473171857
z,26,1,0.50353515625,0.25283705369089754,50,0.03575655904001217,0.07008285571842385
z,6,17,0.50181640625,0.6066202434054179,50,0.08578905754340099,0.16814655278506593
z,5,14,0.49591796875,0.6093546766468247,50,0.08617576480094115,0.16890449900984464
z,13,9,0.492451171875,0.3826322908771933,50,0.054112377516041386,0.10606025993144111
z,11,15,0.48701171875,0.4062787559308903,50,0.057456492674153356,0.11261472564134058
z,12,22,0.4869921875,0.5060295749620848,50,0.0715633887873273,0.1402642420231615
z,15,5,0.4709375,0.38389037490382305,50,0.05429029746534786,0.10640898303208181
z,8,12,0.4701953125,0.9388319296244512,50,0.1327708847663802,0.2602309341421052
