component,layer,head,abs_delta,std,n,sem,ci95
z,9,22,0.9868359375,0.6055592067468523,50,0.08563900430012915,0.16785244842825311
z,4,11,0.62775390625,0.6847716621935639,50,0.09684133718029056,0.18980902087336948
z,9,12,0.594609375,0.5656291965385287,50,0.07999204810189842,0.1567844142797209
z,6,6,0.5740625,0.466960802979599,50,0.06603823006703796,0.1294349309313944
z,6,25,0.53841796875,0.45946289179201155,50,0.06497786529794246,0.12735661598396722
z,0,2,0.529541015625,0.4390849578497507,50,0.062095990242513624,0.1217081408753267
z,0,3,0.49451171875,0.6987467011502012,50,0.09881770614300744,0.19368270404029458
z,8,28,0.4901953125,0.41318041490127755,50,0.058432534646032916,0.11452776790622451
z,0,26,0.4890625,0.43244054960148276,50,0.061156329016649205,0.11986640487263243
z,5,19,0.48861328125,0.4921692152120938,50,0.06960323791354656,0.13642234631055125
z,8,14,0.484482421875,0.4561877679867693,50,0.06451469284755999,0.12644879798121758
z,8,13,0.472275390625,0.6452007662378761,50,0.09124516740671174,0.178840528117155
z,14,24,0.45400390625,0.27889780131962344,50,0.03944210531422483,0.07730652641588066
z,6,16,0.450751953125,0.6106000929747657,50,0.08635189326711865,0.16924971080355256
z,8,0,0.419677734375,0.3982664995339611,50,0.05632338850797857,0.110393841475638
z,4,4,0.41087890625,0.33888409069010095,50,0.04792544771264146,0.09393387751677726
z,9,21,0.40859375,0.30069064614041335,50,0.042524078985050166,0.08334719481069833
z,5,17,0.3952734375,0.3623616286684368,50,0.051245672974650665,0.1004415190303153
z,9,15,0.385263671875,0.49450571137086996,50,0.06993366836916395,0.13706999000356135
z,9,1,0.38392578125,0.28761382198067764,50,0.04067473677710353,0.07972248408312292
z,6,30,0.381240234375,0.37742385816616886,50,0.05337579389817754,0.10461655604042797
z,7,8,0.37474609375,0.36912168641438886,50,0.05220168950932573,0.10231531143827843
z,9,0,0.373642578125,0.25176931113290296,50,0.03560555743934828,0.06978689258112264
z,8,27,0.372841796875,0.234654807673752,50,0.033185201148827025,0.06504299425170097
z,6,24,0.36953125,0.34591058087680965,50,0.048919143484433956,0.09588152122949055
z,6,19,0.35337890625,0.3112440138098062,50,0.044016550553726684,0.0862724390853043
z,8,3,0.350244140625,0.26246290936541194,50,0.0371178606044466,0.07275100678471533
z,4,8,0.349541015625,0.309389225010135,50,0.04375424380614341,0.08575831786004108
z,3,1,0.3396875,0.3118637995444144,50,0.04410420149289151,0.08644423492606736
z,15,11,0.338974609375,0.19416143017422732,50,0.027458572784214895,0.053818802657061196
z,6,13,0.338974609375,0.6300770698941152,50,0.08910635375845581,0.1746484533665734
z,4,7,0.337548828125,0.2427772087893911,50,0.034333882130504145,0.06729440897578812
z,6,31,0.334619140625,0.24072984685563592,50,0.034044341429123846,0.06672690920108273
z,8,12,0.33275390625,0.47959346223523397,50,0.06782475787185366,0.13293652542883316
z,8,1,0.331630859375,0.3568195744968694,50,0.050461908157366966,0.09890533998843926
z,8,29,0.325615234375,0.29912760666588606,50,0.042303031822710065,0.08291394237251172
z,4,26,0.322734375,0.35725587636954825,50,0.050523610559930085,0.09902627669746296
z,4,5,0.321474609375,0.27970543228609807,50,0.03955632158084293,0.07753039029845214
z,7,25,0.32072265625,0.42117845303657325,50,0.059563628046364156,0.11674471097087374
z,3,28,0.319091796875,0.2866907166821148,50,0.04054418997383093,0.07946661234870861
z,9,13,0.31861328125,0.27732864851927197,50,0.03922019359705556,0.07687157945022889
z,14,25,0.31841796875,0.2937291106839677,50,0.0415395691993055,0.08141755563063878
z,10,11,0.3174609375,0.30002398751822507,50,0.042429799218553006,0.0831624064683639
