component,layer,head,abs_delta,std,n,sem,ci95
z,9,22,1.099609375,0.5002103090764539,8,0.17685105078368968,0.34662805953603176
z,9,12,0.86181640625,0.43974599615879995,8,0.15547368794176045,0.30472842836585046
z,9,21,0.62109375,0.4405387136891928,8,0.15575395591241356,0.3052777535883306
z,6,19,0.49072265625,0.39232852595253404,8,0.1387090805769796,0.27186979793088
z,14,24,0.474365234375,0.38681658763621907,8,0.13676031609650546,0.2680502195491507
z,8,1,0.4658203125,0.2773064141116784,8,0.09804262294244635,0.19216354096719485
z,9,15,0.45751953125,0.3493945899733576,8,0.12352964194002722,0.24211809820245334
z,8,27,0.405029296875,0.2208202258775986,8,0.07807173957059756,0.1530206095583712
z,6,25,0.39990234375,0.36111729189249125,8,0.1276742429504512,0.25024151618288437
z,8,12,0.39697265625,0.3225229796273365,8,0.11402909299149017,0.22349702226332072
z,4,11,0.39306640625,0.37725406947383655,8,0.13337945537758536,0.2614237325400673
z,5,27,0.380126953125,0.2927062393473002,8,0.10348728336904431,0.20283507540332685
z,3,22,0.37451171875,0.25445457191378823,8,0.08996327665207983,0.17632802223807648
z,10,11,0.37060546875,0.2934292326052289,8,0.10374290008676107,0.2033360841700517
z,8,0,0.353759765625,0.4258752321684681,8,0.15056963230285955,0.29511647931360474
z,6,16,0.346435546875,0.4075503654681723,8,0.14409081354880018,0.28241799455564837
z,7,8,0.3427734375,0.4155064004893983,8,0.14690369670623346,0.28793124554421756
z,6,6,0.34130859375,0.36525862039942075,8,0.12913842368563672,0.25311131042384793
z,14,19,0.32763671875,0.12241747509243855,8,0.04328111338679929,0.0848309822381266
z,13,26,0.32568359375,0.24485442527182413,8,0.0865691122566208,0.16967546002297676
z,13,10,0.3173828125,0.20816527354602415,8,0.07359753826597315,0.14425117500130738
z,8,3,0.316650390625,0.1419535054434864,8,0.05018814315614536,0.0983687605860449
z,9,0,0.315185546875,0.2359714451156789,8,0.08342850450384288,0.16351986882753206
z,9,14,0.3095703125,0.18171111583429764,8,0.06424458111170304,0.12591937897893796
z,8,14,0.30322265625,0.26682810438042104,8,0.09433798100927382,0.1849024427781767
z,8,15,0.292236328125,0.3734475653751769,8,0.13203365294719704,0.2587859597765062
z,9,23,0.285888671875,0.21987299807939997,8,0.07773684397088022,0.15236421418292523
z,9,20,0.283935546875,0.20758049590315925,8,0.07339078814759512,0.14384594476928642
z,9,13,0.277587890625,0.16781436757770896,8,0.059331338647364944,0.11628942374883529
z,4,3,0.25732421875,0.16118649335798432,8,0.05698803124455555,0.11169654123932887
z,8,5,0.24951171875,0.1132800473304385,8,0.04005054482024306,0.0784990678476764
z,12,15,0.2470703125,0.25620737817902617,8,0.09058298725020784,0.17754265501040736
z,9,3,0.240478515625,0.1592945483517601,8,0.05631912767278897,0.11038549023866637
z,13,27,0.2373046875,0.21283814269545084,8,0.07524964699755167,0.14748930811520128
z,4,7,0.234619140625,0.29289514979518205,8,0.10355407329841142,0.20296598366488638
z,9,2,0.2333984375,0.13172066306228103,8,0.046570287036863646,0.09127776259225275
z,3,30,0.2275390625,0.17518811138947135,8,0.06193835077337971,0.12139916751582423
z,8,13,0.221923828125,0.24654052039648627,8,0.08716523690480789,0.17084386433342347
z,6,24,0.2216796875,0.1343586148129027,8,0.04750294382251741,0.09310576989213412
z,7,21,0.21923828125,0.21821560102721466,8,0.0771508656235208,0.15121569662210077
z,10,14,0.218994140625,0.2157611235599147,8,0.07628307679282212,0.14951483051393136
z,8,7,0.21826171875,0.30623382436668295,8,0.10827000691918584,0.21220921356160424
z,8,2,0.216796875,0.16810495930742198,8,0.05943407833868335,0.11649079354381936
z,8,28,0.214599609375,0.18554375437930304,8,0.06559962346420817,0.128575261989848
z,6,4,0.21435546875,0.19011427920245372,8,0.06721554801222382,0.13174247410395867
z,8,6,0.212890625,0.23913507010104593,8,0.08454701484398498,0.16571214909421056
z,10,17,0.212646484375,0.20180459591264577,8,0.07134869912222143,0.139843450279554
z,12,23,0.210693359375,0.16202510146790525,8,0.057284523985197115,0.11227766701098635
z,10,9,0.2099609375,0.1957779053200221,8,0.06921794222914274,0.13566716676911977
z,3,28,0.2099609375,0.13447213448356862,8,0.04754307908698037,0.09318443501048153
z,3,29,0.20703125,0.09465246434560713,8,0.033464699697398355,0.06559081140690078
z,9,6,0.205078125,0.08286407592029854,8,0.029296875,0.057421875
z,2,16,0.201171875,0.1502909427294867,8,0.05313587237746955,0.10414630985984032
z,6,30,0.198974609375,0.14474389182266278,8,0.05117469372156846,0.10030239969427418
z,11,27,0.195556640625,0.15434962331582983,8,0.054570832660106254,0.10695883201380825
z,7,1,0.1953125,0.12896542202514982,8,0.04559616222628418,0.08936847796351699
z,9,4,0.1953125,0.15469370027256396,8,0.05469248223478462,0.10719726518017786
z,12,26,0.19482421875,0.1433642786359677,8,0.05068692680170522,0.09934637653134223
z,12,5,0.19140625,0.11263477789725644,8,0.03982240762429534,0.07805191894361886
z,7,24,0.189697265625,0.16165807413704514,8,0.057154760227931124,0.112023330046745
z,13,30,0.18896484375,0.11440021365028576,8,0.040446583420653444,0.07927530350448075
z,6,7,0.18701171875,0.1556550825571236,8,0.05503238220114699,0.1078634691142481
z,6,31,0.1865234375,0.1082682767042747,8,0.03827861632248707,0.07502608799207466
z,8,31,0.185546875,0.13304208098380002,8,0.047037478823407405,0.09219345849387851
z,8,22,0.1845703125,0.09088704225760029,8,0.03213342195116873,0.06298150702429071
z,8,30,0.18359375,0.1687133103302442,8,0.059649162905473035,0.11691235929472715
z,7,26,0.183349609375,0.14106777662410055,8,0.04987499072890531,0.09775498182865441
z,8,24,0.180419921875,0.13318102061501766,8,0.04708660140111218,0.09228973874617986
z,14,18,0.17822265625,0.08799132376171057,8,0.031109630858743263,0.06097487648313679
z,12,20,0.1767578125,0.10586586119427853,8,0.037429234173314056,0.07336129897969555
z,8,23,0.173828125,0.11897813494916679,8,0.042065123017742,0.08244764111477432
z,7,3,0.173583984375,0.17764217554373923,8,0.06280599347585454,0.1230997472126749
z,7,22,0.173583984375,0.10387266540264656,8,0.03672453304306633,0.07198008476441001
z,5,31,0.17041015625,0.12787802681698693,8,0.04521170996352331,0.0886149515285057
z,4,5,0.169921875,0.16081501059891323,8,0.05685669225553903,0.1114391168208565
z,12,17,0.169921875,0.11109536680057171,8,0.039278143611545545,0.07698516147862927
z,6,27,0.169677734375,0.13330985157687478,8,0.04713215002449016,0.09237901404800071
z,1,3,0.16650390625,0.196446900936857,8,0.06945446789776676,0.13613075707962283
z,13,31,0.163818359375,0.10938714407629048,8,0.03867419567548744,0.07580142352395537
z,7,13,0.162109375,0.12223147843005266,8,0.04321535363617372,0.0847020931269005
z,6,29,0.16162109375,0.11489455986988814,8,0.040621361202720835,0.07961786795733283
z,6,15,0.1611328125,0.11359351204779557,8,0.04016137133389601,0.07871628781443618
z,7,14,0.15869140625,0.1790913234386269,8,0.06331834462756318,0.12410395547002383
z,7,4,0.15869140625,0.08385612352373234,8,0.02964761679382395,0.05810932891589494
z,15,11,0.1572265625,0.09280940914466189,8,0.0328130812820536,0.06431363931282505
z,5,19,0.151611328125,0.0849420936871675,8,0.030031565227189583,0.05886186784529158
z,7,2,0.151123046875,0.11953990060827899,8,0.04226373717123998,0.08283692485563036
z,9,7,0.1494140625,0.0764254307833728,8,0.02702047018101301,0.0529601215547855
z,6,5,0.1474609375,0.07434346898778932,8,0.02628438552909881,0.05151739563703367
z,15,14,0.14697265625,0.16355599828558814,8,0.057825777745737356,0.11333852438164521
z,12,21,0.146484375,0.08390972076487495,8,0.029666566280156365,0.05814646990910648
z,10,30,0.14599609375,0.18055808003841753,8,0.06383692139659422,0.12512036593732467
z,15,2,0.145751953125,0.0957113101228287,8,0.03383905821205041,0.0663245540956188
z,10,10,0.144287109375,0.0916598610601659,8,0.032406654659130035,0.06351704313189487
z,5,17,0.1435546875,0.15127040036381104,8,0.05348216294502738,0.10482503937225367
z,9,16,0.143310546875,0.10843896292417754,8,0.03833896301426127,0.07514436750795209
z,4,4,0.142822265625,0.15842321516891805,8,0.05601106487165873,0.10978168714845112
z,8,29,0.142578125,0.11694543451549468,8,0.041346454887356804,0.08103905157921934
z,9,27,0.14208984375,0.11267226820129203,8,0.0398356624484015,0.07807789839886693
z,11,7,0.139892578125,0.1220348720874733,8,0.04314584279714265,0.08456585188239958
z,11,24,0.1396484375,0.05815497918796531,8,0.020560890071786405,0.04029934454070135
z,4,8,0.1396484375,0.11933943088030385,8,0.04219286041920306,0.08269800642163799
z,7,10,0.13818359375,0.11058280626622373,8,0.039096926096742514,0.07662997514961532
z,4,9,0.137939453125,0.10685951369287758,8,0.03778054338326523,0.07404986503119985
