component,layer,head,abs_delta,std,n,sem,ci95
pattern,0,20,2.049072265625,3.40851553672972,8,1.2050922249006448,2.3619807608052636
pattern,0,18,1.51953125,1.8365096942686847,8,0.64930422926611,1.2726362893615755
pattern,14,5,0.8154296875,0.9589636331223556,8,0.33904484394605305,0.6645278941342639
pattern,15,7,0.7177734375,0.69764028362189,8,0.24665308768897234,0.4834400518703858
pattern,10,22,0.6904296875,0.6564484380570701,8,0.23208957102473576,0.45489555920848207
pattern,0,2,0.68896484375,1.6862257733352368,8,0.5961708394684381,1.1684948453581385
pattern,25,18,0.60888671875,0.47581376661037694,8,0.16822557047605538,0.32972211813306856
pattern,15,16,0.5859375,0.3876223885064285,8,0.137045209726311,0.2686086110635696
pattern,24,11,0.5498046875,0.5235905210098882,8,0.1851172039855447,0.3628297198116676
pattern,25,20,0.53369140625,0.669440335121248,8,0.23668290028201466,0.46389848455274874
pattern,6,17,0.53076171875,0.6242477249303963,8,0.2207048997192789,0.43258160344978663
pattern,8,13,0.48046875,0.34577326644162976,8,0.12224931072694964,0.2396086490248213
pattern,5,15,0.47314453125,0.4000396572617707,8,0.14143537719667018,0.27721333930547354
pattern,13,23,0.4560546875,0.49910874633375507,8,0.17646158954105728,0.34586471550047226
pattern,9,12,0.44140625,0.38973112010993277,8,0.13779075893458115,0.27006988751177907
pattern,12,23,0.43994140625,0.2709141984323614,8,0.09578263341562035,0.18773396149461588
pattern,22,15,0.41162109375,0.26874916862283166,8,0.09501717978572559,0.18623367238002214
pattern,26,14,0.4091796875,0.6327220710851497,8,0.22370103353535303,0.43845402572929193
pattern,26,5,0.404296875,0.2417280347856642,8,0.0854637662999204,0.167508981947844
pattern,24,21,0.3984375,0.21974423292042436,8,0.07769131861233411,0.15227498448017485
pattern,14,4,0.3974609375,0.22977014654376998,8,0.08123601436766326,0.15922258816062
pattern,20,1,0.38525390625,0.35395353513248684,8,0.12514147245856616,0.24527728601878968
pattern,16,4,0.384765625,0.44510196307529604,8,0.15736730820499303,0.30843992408178633
pattern,25,12,0.3828125,0.30095875444153475,8,0.10640498806153309,0.20855377660060484
pattern,12,9,0.375,0.4385947718383435,8,0.15506666867992963,0.30393067061266205
pattern,9,13,0.3720703125,0.21390062880671074,8,0.07562529256464585,0.14822557342670586
pattern,22,17,0.36865234375,0.34798488116816784,8,0.1230312346122032,0.24114121983991826
pattern,14,22,0.365234375,0.5189582131088446,8,0.18347943582085874,0.3596196942088831
pattern,13,18,0.365234375,0.21206091387664167,8,0.07497485511339487,0.14695071602225393
pattern,24,22,0.3515625,0.27748125992465694,8,0.09810444027245595,0.19228470293401365
pattern,11,16,0.349609375,0.16465930990093933,8,0.058215857308225705,0.11410308032412238
pattern,26,1,0.34912109375,0.25025218777893177,8,0.08847750949262595,0.17341591860554686
pattern,11,5,0.34765625,0.30916185839702154,8,0.10930522327838454,0.2142382376256337
pattern,24,10,0.34326171875,0.37006399359781195,8,0.13083737967299397,0.25644126415906815
pattern,15,1,0.3408203125,0.29024965861748564,8,0.10261875092275226,0.2011327518085944
pattern,27,19,0.3388671875,0.27978716487919597,8,0.09891970078751905,0.19388261354353734
pattern,13,8,0.32666015625,0.3051588722994179,8,0.10788995397107903,0.2114643097833149
pattern,15,19,0.3232421875,0.23585609034823055,8,0.08338772043469042,0.16343993205199323
pattern,27,18,0.322265625,0.3010094507704451,8,0.10642291192050998,0.20858890736419955
pattern,11,17,0.32177734375,0.2044293788495246,8,0.07227670002912631,0.14166233205708756
pattern,17,11,0.3212890625,0.2048534589954204,8,0.07242663500259106,0.14195620460507846
pattern,17,10,0.3193359375,0.33473980589923846,8,0.11834839334221009,0.23196285095073177
pattern,14,3,0.31640625,0.35774572443037567,8,0.12648221384260627,0.2479051391315083
pattern,15,15,0.314453125,0.25558766754984763,8,0.09036388645607507,0.17711321745390712
pattern,27,1,0.30908203125,0.23897492615030458,8,0.08449039540721738,0.16560117499814606
pattern,13,7,0.306640625,0.24662022058850933,8,0.08719341517792857,0.17089909374874
pattern,13,10,0.306640625,0.2843869576567601,8,0.1005459731200533,0.19707010731530447
pattern,16,2,0.30615234375,0.26157243294711674,8,0.09247982055418487,0.18126044828620233
pattern,15,5,0.3046875,0.24184523626396165,8,0.085505203279955,0.1675901984287118
pattern,18,19,0.302734375,0.2166573211554778,8,0.07659993049137499,0.15013586376309498
pattern,19,17,0.296875,0.27700164388372445,8,0.09793487039500134,0.19195234597420263
pattern,13,11,0.29052734375,0.22437694204137415,8,0.0793292286296783,0.15548528811416945
pattern,26,0,0.2802734375,0.2432270854753166,8,0.0859937607539182,0.16854777107767965
pattern,16,22,0.27978515625,0.10675140806707167,8,0.03774232227271934,0.07397495165452991
pattern,14,19,0.27587890625,0.23378774549470913,8,0.08265645009881177,0.16200664219367106
pattern,17,2,0.2744140625,0.21563622107837035,8,0.0762389170969786,0.14942827751007803
