component,layer,head,delta_margin
resid_pre,0,,-11.552734375
resid_pre,1,,-12.44140625
resid_pre,2,,-12.658203125
resid_pre,3,,-12.57421875
resid_pre,4,,-12.2734375
resid_pre,5,,-10.85791015625
resid_pre,6,,-10.47021484375
resid_pre,7,,-10.5546875
resid_pre,8,,-10.6787109375
resid_pre,9,,-9.9033203125
resid_pre,10,,-8.6494140625
resid_pre,11,,-7.939453125
resid_pre,12,,-5.4609375
resid_pre,13,,-3.515625
resid_pre,14,,-2.47265625
resid_pre,15,,-2.79296875
resid_pre,16,,-3.14453125
resid_pre,17,,-3.203125
resid_pre,18,,-3.11328125
resid_pre,19,,-3.0859375
resid_pre,20,,-3.37109375
resid_pre,21,,-3.5546875
resid_pre,22,,-3.31640625
resid_pre,23,,-3.06640625
resid_pre,24,,-2.078125
resid_pre,25,,-1.578125
resid_pre,26,,-0.671875
resid_pre,27,,-0.671875
