component,layer,head,abs_delta,std,n,sem,ci95
pattern,12,10,0.7017822265625,0.3082893898726001,8,0.10899675907338942,0.21363364778384325
pattern,21,15,0.38165283203125,0.2680382536360025,8,0.09476583338170856,0.18574103342814877
pattern,20,14,0.318359375,0.5872167954017471,8,0.2076124890276044,0.4069204784941046
pattern,12,8,0.2606201171875,0.17526853355419886,8,0.06196678430239797,0.12145489723270002
pattern,23,3,0.2176513671875,0.46425117374673536,8,0.1641375765650653,0.321709650067528
pattern,0,10,0.19879150390625,0.2894620674477277,8,0.102340295394283,0.20058697897279468
pattern,10,10,0.1925048828125,0.1910555103327848,8,0.06754832346968431,0.13239471400058125
pattern,8,0,0.18670654296875,0.16125366170871944,8,0.057011778842698514,0.11174308653168909
pattern,14,14,0.1854248046875,0.18292927720982843,8,0.06467526619631173,0.12676352174477099
pattern,9,1,0.18280029296875,0.12131909967519189,8,0.042892779033887427,0.08406984690641936
pattern,16,15,0.1787109375,0.18418367448295986,8,0.06511876260537829,0.12763277470654144
pattern,5,0,0.1776123046875,0.3547100072000992,8,0.1254089257229596,0.24580149441700083
pattern,23,5,0.170166015625,0.4397059509576625,8,0.15545952982512132,0.30470067845723775
pattern,10,1,0.1695556640625,0.17227379248472463,8,0.060907983443336436,0.11937964754893941
pattern,8,4,0.16510009765625,0.2475372589024295,8,0.08751763718311899,0.17153456887891322
pattern,10,3,0.16412353515625,0.12053398100802636,8,0.04261519766709298,0.08352578742750223
pattern,9,0,0.1612548828125,0.21290322362735709,8,0.07527265658169009,0.14753440690011257
pattern,11,15,0.16033935546875,0.25227518715077024,8,0.08919274777970751,0.17481778564822673
pattern,4,5,0.1595458984375,0.2501072993940728,8,0.08842628371290147,0.17331551607728687
pattern,21,4,0.14892578125,0.1642301572130571,8,0.058064128920342725,0.11380569268387174
pattern,10,4,0.14849853515625,0.12680183870337072,8,0.044831220007038125,0.08786919121379472
pattern,8,8,0.147674560546875,0.13533291960602561,8,0.047847412585597285,0.09378092866777067
pattern,10,15,0.14697265625,0.17506461215791555,8,0.06189468720132749,0.12131358691460188
pattern,10,12,0.14544677734375,0.113654194553782,8,0.04018282583963721,0.07875833864568893
pattern,14,2,0.14532470703125,0.0906265700255949,8,0.03204133111038783,0.06280100897636015
pattern,22,13,0.1427001953125,0.15643751609048412,8,0.055309014229780476,0.10840566789036973
pattern,15,8,0.141815185546875,0.11976971583124735,8,0.042344989122530395,0.08299617868015957
pattern,14,6,0.141082763671875,0.0953446450176938,8,0.03370942252091773,0.06607046814099875
pattern,12,5,0.136474609375,0.06993851277263234,8,0.024726998323815145,0.04846491671467768
pattern,6,0,0.13604736328125,0.085093502860253,8,0.030085096453700885,0.05896678904925373
pattern,23,9,0.13458251953125,0.10414542708252587,8,0.03682096885981158,0.07216909896523069
pattern,12,14,0.13397216796875,0.17576186058040286,8,0.06214120174518369,0.12179675542056004
pattern,13,2,0.13397216796875,0.12171766514647087,8,0.043033693207631514,0.08434603868695777
pattern,8,2,0.1339111328125,0.10673665065514569,8,0.037737104739696534,0.0739647252898052
pattern,13,0,0.12890625,0.2366108649853057,8,0.08365457356676215,0.1639629641908538
pattern,13,1,0.12890625,0.19672757465597526,8,0.06955370104281144,0.13632525404391044
pattern,8,13,0.12713623046875,0.11869609369302328,8,0.04196540637534527,0.08225219649567674
pattern,20,12,0.12255859375,0.09000434501695351,8,0.031821341348870734,0.062369829043786636
pattern,1,12,0.12164306640625,0.10387936663290327,8,0.03672690228574474,0.07198472848005968
pattern,4,10,0.12005615234375,0.24219712444817829,8,0.0856296145405945,0.16783404449956524
pattern,21,9,0.11968994140625,0.09295295040701496,8,0.03286383078204856,0.06441310833281517
pattern,5,13,0.118408203125,0.09030318222968534,8,0.03192699625866752,0.06257691266698834
pattern,10,11,0.113372802734375,0.07515294256090234,8,0.02657057765546857,0.05207833220471839
pattern,9,11,0.1126708984375,0.09864999063083127,8,0.03487803866952508,0.06836095579226915
