component,layer,head,abs_delta,std,n,sem,ci95
z,12,10,1.01857421875,0.7612675372349348,50,0.10765948757520098,0.2110125956473939
z,12,8,0.5165234375,0.44340830095264333,50,0.06270740328760391,0.12290651044370365
z,21,15,0.4658203125,0.3043035766250559,50,0.04303502451417944,0.0843486480477917
z,10,10,0.4553466796875,0.3965600688253253,50,0.0560820627628383,0.10992084301516307
z,8,0,0.3721826171875,0.30659836323536066,50,0.04335955634888396,0.08498473044381255
z,10,15,0.3598828125,0.3271835353498017,50,0.04627073930768665,0.09069064904306584
z,9,1,0.353408203125,0.31791261599157244,50,0.044959633318479145,0.08812088130421912
z,20,6,0.33138671875,0.39204124392829287,50,0.05544300441730106,0.10866828865791008
z,8,4,0.3310546875,0.248712826649496,50,0.03517330525838658,0.06893967830643769
z,0,10,0.3298291015625,0.3697479938669471,50,0.052290262758688054,0.10248891500702859
z,10,4,0.31462890625,0.31912211922247075,50,0.04513068290576619,0.08845613849530173
z,23,9,0.310380859375,0.2649467686321573,50,0.037469131350652336,0.07343949744727858
z,12,3,0.298837890625,0.45864053575140995,50,0.06486156659137063,0.12712867051908644
z,14,14,0.28904296875,0.2697178464786102,50,0.03814386365041149,0.07476197275480652
z,14,2,0.285390625,0.19221483374518178,50,0.027183282477172572,0.05327923365525824
z,10,1,0.2811767578125,0.2560599557530022,50,0.036212346220655035,0.07097619859248387
z,8,2,0.274580078125,0.2513529623047345,50,0.03554667682340088,0.06967148657386572
z,16,15,0.2732275390625,0.2076730281486924,50,0.02936940129469703,0.05756402653760618
z,15,8,0.248076171875,0.17648012934674912,50,0.024958059241153064,0.048917796112660006
z,9,0,0.241044921875,0.24451099159367176,50,0.034579076046106445,0.06777498905036863
z,9,7,0.2392041015625,0.3251281444105169,50,0.04598006313345512,0.09012092374157203
z,9,11,0.2360302734375,0.20701444108873832,50,0.029276263019477982,0.05738147551817684
z,10,12,0.2322216796875,0.2796708218689652,50,0.03955142692871205,0.07752079678027562
z,11,6,0.231376953125,0.27213068068432644,50,0.03848508993615965,0.07543077627487291
z,9,15,0.230732421875,0.18801782971417613,50,0.0265897364749743,0.05211588349094962
z,0,2,0.222216796875,0.15743180035668958,50,0.022264218721324384,0.043637868693795795
z,9,4,0.21986328125,0.2148993887399904,50,0.03039136301017824,0.05956707149994935
z,14,11,0.218505859375,0.19223515989426532,50,0.02718615702874305,0.05328486777633638
z,5,13,0.21796875,0.1983396038262913,50,0.028049455768684773,0.05497693330662216
z,12,14,0.211025390625,0.25229852605812497,50,0.03568039973181421,0.06993358347435584
