component,layer,head,delta_margin
resid_pre,0,,-1.087890625
resid_pre,1,,-1.00732421875
resid_pre,2,,-1.025390625
resid_pre,3,,-1.0166015625
resid_pre,4,,-0.953125
resid_pre,5,,-0.95458984375
resid_pre,6,,-0.9208984375
resid_pre,7,,-1.02197265625
resid_pre,8,,-1.01025390625
resid_pre,9,,-0.52783203125
resid_pre,10,,-0.4619140625
resid_pre,11,,0.17724609375
resid_pre,12,,0.2197265625
resid_pre,13,,0.55029296875
resid_pre,14,,0.90869140625
resid_pre,15,,0.68896484375
resid_pre,16,,0.87353515625
resid_pre,17,,0.94775390625
resid_pre,18,,1.01416015625
resid_pre,19,,1.04345703125
resid_pre,20,,1.10009765625
resid_pre,21,,0.29150390625
resid_pre,22,,0.35107421875
resid_pre,23,,0.20458984375
