component,layer,head,abs_delta,std,n,sem,ci95
pattern,10,10,0.4169921875,0.30623604878936933,8,0.10827079337136873,0.21221075500788272
pattern,0,0,0.3570556640625,0.4256084086323499,8,0.15047529593697487,0.29493158003647074
pattern,0,4,0.288330078125,0.1591627829131841,8,0.05627254155521741,0.11029418144822611
pattern,0,11,0.2841796875,0.11000595274832616,8,0.03889297757961417,0.07623023605604377
pattern,0,6,0.27783203125,0.2632380069603442,8,0.0930686898938455,0.18241463219193715
pattern,5,9,0.260009765625,0.18260692920242255,8,0.06456129896534238,0.12654014597207106
pattern,2,2,0.2469482421875,0.27993098785483217,8,0.09897054988820045,0.19398227778087287
pattern,12,1,0.24267578125,0.14573936289357067,8,0.05152664589392546,0.1009922259520939
pattern,12,7,0.24072265625,0.22666530437754662,8,0.08013828689253802,0.15707104230937452
pattern,13,9,0.231201171875,0.22858343178022295,8,0.08081644733934411,0.15840023678511445
pattern,8,5,0.193603515625,0.08912169513754467,8,0.031509277491299,0.06175818388294603
pattern,10,5,0.182861328125,0.11542545022211263,8,0.040809059286783064,0.0799857562020948
pattern,3,4,0.1787109375,0.13888980925724317,8,0.049104962981751384,0.09624572744423271
pattern,13,8,0.168212890625,0.11776937709551764,8,0.041637762580178095,0.08161001465714907
pattern,11,11,0.166748046875,0.15297181054447315,8,0.054083702283190385,0.10600405647505315
pattern,9,2,0.164794921875,0.07516677116617973,8,0.02657546680575157,0.052087914939273075
pattern,15,11,0.158935546875,0.10614828161377723,8,0.037529084870200596,0.07355700634559317
pattern,15,6,0.14990234375,0.11300550452713319,8,0.039953479281271485,0.07830881939129211
pattern,12,3,0.1474609375,0.10178225709785099,8,0.03598546209918152,0.07053150571439577
pattern,5,1,0.14306640625,0.06844900055746503,8,0.024200376229812644,0.04743273741043278
pattern,12,8,0.141845703125,0.09234990553779147,8,0.032650622223854724,0.06399521955875526
pattern,15,9,0.14111328125,0.16179391234483173,8,0.05720278628686619,0.11211746112225773
pattern,9,8,0.140869140625,0.07521388120106451,8,0.02659212271831605,0.05212056052789946
pattern,13,6,0.14013671875,0.10091520850366495,8,0.03567891412889791,0.0699306716926399
pattern,7,2,0.1396484375,0.08933278614085369,8,0.03158390943124263,0.06190446248523556
pattern,5,6,0.13916015625,0.07010098082946735,8,0.024784439456172265,0.04857750133409764
pattern,4,9,0.138916015625,0.09473555105089711,8,0.03349407528376685,0.06564838755618302
pattern,7,8,0.13818359375,0.12306126793656538,8,0.04350872852968001,0.08527710791817282
pattern,13,7,0.1376953125,0.12624070366675236,8,0.04463282881226102,0.0874803444720316
pattern,2,0,0.136474609375,0.19966259834141176,8,0.07059138861826908,0.1383591216918074
pattern,2,5,0.13232421875,0.09054914033666307,8,0.032013955581333395,0.06274735293941346
pattern,0,8,0.129150390625,0.09424532871733042,8,0.0333207555155898,0.065308680810556
pattern,3,1,0.12646484375,0.05673915767625903,8,0.020060321575847757,0.039318230288661604
pattern,2,9,0.1259765625,0.09729285064316043,8,0.034398217225374346,0.06742050576173372
pattern,8,10,0.1259765625,0.16441753145947569,8,0.05813037572047388,0.11393553641212881
pattern,14,3,0.125244140625,0.17562752920170996,8,0.06209370843078375,0.12170366852433616
pattern,10,0,0.123291015625,0.05536527442099221,8,0.019574580492668848,0.03836617776563094
pattern,5,11,0.1220703125,0.06518038693043933,8,0.02304474679943833,0.04516770372689913
pattern,17,2,0.11669921875,0.07997086948270797,8,0.028273972054303566,0.05541698522643499
pattern,16,9,0.11669921875,0.07883155665137688,8,0.027871164139840036,0.05462748171408647
pattern,7,4,0.115478515625,0.07923622039744506,8,0.028014234379312615,0.054907899383452724
pattern,3,6,0.111572265625,0.15259193633029478,8,0.05394939646676867,0.10574081707486659
pattern,7,7,0.10986328125,0.058851275592049695,8,0.020807068026308342,0.04078185333156435
pattern,13,11,0.109130859375,0.09784266526862412,8,0.0345926060504048,0.06780150785879341
pattern,8,7,0.109130859375,0.10292398256502998,8,0.03638912300922934,0.07132268109808951
pattern,13,2,0.1083984375,0.050856314712076314,8,0.01798042249953317,0.035241628099085015
pattern,10,3,0.10693359375,0.10428793977576213,8,0.036871354705707834,0.07226785522318735
pattern,12,9,0.104736328125,0.1127070262891237,8,0.039847951288204925,0.07810198452488165
pattern,18,6,0.104736328125,0.09045392505811654,8,0.03198029189676699,0.0626813721176633
pattern,6,9,0.104736328125,0.10808660756429841,8,0.038214386582082295,0.0749001977008813
pattern,2,11,0.1044921875,0.0895764657701233,8,0.03167006319038942,0.062073323853163255
pattern,9,4,0.103759765625,0.07848297937059909,8,0.027747923460337266,0.05438592998226104
pattern,8,4,0.102783203125,0.0897826940976034,8,0.03174297591480638,0.06221623279302051
pattern,16,6,0.10009765625,0.0916438813398127,8,0.03240100497481843,0.06350596975064413
pattern,11,9,0.0986328125,0.08500021541792556,8,0.030052114362166243,0.058902144149845834
pattern,4,10,0.098388671875,0.053201853835178725,8,0.018809695809275204,0.0368670037861794
pattern,10,2,0.098388671875,0.08197102314494002,8,0.02898113316329326,0.05680302100005479
pattern,4,11,0.097412109375,0.07638575669950207,8,0.02700644327414183,0.052932628817317987
pattern,14,2,0.09716796875,0.19418410088257682,8,0.06865444726634136,0.13456271664202907
pattern,7,11,0.096435546875,0.12086824435824843,8,0.04273337760791506,0.08375742011151352
pattern,14,7,0.095458984375,0.09575400376335068,8,0.03385415269341373,0.06635413927909091
pattern,12,2,0.094970703125,0.08478797884047243,8,0.029977077400599777,0.05875507170517556
pattern,6,8,0.094482421875,0.08435625140470203,8,0.029824438701871014,0.05845589985566719
pattern,10,8,0.093505859375,0.06758923238481129,8,0.023896402277246733,0.046836948463403597
pattern,1,7,0.093017578125,0.060334426203591966,8,0.0213314409537796,0.04180962426940801
pattern,8,6,0.092529296875,0.09472116896003749,8,0.03348899044677961,0.06563842127568803
pattern,13,10,0.09228515625,0.06610809840349115,8,0.023372742336228082,0.04581057497900704
pattern,2,1,0.091064453125,0.0425473643287237,8,0.015042764919227571,0.029483819241686037
pattern,10,11,0.0888671875,0.08983161796969691,8,0.031760273115665996,0.062250135306705354
pattern,6,3,0.087890625,0.05442779533596716,8,0.01924313158354796,0.037716537903754004
pattern,7,3,0.087646484375,0.03796501666086805,8,0.013422660364380027,0.026308414314184854
pattern,2,4,0.08642578125,0.0670656436228565,8,0.02371128569518108,0.04647411996255492
pattern,5,8,0.084716796875,0.10570584245051844,8,0.0373726590038992,0.07325041164764244
pattern,8,0,0.08447265625,0.05424475996515659,8,0.019178418807599386,0.037589700862894794
pattern,0,7,0.084228515625,0.07450044564893787,8,0.026339885159891892,0.051626174913388105
pattern,10,9,0.083984375,0.047429753037669144,8,0.01676895000146955,0.03286714200288032
